V4_Ventilation Day,Additive_4,Additive_3,Initial GI (%),Initial C/N (%),Application Rate (%DW),Initial Moisture Content (%),Initial pH,V1_Ventilation Type,Material_3,Material_Main,V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Period (d),M1_is Enclosed, Composting Method,Additive_2,Material_2,V2_Ventilation Interval (min),Turning times,Additive_1,Compost volume (m3),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,1,4,27.32884658064516,24.406600321769226,5.179324703207736,69.0,7.0,2,0.0,7,0.0,0.0,51.0,0.0,1.0,1.0,4.0,0.0,2.0,38.0,0.6292491869918699,2.4967368849582217,60.936859259794424,110.34318400000004,6.576687640080974,0.6707040071487427,0.18532164028059808,19.33301803596018
0.0,1,4,27.32884658064516,23.728237905791406,4.726359502014806,57.39221731482174,6.319490762992533,2,2.0,7,0.0,0.0,84.0,1.0,1.0,9.0,3.0,0.0,2.0,35.0,0.6292491869918699,2.4967368849582217,59.24316679445323,113.76356500000006,4.54683941840579,0.5529612302780151,0.20321856426849538,12.167710922061477
0.0,1,4,27.32884658064516,38.12396718323165,9.411486801470168,68.00881805490181,5.386124176078923,2,3.0,7,0.0,0.0,28.0,1.0,2.0,15.0,4.0,0.0,26.0,31.0,0.6292491869918699,2.4967368849582217,95.18551506731126,111.88434200000002,5.358617366202829,0.536460816860199,0.19107393149097496,22.01100641203622
0.0,1,4,27.32884658064516,20.50611162578197,9.53757138917941,56.0,7.0,2,2.0,7,0.0,0.0,116.0,1.0,0.0,10.0,3.0,0.0,2.0,35.0,0.6292491869918699,2.4967368849582217,51.19836526316045,115.19556300000005,4.54683941840579,0.5557432770729065,0.21074567584414977,11.733355016050265
47.0,1,4,27.32884658064516,12.589316013346984,5.27929529371809,50.64261615670987,8.0,1,3.0,7,24.391082213920317,1.310121064744685,77.0,0.0,1.0,11.0,3.0,100.0,12.0,28.0,0.6292491869918699,2.4967368849582217,31.432209646918608,109.92335299999996,7.662585593171663,0.6337549090385437,0.15657240382180956,24.51892305427281
35.0,1,4,27.32884658064516,26.840243744582768,7.168994816405376,53.96257161094589,6.0,1,9.0,7,1.9318059093392104,0.4281250073481113,56.0,1.0,1.0,12.0,3.0,1089.0,1.0,34.0,0.6292491869918699,2.4967368849582217,67.01302655836898,113.759988,8.41408334995887,0.9584029316902161,0.150914847919988,19.094776053573355
73.0,1,4,27.32884658064516,31.0,8.02107501009635,67.0,5.35448018720551,1,9.0,7,59.74376839957722,1.3993004742455963,114.0,1.0,1.0,15.0,0.0,1212.0,6.0,38.0,0.6292491869918699,2.4967368849582217,77.39884343370487,113.383819,6.360310499773346,0.395842045545578,0.166748720007212,1000000.0
26.0,1,4,27.32884658064516,37.943811992993645,2.6481051369447535,62.00000000000001,7.3114265006919075,1,0.0,7,13.826141950573998,0.24772843365571373,45.0,1.0,0.0,11.0,4.0,913.0,6.0,36.0,0.6292491869918699,2.4967368849582217,94.73571495882736,113.59294800000002,7.662585593171663,0.3985705077648163,0.12989273545126964,20.011612471714265
74.0,1,4,27.32884658064516,28.047861720775835,7.82592382002279,67.0,8.0,0,9.0,7,0.0,0.2598356628391423,110.0,1.0,1.0,15.0,3.0,0.0,5.0,38.0,0.6292491869918699,2.4967368849582217,70.0281309024688,114.69466900000005,6.139893138059543,0.7255236506462097,0.18922071969415932,24.039985871118525
0.0,1,4,27.32884658064516,23.183100413824707,3.07589460492028,62.92805055142449,5.0,2,3.0,7,0.0,0.0,40.0,1.0,1.0,15.0,2.0,0.0,9.0,31.0,0.6292491869918699,2.4967368849582217,57.88210191088636,111.61661400000003,5.358617366202829,0.46904632449150085,0.1950865661299829,25.3993788301407
0.0,1,4,27.32884658064516,35.95524822960507,4.4880797019148275,63.13728860506163,7.0,2,4.0,7,0.0,0.0,49.0,1.0,0.0,13.0,0.0,0.0,7.0,35.0,0.6292491869918699,2.4967368849582217,89.77079446268377,114.09168000000004,2.570862956621792,0.43131738901138306,0.20769459600652518,20.390500523768903
51.0,1,4,27.32884658064516,31.843019181280773,5.516982474984938,66.06975224784264,6.0,1,4.0,7,2.8694315639222023,0.6112214616274727,124.0,1.0,0.0,7.0,2.0,1249.0,18.0,33.0,0.6292491869918699,2.4967368849582217,79.50364051833586,110.49690799999996,8.305137128750529,0.12935347855091095,0.13341639301734579,23.30528673326883
21.0,1,4,27.32884658064516,23.157865325343128,3.2177020281336883,65.0,6.820482145945824,0,3.0,7,0.0,1.2775204751904512,54.0,1.0,0.0,13.0,2.0,0.0,3.0,37.0,0.6292491869918699,2.4967368849582217,57.81909653467922,114.20996500000005,6.139893138059543,0.352291464805603,0.2016599800213024,18.246073348661398
80.0,1,4,27.32884658064516,23.300224840923498,6.018539526326985,60.37677649699549,7.0,0,0.0,7,0.0,1.8716590109376572,92.0,0.0,1.0,12.0,3.0,0.0,2.0,38.0,0.6292491869918699,2.4967368849582217,58.17453078815351,114.01645800000004,6.139893138059543,1.0929735898971558,0.17176854556132456,21.612417557530403
