Material_3,V1_Ventilation Type,V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),M1_is Enclosed,Period (d),Material_2,Additive_1,Additive_3, Composting Method,V3_Ventilation Duration (min),Compost volume (m3),Turning times,Initial Moisture Content (%),Initial GI (%),V2_Ventilation Interval (min),Additive_4,V4_Ventilation Day,Material_Main,Additive_2,Application Rate (%DW),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
9.0,2,0,18.0,1.0,126.0,6.0,12.0,4,2.0,0,0.05513157894736841,5.0,53.05079523339862,27.32884658064516,0,1,0,3,1.0,5.0087085816200965,6.5459977502224165,1.938857678018576,34.899438204334366,94.25459300000004,7.966722699527029,1.4117896556854248,0.19218367674932615,1000000.0
5.0,2,0,39.0,1.0,70.0,0.0,36.0,4,1.0,0,0.05513157894736841,6.0,55.83206542831854,27.32884658064516,0,1,0,3,6.0,3.605173066085025,6.0,1.938857678018576,75.61544944272447,93.84387400000006,9.992847094296113,0.5960252285003662,0.20799955168967815,1000000.0
3.0,2,0,13.147880030668485,1.0,61.0,2.0,13.0,4,0.0,0,0.05513157894736841,15.0,60.0,27.32884658064516,0,1,0,3,8.0,8.653572829424462,5.0,1.938857678018576,25.491868147128702,94.64354499999999,8.147214891873904,0.12020768970251083,0.13445452889901877,22.6261672126073
5.0,2,0,39.462085019773525,1.0,100.0,2.0,4.0,4,2.0,0,0.05513157894736841,2.0,57.0,27.32884658064516,0,1,0,3,5.0,7.108161644509521,7.0,1.938857678018576,76.51136653120973,95.05960400000004,7.951158589900569,0.5419816970825195,0.1946916402267113,12.662172922163675
2.0,2,0,37.52766011986675,1.0,133.0,8.0,7.0,4,0.0,0,0.05513157894736841,14.0,59.0,27.32884658064516,0,1,0,3,0.0,9.005272168791214,5.579523697033783,1.938857678018576,72.76079196147516,94.50481100000003,7.918332712270553,1.200524926185608,0.16694611536182574,18.48392334039733
3.0,2,0,31.07521632753758,1.0,93.0,6.0,4.0,4,1.0,0,0.05513157894736841,24.0,50.641002477127145,27.32884658064516,0,1,0,3,6.0,9.806632385518418,6.0,1.938857678018576,60.25042177273445,95.10190600000001,5.151403874306048,0.36597776412963867,0.16128490204310234,21.034136298047457
9.0,2,0,33.630361886737404,1.0,121.0,13.0,24.0,4,1.0,0,0.05513157894736841,12.0,61.0,27.32884658064516,0,1,0,3,3.0,3.0803492278172273,7.0,1.938857678018576,65.2044853586441,94.45532300000002,8.72336515505456,0.9404726028442383,0.2245947923867732,22.00955157761135
2.0,2,0,16.42419977800963,1.0,105.0,14.0,38.0,4,2.0,0,0.05513157894736841,23.0,65.0,27.32884658064516,0,1,0,3,8.0,3.342893673423262,6.0,1.938857678018576,31.844185844904963,92.98886399999999,6.296651196739557,0.8350430727005005,0.1283053765282012,20.81864442350872
4.0,2,0,36.1915502180625,1.0,80.0,6.0,12.0,4,0.0,0,0.05513157894736841,9.0,54.06230769298355,27.32884658064516,0,1,0,3,2.0,5.598812661025921,7.0,1.938857678018576,70.17026501968535,93.60293400000006,7.918332712270553,1.1564719676971436,0.19170998741502607,19.581471882713643
5.0,2,0,39.76039838185713,1.0,132.0,4.0,21.0,4,0.0,0,0.05513157894736841,14.0,60.0,27.32884658064516,0,1,0,3,0.0,6.816885235218318,5.0,1.938857678018576,77.08975368374107,94.23516400000004,8.068368222855922,1.0939959287643433,0.21172965145679135,1000000.0
5.0,2,0,31.0,1.0,58.0,8.0,2.0,4,1.0,0,0.05513157894736841,1.0,68.04841712158738,27.32884658064516,0,1,0,3,6.0,9.203966580692684,6.0,1.938857678018576,60.10458801857585,95.56860900000004,7.951158589900569,0.5321370363235474,0.21362692478653783,1000000.0
9.0,2,0,18.830090519346104,1.0,45.0,13.0,37.0,4,0.0,0,0.05513157894736841,3.0,50.445841673694034,27.32884658064516,0,1,0,3,0.0,2.261728705378876,5.971756589096627,1.938857678018576,36.50886558121899,93.53056300000006,7.988767522424136,1.3816983699798584,0.2003900503490218,20.24672258508817
3.0,2,0,16.259100568919074,1.0,115.0,0.0,2.0,4,1.0,0,0.05513157894736841,20.0,58.0,27.32884658064516,0,1,0,3,5.0,6.822890515942695,6.0,1.938857678018576,31.524081975724943,95.54208600000001,7.951158589900569,0.3594714403152466,0.16057277578084994,16.735230401878887
4.0,2,0,36.0,1.0,121.0,13.0,2.0,4,2.0,0,0.05513157894736841,8.0,57.2928308987684,27.32884658064516,0,1,0,3,6.0,6.09524305862165,6.0,1.938857678018576,69.79887640866873,96.12335100000004,8.478918865824749,0.7093474864959717,0.15842236677862412,1000000.0
9.0,2,0,16.51394766145403,1.0,39.0,14.0,12.0,4,0.0,0,0.05513157894736841,11.0,65.38654316709003,27.32884658064516,0,1,0,3,0.0,8.079934106178175,7.0,1.938857678018576,32.01819421780705,94.46306300000003,8.49448297545121,0.8953055739402771,0.16504094397664376,25.128160520474424
2.0,2,0,15.0,0.0,112.0,13.0,7.0,4,2.0,0,0.05513157894736841,18.0,69.1291375462012,27.32884658064516,0,1,0,3,3.0,3.8853043043922906,7.0,1.938857678018576,29.08286517027864,92.65451499999999,8.446092988194733,1.0324326753616333,0.11744689262125521,1000000.0
2.0,2,0,28.309918446702824,1.0,122.0,6.0,28.0,4,0.0,0,0.05513157894736841,10.0,54.0,27.32884658064516,0,1,0,3,5.0,9.58531514910614,7.797910008126475,1.938857678018576,54.88890274446949,93.65822500000004,8.732620323841182,0.12115190923213959,0.17997935711505006,19.179805290952388
