Material_3,Initial pH, Composting Method,V3_Ventilation Duration (min),Additive_2,M1_is Enclosed,Additive_1,V2_Ventilation Interval (min),Compost volume (m3),Initial GI (%),Material_Main,Initial C/N (%),V4_Ventilation Day,V1_Ventilation Type,Turning times,V5_Ventilation rate (L/min/kg iniDW),Additive_3,Period (d),Application Rate (%DW),Material_2,Initial Moisture Content (%),Additive_4,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2.0,5.0,0.0,16.810637566290723,6.0,1.0,36.0,715,0.15181,27.32884658064516,6,25.160222031676764,54.0,1,23.0,1.3623993680572717,4,55.0,8.483014304551192,3.0,58.0,1,1.411,35.50107328669591,109.24768200000003,8.661697793727408,0.724499523639679,0.15361629938453006,27.221084817953045
3.0,5.413429940870603,1.0,0.0,11.0,1.0,27.0,0,0.15181,27.32884658064516,6,31.299435153894777,14.0,0,23.0,0.6312897837711657,4,24.0,9.621367020135914,4.0,65.00699594426837,1,1.411,44.16350300214553,110.74719000000005,8.1169020387851,0.49249157309532166,0.22930515339826008,27.543082431910783
3.0,5.973165372804813,1.0,0.0,6.0,1.0,11.0,0,0.15181,27.32884658064516,6,39.31524114149052,81.0,0,14.0,1.8790050320819873,4,113.0,9.82641558339271,0.0,54.21469411578756,1,1.411,55.473805250643125,110.88137000000006,9.03124199535102,0.8256675601005554,0.19599382412072078,23.981316493402677
3.0,6.0,1.0,0.0,12.0,1.0,17.0,0,0.15181,27.32884658064516,6,12.653295188089665,36.0,0,28.0,1.444231868843095,4,91.0,8.47766768358415,3.0,61.0,1,1.411,17.853799510394516,111.11414000000005,7.524561129553908,0.5962809324264526,0.16871756073990307,25.29669500860695
4.0,6.0,2.0,0.0,9.0,0.0,17.0,0,0.15181,27.32884658064516,6,39.0,48.0,0,20.0,0.21297647795872865,4,55.0,9.911561704662656,4.0,67.4975752544188,1,1.411,55.029,110.53010000000006,9.102756476145913,0.3596261739730835,0.1664001184095238,1000000.0
5.0,6.0,2.0,0.0,7.0,1.0,36.0,0,0.15181,27.32884658064516,6,22.144202930599928,35.0,0,9.0,1.7635613093609281,4,92.0,3.987886882629844,3.0,52.92459310228135,1,1.411,31.245470335076497,109.93129500000005,9.34286474631349,0.5533461570739746,0.19938533483834622,25.150537921981197
5.0,5.191172429496504,0.0,0.0,6.0,1.0,15.0,0,0.15181,27.32884658064516,6,17.762577683091155,43.0,0,22.0,1.9993004840219213,4,105.0,8.131367709866002,2.0,60.0,1,1.411,25.06299711084162,110.34863000000004,8.944953487517475,0.8516210317611694,0.1971009854090812,26.081393908073828
4.0,6.0,0.0,0.0,13.0,1.0,12.0,0,0.15181,27.32884658064516,6,31.981695170081302,19.0,0,16.0,0.9757484777767125,4,27.0,5.077528291587683,0.0,67.93726501853939,1,1.411,45.12617188498472,109.93104100000006,8.904796106513553,0.8365486860275269,0.2344979699208111,1000000.0
2.0,5.373344490481928,1.0,0.0,3.0,0.0,21.0,0,0.15181,27.32884658064516,6,10.123202109618223,8.0,0,20.0,0.7620912343553283,4,21.0,9.541091195215758,2.0,55.18366207418024,1,1.411,14.283838176671313,110.48419000000005,7.447468450184018,0.7699102759361267,0.17075809280928225,28.793034933903833
5.0,6.527793172988738,1.0,0.0,5.0,1.0,20.0,0,0.15181,27.32884658064516,6,37.0,55.0,0,19.0,1.7833067479720233,4,96.0,8.896597776636227,4.0,52.38016376087362,1,1.411,52.207,110.87823300000005,9.371386538361937,0.5676116943359375,0.20095540463130748,1000000.0
2.0,6.588998455208147,0.0,0.0,13.0,1.0,35.0,0,0.15181,27.32884658064516,6,25.57692698367867,78.0,0,15.0,0.6876405712952982,4,90.0,9.165675406306477,0.0,58.0,1,1.411,36.089043973970604,110.82887500000004,8.680999960944037,0.6998208165168762,0.18126790512350438,26.541441958610804
5.0,6.0,2.0,0.0,15.0,0.0,7.0,0,0.15181,27.32884658064516,6,35.0,21.0,0,15.0,0.7453087390439592,4,32.0,7.7429835226207455,4.0,65.2643472552279,1,1.411,49.385,110.30122000000004,8.934099179969408,0.5125600099563599,0.1837452200822825,1000000.0
4.0,5.0,2.0,0.0,12.0,1.0,4.0,0,0.15181,27.32884658064516,6,32.2545985650393,83.0,0,11.0,0.766294952349607,4,130.0,9.817208110662351,3.0,50.63803292093274,1,1.411,45.511238575270454,110.84082000000006,7.3749502633270545,0.4583468735218048,0.16197992537815628,25.287123969937355
3.0,6.0,1.0,0.0,15.0,1.0,37.0,0,0.15181,27.32884658064516,6,25.21643845969926,47.0,0,21.0,0.1952792080769974,4,73.0,7.346542299347424,6.0,66.00005252486898,1,1.411,35.580394666635655,110.42203300000004,9.102756476145913,0.3704928159713745,0.19448029871441191,23.074900696610904
4.0,6.0,1.0,0.0,13.0,1.0,4.0,0,0.15181,27.32884658064516,6,18.0,67.0,0,2.0,1.131237953732533,4,97.0,9.99848203305862,3.0,55.1534501256906,1,1.411,14.11,110.88137000000006,8.099451628768886,0.5224836468696594,0.1590607207227926,1000000.0
3.0,6.0,0.0,0.0,11.0,1.0,23.0,0,0.15181,27.32884658064516,6,13.832566241679746,73.0,0,1.0,0.43656425160310697,4,84.0,9.564018631881932,2.0,60.0,1,1.411,19.517750967010123,110.88673000000006,9.356855461715957,0.6960692405700684,0.1593861091931696,22.652273315400112
4.0,6.564742005004616,0.0,0.0,11.0,1.0,25.0,0,0.15181,27.32884658064516,6,38.95142579359643,29.0,0,1.0,1.5491951890893896,4,50.0,5.035866097835977,5.0,61.0,1,1.411,54.96046179476456,110.03214600000005,10.101495819895355,0.549561619758606,0.2594347133651193,17.824782388887304
5.0,6.0,0.0,0.0,2.0,1.0,24.0,0,0.15181,27.328846580645163,6,30.121505988131453,16.0,0,11.0,0.6542891136103735,4,24.0,5.510405494237342,6.0,59.570861300537,1,1.411,42.50144494925348,110.54361400000005,9.167004256558743,0.46374595165252686,0.25493019743482875,29.2966925052076
4.0,6.0,1.0,0.0,2.0,1.0,21.0,0,0.15181,27.32884658064516,6,14.0,34.0,0,28.0,0.5858441434539363,4,36.0,5.60466006035738,0.0,68.58022180029283,1,1.411,19.754,110.32813100000004,7.683907094002436,0.7689067721366882,0.19036931776759858,1000000.0
3.0,6.039943848242789,2.0,0.0,6.0,1.0,10.0,0,0.15181,27.32884658064516,6,28.26276563943593,23.0,0,29.0,0.011221709842392347,4,38.0,5.306650434860727,6.0,53.19187373086871,1,1.411,39.878762317244096,110.55639400000005,8.166507763892923,0.41865721344947815,0.19602552405486684,24.669953617256763
5.0,5.0,1.0,0.0,7.0,0.0,31.0,0,0.15181,27.32884658064516,6,11.761186753501173,20.0,0,8.0,0.3654593838701139,4,33.0,8.86860103775036,4.0,61.972522622401556,1,1.411,16.595034509190157,110.86157000000004,8.216698773819001,0.4620829224586487,0.16840998361664847,27.237070430649972
2.0,6.787103514123764,1.0,0.0,6.0,0.0,18.0,0,0.15181,27.32884658064516,6,19.924974777768654,59.0,0,3.0,0.17347039374824957,4,133.0,8.904478180569111,2.0,66.0,1,1.411,28.11413941143157,110.43256500000005,8.433322887544827,0.7322217226028442,0.18007821054661682,21.84280062228575
2.0,6.0,2.0,0.0,5.0,1.0,25.0,0,0.15181,27.32884658064516,6,25.0,70.0,0,23.0,0.21464494432441272,4,83.0,9.00285737109238,5.0,61.0,1,1.411,35.275,110.74719000000005,7.609761889540541,0.31864556670188904,0.18565165537282502,1000000.0
