Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),CO2-C (g)
15,5,1,1,5,3,71.11315230619923,57.90889110818104,29.703360276964194,383.8338563172654,7.964226803195256,15.963418386362079,2.1052558173204075,71.29503447886815,12.793075747970633,2.43032113075196,1.6224265875226227,0,0.4562695317743372,0.681698387067398,0,1.5627121229959962,2.074257869676299,1312.3510797023764,985.5436416695657,8.634836140402351,[186105.2]
20,5,4,3,4,2,103.44517225714742,38.77506592023979,22.02439242956335,87.72494359711351,11.293917850574578,35.22328986956078,2.045965667341906,12.36879398630477,10.207920989086137,1.3236090385082273,6.194243091658043,0,8.156248701021617,41.415327892761375,1,12.2769559013594,0.6065809802878694,2439.150980155681,610.8970133634767,8.403032243183393,[196016.27]
18,8,0,2,0,1,85.42490842107885,0.38144074485496704,0.6149300150759863,257.45489299166144,11.61976249013588,6.9170951997602765,2.3022621450431813,75.73847606841207,4.387846747274074,0.7455570259009994,17.898501806568543,2,7.498388127469458,34.28414901888908,1,7.017384706541716,1.3334410138259176,1051.1144704167732,574.2854226289073,8.94019474184686,[197658.62]
9,5,1,5,6,0,74.95746048030769,52.38354200494335,15.56346217456328,253.10921010785103,6.59880939014152,4.180053869506077,2.259198004828076,51.18982407013131,15.130531726344774,2.568811411487068,36.900995303841256,0,1.980327349363668,43.96535250781103,4,3.3552914581619184,1.4557686707980944,1048.3639038439455,612.8013376392302,9.72593137152303,[180219.66]
22,2,4,2,1,1,75.62292504267862,0.14237553541967563,29.329348400475958,162.31164608147145,6.129008619524391,11.883531612186266,1.9386322016600166,71.84000421023501,14.508858730341311,2.7033093844321296,21.632719600238246,1,5.317991498379192,9.478009319114493,3,5.225521870606255,1.4327080694641485,2478.386552974395,857.3792707187347,7.445656447685072,[189899.05]
15,2,0,3,2,2,69.71345403472151,43.43968027690939,21.344319301017666,54.185751873269986,10.356699934523824,26.89466242450453,2.444663838615229,50.83982824761521,2.2523321121852304,2.891006876621023,9.402660848402814,2,3.2930106569430446,40.638068378167006,4,2.733091883176342,1.8793327030704614,2618.030066415883,828.1166443403943,7.6804980091548565,[186402.2]
4,0,4,1,7,2,107.31348749093175,30.116228961842747,9.964728940232778,85.27236981053909,8.583675078105975,36.91598323302064,2.38448418674063,19.79807750712189,17.021777441767703,4.848110095079967,7.871351757930564,1,7.365523427395596,2.2736748432570058,2,2.8578799236562586,0.18970457835487547,2837.515601392636,398.73191911596587,4.887009278334813,[196578.1]
0,3,3,4,8,2,96.32222815221358,11.183916149844396,-0.40086468872187064,438.1434975048105,11.107519090922958,13.41345686305485,2.140040935210241,41.21967355214046,3.398977848665548,4.710629104896457,27.245685788345693,0,8.097020338729564,22.56973310622744,4,12.100381610118232,0.8219807475475971,2813.7801028953145,373.05086443930514,10.448409236691477,[192820.12]
19,8,1,4,8,0,109.51083607648467,34.010594631773586,18.281646883849977,385.3633123013521,6.0529307847752225,5.406477418699943,2.425657639498135,66.71113283797696,11.901768410032144,2.655454246388555,23.23930709421938,0,3.7776345205760586,26.06377678631559,3,1.327422447148258,1.887776186095609,2497.594459645136,887.9953942293773,1.1633721879452439,[190793.25]
2,7,1,2,0,0,92.20780785686271,37.4188194713619,8.511851221610234,187.81391978748383,7.878876449819236,21.322119782382664,2.3280541004670545,8.008795698812385,10.262769232001801,0.36329912722559904,19.93685491561034,0,6.040800161255069,19.77446481994993,3,4.955959950351354,1.61050700809616,1097.896702002698,969.9972703014362,10.661212140123727,[180648.06]
2,1,1,3,2,3,63.63829399971753,33.31690935802886,13.321096091278458,260.8838865927872,9.725179711672734,34.13539871013798,2.0281342495594985,53.90366583776227,9.965825088145271,0.08315708960553402,29.25351411612013,2,7.206292729040892,40.93083633840976,0,2.3037775873646407,1.2370511331281466,2721.4434626806747,436.97407625804993,3.1436340198433097,[197309.47]
3,5,2,2,3,0,106.80317281119365,48.647235978485114,9.785211832484608,144.26792214549877,8.831348803728538,14.435956698503501,2.2790185036811743,31.994709386404487,16.682420821438466,0.11030408472599422,35.55660334084665,2,5.348371153362766,11.182416858932445,0,4.408071014826397,0.059272512025549284,2520.455761037695,679.9773797455805,9.260057403295356,[188649.6]
14,0,4,4,5,0,75.61332169345249,62.83522115423196,-0.8033804477393106,279.07994825326267,11.65405072053,2.460382770400856,2.307795515555343,42.09863889511639,11.379539796559555,0.24013196798711223,1.9116021108575347,1,7.984679151241217,50.140369648297664,1,1.3772339734100685,1.0304316527920336,1879.350401541931,585.7483488672341,5.344273761454698,[197126.03]
3,8,0,3,2,0,83.76170504324944,9.920596505517706,25.270672107391324,115.22725515868119,7.581978093396647,19.396090266954293,2.4243797451507985,66.18581339847744,16.562236022667467,2.1474387166246554,23.378656451018998,2,3.9019416525945085,36.98665377460463,1,1.3115125948631947,2.1913780961727864,2845.677154465555,874.8207437345401,9.832202705868243,[196262.53]
