Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),NH3-N loss (%)
10,1,4,6,10,4,11.64075763029868,2.900128819791931,27.986354288222934,63.198085979635124,25.935175154593715,29.711341215289327,4.097498165666294,9.851451012844027,14.077406960757592,1.5750062906464246,28.740432829998053,0,8.981657489992639,26.089929044096024,1,5.95992461636755,0.9502094938043283,3345.2425929546926,45.41726516636405,9.201362725638118,[26.564592]
6,4,1,2,4,4,84.61229060746888,28.554287477908588,38.14795243214971,65.8811082060327,1.5683833261551259,20.668210580545356,8.604420483730282,66.85147913921591,15.723013542776915,4.081851931376866,19.100719080124005,0,8.622695205806748,4.207035971325456,1,0.8249454354220885,0.02630322335471691,2864.3307298482728,391.0548023020044,6.012502259942157,[26.06136]
34,10,0,1,9,4,92.19936758815257,46.20400470048276,46.76262397673592,157.06858168387154,27.39147684557698,31.384226802709282,6.133260357381809,77.01817225578874,-0.22761001394182734,0.40620930874486244,16.79584464605331,2,0.9326479804180416,1.6092473034641332,2,3.3460738214512333,0.2070683010536266,823.3285487908877,157.3336613253385,3.96772073777167,[26.836498]
33,14,5,9,12,4,26.057375614931736,34.39254946121946,48.45309417315619,139.81597884079295,29.124740014753783,33.53370551216972,9.158646726205665,77.74959973965001,1.8156625783460436,3.4238727260283994,7.424237901363917,1,6.755111539900299,48.27149985283396,2,1.8169326396430971,1.1040924937741212,297.71784270751124,497.59938503970324,5.110454697784029,[27.15302]
26,16,2,7,9,4,22.750148661196345,3.329232292518789,38.194755845914294,213.58826850475452,2.9733553285733594,0.9769786690868714,0.38367801360187925,59.67495842598681,5.591572562219647,0.4124992681462439,36.19168036684433,0,9.081119775557788,15.572521062748267,3,6.290824027628161,0.3246715884275811,65.36772207127181,438.1914037139332,5.3004408083739865,[31.46642]
6,1,3,1,0,4,3.491653326780593,14.477156646402088,7.307683127544967,158.77888833952056,7.681954362845926,21.567927700296682,9.802254923854681,30.90511327875804,7.882639085988028,1.0152717079479932,20.706569971911502,2,9.169371337219049,48.28665100609357,0,5.888723264742611,0.2917594010776235,934.2656470120255,275.9650741599133,6.855939787225776,[27.728613]
7,14,1,4,9,4,98.04684733425395,16.509807384922798,10.14675587503792,14.751241814137394,3.4336034619046414,2.1761763532912015,5.200369702526215,77.97207570144727,8.5120118628442,0.7698649493073344,3.9654177359143477,1,6.935156285120054,40.73191446832238,2,2.45496523010984,0.6484537179976948,2029.8326799473962,146.95817603177437,2.825497988499524,[28.74511]
38,10,2,4,3,4,24.995970532490745,59.91376777700581,17.041765622201485,180.52313404410938,19.018022470033884,17.012337560571506,1.080288471378563,65.13414335623841,0.6023643305887332,1.2154136684723713,7.4271468902988085,0,2.252339663781505,20.121150302647386,4,0.5541281383780678,0.3857212629724387,2704.2402437768715,673.4379545080875,7.0854861928553,[25.500591]
5,3,2,9,8,4,107.68622918768227,53.71692186329931,9.90353501453884,222.81753744174503,36.38912427014486,27.989733340834256,4.219004512834579,71.65616753947177,16.37705831870757,0.43348931048072864,15.446335990196749,1,8.696666926286783,36.2418725832858,1,8.526393402312953,2.111607026982419,3485.8291699218285,417.458218586213,8.324222851778574,[27.400417]
2,3,2,4,10,4,92.6027052115125,10.238115253929548,37.56588764161928,53.43261885106057,8.968882753642557,9.152392540850263,11.142924596145848,61.92849778673164,4.096313942258742,1.8384619450659367,17.016383845885354,1,1.3844494305347763,2.830333178665345,1,14.379088134741197,0.12053637861861247,494.3000076539434,406.83440793536545,2.314244957351335,[27.513529]
