,Material_Main,Turning times,Period (d),V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_3,Additive_2,Additive_1,Material_2,Additive_4,Material_3,Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial GI (%),Initial pH,Initial C/N (%),Initial Moisture Content (%)
Material_Main,0.10080741536389463,0.04227144535525668,0.039655727133979586,0.015938967217029816,0.03639588396596227,0.006225701139249702,0.0016193854717196853,0.005731997489562128,0.021936521405669214,0.014727888189642156,0.0,0.0031070232336018358,0.021789812443921943,0.024207775538158588,0.02438331245305048,0.07443449274311692,0.029722426402402663,0.03126010801694813,0.0340599442470157,0.03744020603529611,0.06996365590888141,0.02396220843689646
Turning times,0.042271445355256704,1.1852716226336715,0.1773705139005445,0.06828815471220068,0.07172850126540964,0.032925489017995954,0.0033815742545718784,0.015750696191700643,0.039975466034327466,0.025972606300791398,0.0,0.019485314680744006,0.08426567544228689,0.1046756696824458,0.13588285933173008,0.05630769630953772,0.16325207193026398,0.17729122294802502,0.1723134618051537,0.174680323818923,0.18399402450560515,0.1590453472759482
Period (d),0.039655727133979454,0.1773705139005445,1.419381220197486,0.09584279525324334,0.061174291043318736,0.020149580375375068,0.004930798334458174,0.03416720576001218,0.04837278025884018,0.031124343561259944,0.0,0.015108884844072901,0.09895564222285128,0.091721341008266,0.10512819857749489,0.052636019647413296,0.3177885943096274,0.09847715443232365,0.2577940826114375,0.10095431368191742,0.2661546262795766,0.0841423830855006
V2_Ventilation Interval (min),0.015938967217029785,0.06828815471220075,0.09584279525324327,1.818425406088507,0.05103735323274559,0.021505544468499227,0.0005776609024109337,0.014019904073343697,0.0620207613852197,0.08346052639781702,0.0,0.00756370791667531,0.11275368413583108,0.008917423179777496,0.044284957657554795,0.04202772934399231,0.14230213946522038,0.06056929913289073,0.2495042310293651,0.07643971189214627,0.1296726420387388,0.03729678136583707
M1_is Enclosed,0.03639588396596228,0.07172850126540979,0.061174291043318736,0.0510373532327456,0.9809068557850331,0.005847685861487991,0.0006038319591978516,0.005749756685759237,0.022932138502411333,0.010578252687208365,0.0,0.005263352647736795,0.05539409413877168,0.024850407666315313,0.04061431049680875,0.006648617290631745,0.03485023402354994,0.05284510195883083,0.07305941048758893,0.07357430531086658,0.09176393815250662,0.06913075394033337
 Composting Method,0.006225701139249679,0.03292548901799591,0.020149580375375047,0.021505544468499213,0.00584768586148798,0.24907509970043937,0.00043855558710542935,0.004058579149207391,0.006488291827115306,0.00787050493641718,0.0,0.00478253256618649,0.0237188929768803,0.014854192500751859,0.04806268000248614,0.02575293951928708,0.034896419417664984,0.023033840339667426,0.03776683332648273,0.023210797475315043,0.05017630888248604,0.03388730525578443
Additive_3,0.001619385471719681,0.003381574254571894,0.004930798334458166,0.0005776609024109337,0.0006038319591978512,0.0004385555871054378,0.02128227696669663,0.0032369571422201622,0.001869004743489748,7.410458097706207e-05,0.0,0.00030230888342229397,0.0005749154890773353,0.004274069108432968,0.003915252738461448,0.0018267627889515896,0.006766105092673769,0.0022273593246053447,0.005528012130167195,0.0030679628442588608,0.004672848691061481,0.0010660050450712725
Additive_2,0.005731997489562111,0.01575069619170073,0.034167205760012156,0.014019904073343768,0.0057497566857591265,0.004058579149207382,0.0032369571422201818,0.5886324561884946,0.016025259116012904,0.004246600633620537,0.0,0.0023659648632709993,0.01693918772554126,0.03119840140332412,0.03342613194073309,0.011022840037798768,0.09097702678977136,0.026955922012526494,0.03241288351865573,0.030254776127032743,0.035380493924883946,0.02540847922817971
Additive_1,0.021936521405669176,0.03997546603432775,0.048372780258840065,0.06202076138521974,0.022932138502411475,0.006488291827115348,0.0018690047434897564,0.016025259116012745,0.37981305820042366,0.01881139051013413,0.0,0.0047020759715090035,0.025648312289456313,0.030449579878156628,0.03174326094549732,0.034828967960029815,0.12385104139964397,0.037647079737496696,0.055975643074656654,0.058626245900986765,0.06278719998421699,0.029338529812972847
Material_2,0.014727888189642161,0.025972606300791484,0.031124343561259944,0.08346052639781704,0.010578252687208316,0.007870504936417184,7.410458097706e-05,0.004246600633620535,0.01881139051013418,0.32052707439313927,0.0,0.002232059403436127,0.013983980736083704,0.05292068142475881,0.019529078433717706,0.030294204565735953,0.034550204416022814,0.06023181349689562,0.034913331900523925,0.031200933328908782,0.03612345732367252,0.023256615430871132
Additive_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Material_3,0.0031070232336018115,0.01948531468074404,0.01510888484407286,0.0075637079166753045,0.005263352647736777,0.004782532566186494,0.00030230888342229435,0.002365964863271056,0.004702075971509029,0.0022320594034361428,0.0,0.04328321831428986,0.009881336225578923,0.003333337318547244,0.010574527259623765,0.006425802469615109,0.0288895380417251,0.010272499442101107,0.007057890112519116,0.01978468318770844,0.011307628786423513,0.010115581559088227
Compost volume (m3),0.021789812443921915,0.08426567544228684,0.09895564222285141,0.1127536841358311,0.05539409413877196,0.02371889297688027,0.0005749154890773321,0.016939187725541205,0.025648312289456292,0.013983980736083671,0.0,0.009881336225578973,0.626267063537382,0.042350596567389896,0.031170337398926027,0.057108683103124384,0.08634123357367166,0.055643824794778356,0.05411612615310398,0.07641594162000642,0.0790730152933042,0.035088690549760056
V1_Ventilation Type,0.024207775538158543,0.10467566968244583,0.09172134100826605,0.008917423179777489,0.02485040766631532,0.014854192500751779,0.004274069108432957,0.03119840140332416,0.030449579878156562,0.05292068142475884,0.0,0.003333337318547242,0.04235059656739,0.8721476920274365,0.10935912791534425,0.06439421047003913,0.05890600424065884,0.09966684503306161,0.061223581554038516,0.09146095871160945,0.08524360567546031,0.06303842695285117
V4_Ventilation Day,0.02438331245305047,0.13588285933173005,0.10512819857749474,0.04428495765755471,0.040614310496808914,0.04806268000248618,0.0039152527384614475,0.03342613194073324,0.03174326094549731,0.01952907843371767,0.0,0.010574527259623621,0.031170337398926,0.10935912791534415,0.6909461378414998,0.05916911305431313,0.10309783687583911,0.07259600682065209,0.15975351510491712,0.07371945705158352,0.1643112345449742,0.04351929886538085
V3_Ventilation Duration (min),0.07443449274311689,0.05630769630953775,0.052636019647413435,0.04202772934399227,0.0066486172906317685,0.025752939519287053,0.0018267627889515816,0.011022840037798782,0.034828967960029746,0.030294204565735866,0.0,0.006425802469615089,0.0571086831031243,0.06439421047003926,0.05916911305431321,0.7056876282407837,0.05508711566337628,0.11135800409956982,0.06817538998771214,0.10188429531498026,0.06199121000237752,0.029107806171194548
Application Rate (%DW),0.02972242640240255,0.16325207193026373,0.3177885943096272,0.1423021394652204,0.03485023402354992,0.034896419417664915,0.006766105092673751,0.09097702678977138,0.12385104139964409,0.03455020441602281,0.0,0.02888953804172506,0.08634123357367195,0.05890600424065879,0.10309783687583904,0.05508711566337639,2.44183600554988,0.13559510557826038,0.15821420467736316,0.13178504574595287,0.26702190789287944,0.1305432528515689
V5_Ventilation rate (L/min/kg iniDW),0.03126010801694814,0.1772912229480251,0.09847715443232392,0.06056929913289067,0.05284510195883096,0.023033840339667506,0.0022273593246053313,0.026955922012526466,0.037647079737496786,0.06023181349689564,0.0,0.010272499442101088,0.055643824794778175,0.09966684503306165,0.07259600682065225,0.11135800409956959,0.13559510557826035,1.4110916606191077,0.12326215072965235,0.14106003523308114,0.20927244886674076,0.06861235867782786
Initial GI (%),0.0340599442470158,0.17231346180515375,0.2577940826114377,0.24950423102936503,0.07305941048758897,0.03776683332648278,0.0055280121301672135,0.03241288351865578,0.055975643074656474,0.034913331900523946,0.0,0.007057890112519156,0.05411612615310404,0.06122358155403859,0.159753515104918,0.06817538998771225,0.15821420467736305,0.12326215072965253,0.9974840140108369,0.14599054677001322,0.1900056242760027,0.0891075252138759
Initial pH,0.037440206035296145,0.17468032381892273,0.10095431368191725,0.07643971189214618,0.07357430531086667,0.02321079747531504,0.003067962844258857,0.030254776127032902,0.058626245900986904,0.03120093332890883,0.0,0.01978468318770835,0.07641594162000642,0.0914609587116093,0.07371945705158343,0.10188429531498049,0.1317850457459528,0.14106003523308094,0.14599054677001316,0.6710616277052088,0.2464591710437481,0.1304437228618409
Initial C/N (%),0.06996365590888141,0.183994024505605,0.26615462627957615,0.12967264203873885,0.09176393815250651,0.05017630888248602,0.004672848691061478,0.03538049392488396,0.06278719998421715,0.03612345732367252,0.0,0.011307628786423525,0.07907301529330445,0.08524360567546027,0.16431123454497437,0.06199121000237787,0.2670219078928789,0.20927244886674137,0.19000562427600215,0.24645917104374815,1.9910915094525765,0.09961980730542459
