,feas,Correlation with Target
0,Material_Main,0.21089624
1,Turning times,0.08345555
2,V2_Ventilation Interval (min),0.019230409
3,M1_is Enclosed,0.005167054
4, Composting Method,0.008996165
5,Additive_4,0.0
6,Additive_2,0.006258656
7,Additive_1,0.07720755
8,Material_3,0.00034893613
9,Material_2,0.02437221
10,Additive_3,0.005562834
11,Period (d),0.02269889
12,V1_Ventilation Type,0.0099582905
13,V4_Ventilation Day,0.05784902
14,Compost volume (m3),0.03288344
15,V3_Ventilation Duration (min),0.013653207
16,V5_Ventilation rate (L/min/kg iniDW),0.068881564
17,Application Rate (%DW),0.04170207
18,Initial TN (%),0.13052157
19,Initial pH,0.05249543
20,Initial Moisture Content (%),0.054229308
21,Initial C/N (%),0.026382161
