Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,11.216673384745485,0.003101957567585959,6.1679471209578e-17,True
Turning times,9.93708611132597,0.0011926139534285333,2.046486312650536e-05,True
V2_Ventilation Interval (min),3.993373181197992,0.0008287518510245076,0.7361899058439958,False
M1_is Enclosed,4.898143530305149,0.0008985653648969861,0.18327253785756512,False
 Composting Method,3.7333084038121753,0.00025770793263879153,0.00014530449142764634,False
Additive_4,0.0,0.0,2.2962429738825448e-07,False
Additive_2,0.0,0.0,2.2962429738825448e-07,False
Additive_1,3.867461310735295,0.001178474718041021,0.9403916494789326,False
Material_3,0.488929477493021,0.00025628839360547625,0.0008394975978487607,False
Material_2,3.539110985861609,0.0014676364157597893,0.17882665448353202,False
Additive_3,0.0,0.0,2.2962429738825448e-07,False
Period (d),3.5446877115989364,0.00026750813679835917,0.00025687817252888104,False
V1_Ventilation Type,2.2420516743465195,7.107789910517975e-05,4.494013327747805e-06,False
V4_Ventilation Day,2.873889492959376,0.0001803978595994089,4.168198707890909e-05,False
V3_Ventilation Duration (min),1.0221654756869145,9.382053905205223e-05,1.6603830968928705e-06,False
Compost volume (m3),5.1836791039099115,0.0006750812810495685,0.5100268882796719,False
Application Rate (%DW),7.822222845902884,0.0014213818529683054,1.594763278042341e-07,True
V5_Ventilation rate (L/min/kg iniDW),6.510291903214923,0.0013670731466038741,0.00020104326391764762,True
Initial C/N (%),9.645701453779875,0.001409113294283612,0.0013363344442024678,True
Initial Moisture Content (%),4.26445769292879,0.0004711980876412156,0.06334346843746361,False
Initial TN (%),10.516473408427421,0.001718647106370223,1.5438038073886659e-09,True
Initial pH,4.700292851767745,0.0009322252469311885,0.03637296423655076,False
