Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.5337710238527507,0.0016067516452024228,5.610329477753441e-05,True
Turning times,1.8128207141999155,0.004429772977655784,9.861051168303831e-13,True
V2_Ventilation Interval (min),0.11331963911652565,0.0005717118108366122,0.11128878161915881,False
M1_is Enclosed,0.5983354258351028,0.0021280331282553123,0.002223471910992669,True
 Composting Method,0.0,0.0,1.31426807208639e-05,False
Additive_4,0.0,0.0,1.31426807208639e-05,False
Additive_2,0.0,0.0,1.31426807208639e-05,False
Additive_1,0.03355422068852931,0.00010079326636990016,1.5066345011005775e-05,False
Material_3,0.0,0.0,1.31426807208639e-05,False
Material_2,0.0,0.0,1.31426807208639e-05,False
Additive_3,0.0,0.0,1.31426807208639e-05,False
Period (d),0.05975312041118741,6.240667991384667e-05,4.0937312681680235e-05,False
V1_Ventilation Type,0.44903680169954896,0.0009214368452915289,0.10766532712057318,False
V4_Ventilation Day,0.5013709913473576,0.0025063648454252503,6.752166910411872e-08,False
V3_Ventilation Duration (min),0.0,0.0,1.31426807208639e-05,False
Compost volume (m3),0.27983992465306073,0.000351982763249872,0.0007817723935199589,False
Application Rate (%DW),0.6001423196867108,0.0037042839500158404,7.293198032145072e-12,True
V5_Ventilation rate (L/min/kg iniDW),0.47518347715958953,0.0016139702609423564,0.004467290626480795,False
Initial C/N (%),0.9758477080613375,0.0019532809216983617,5.3703608096880295e-05,True
Initial Moisture Content (%),0.4823034293949604,0.0006038078398430298,0.5859963040573182,False
Initial TN (%),0.7283377752173692,0.0013061747293565554,0.00010118853299020478,True
Initial pH,0.26971568586304784,0.0007025958085667529,0.6822224699437602,False
