Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,12.44,15,14,10,13,12,12,11,12,15,12,11,11,12,15,11,13,12,14,13,15,16,13,11,10,10,18,10,13,13,15,11,13,14,13,11,9,10,12,14,10,15,11,12,11,12,13,12,15,12,13,12,10,10,11,15,14,12,11,13,10,14,12,12,12,14,10,13,14,16,12,11,13,14,11,10,10,14,11,12,11,14,12,13,13,12,11,14,12,14,15,13,15,15,11,12,13,10,13,13,10
Turning times,10.18,15,4,12,13,16,4,11,4,12,4,12,11,0,15,4,4,12,12,12,16,16,16,16,10,16,12,4,13,16,0,12,12,12,0,11,12,4,12,14,12,15,11,4,11,4,16,4,15,12,13,12,16,12,16,12,14,4,0,13,12,14,12,16,12,14,10,13,4,12,12,11,13,16,11,12,4,12,11,4,11,14,4,4,13,12,4,4,12,12,15,4,4,16,11,4,12,4,4,0,12
V2_Ventilation Interval (min),12.52,15,14,10,13,16,16,11,12,15,12,11,11,12,15,0,13,12,14,13,15,16,13,11,10,10,18,16,13,13,15,11,13,14,13,11,9,10,12,14,10,15,11,12,11,12,13,12,15,12,13,12,10,10,11,15,14,12,11,13,10,14,12,12,12,14,10,13,14,16,12,11,13,14,11,10,10,14,11,12,11,14,12,13,13,12,11,14,12,16,15,16,15,15,11,12,13,10,13,13,10
M1_is Enclosed,10.19,7,14,7,7,7,12,16,12,7,12,16,11,7,15,7,13,7,14,7,16,7,7,11,10,16,7,7,7,7,7,11,7,7,13,11,9,10,12,16,7,16,11,7,16,12,7,12,16,12,7,12,16,7,11,15,14,12,7,13,10,7,7,7,12,7,10,13,14,7,7,7,13,7,11,10,10,14,11,7,11,14,7,13,13,7,11,14,7,7,7,7,7,7,11,12,13,10,7,7,10
 Composting Method,10.12,15,14,10,13,0,12,11,12,15,12,11,11,0,15,11,13,12,14,13,0,16,9,0,10,0,18,0,13,13,15,11,0,14,13,11,9,10,12,14,10,9,11,12,11,0,13,1,15,12,13,12,0,10,11,15,14,12,11,13,10,14,12,12,1,14,10,13,14,16,0,0,13,14,11,10,0,14,0,0,11,0,12,13,13,12,11,0,12,14,15,13,15,0,9,12,13,10,13,13,16
Additive_4,8.67,15,7,10,0,0,0,11,0,16,0,16,0,0,15,2,7,16,0,13,0,7,13,11,10,16,16,10,13,2,15,11,2,16,13,0,0,10,2,0,10,15,14,14,11,12,13,16,15,12,16,12,10,0,0,15,14,0,0,13,0,0,0,12,12,0,14,13,14,16,12,16,7,2,0,0,7,2,0,14,11,7,12,16,13,12,11,16,2,14,16,7,0,15,16,2,0,10,13,16,10
Additive_2,10.88,15,14,10,16,12,12,11,12,15,7,11,7,7,1,11,13,7,7,13,15,16,7,11,10,10,7,10,13,13,15,11,13,14,13,16,9,7,1,7,10,15,11,12,11,12,7,1,15,16,13,12,10,10,0,0,14,14,11,13,7,7,12,12,1,14,1,16,14,16,12,1,7,7,11,16,10,14,11,12,11,14,7,13,13,12,11,14,12,14,15,13,15,15,11,12,13,10,13,13,10
Additive_1,11.49,9,14,10,14,12,12,11,12,9,12,11,11,12,9,9,7,9,14,14,15,16,9,11,16,10,18,9,13,13,15,11,7,9,13,7,9,10,12,14,10,9,11,9,11,9,13,7,16,12,13,12,9,10,9,15,14,12,14,13,9,9,12,12,12,14,9,13,14,16,9,11,9,14,9,9,10,14,11,12,11,14,12,13,13,12,9,16,12,14,9,13,9,15,11,12,13,9,9,9,10
Material_3,11.86,15,7,10,13,12,7,11,12,14,12,11,11,12,15,11,13,12,14,13,15,16,13,11,10,10,18,10,7,13,15,11,13,7,13,11,9,7,7,14,10,15,11,12,11,12,13,12,15,7,13,12,10,10,16,15,14,12,11,13,10,14,7,7,12,14,10,13,14,16,12,11,13,14,11,10,10,14,7,12,11,14,12,13,13,7,11,14,12,14,15,13,15,15,11,7,13,10,13,13,10
Material_2,8.7,16,16,0,13,0,14,0,12,0,12,11,0,16,16,0,9,16,14,13,9,14,0,0,9,0,9,10,13,9,0,16,0,9,9,11,0,9,16,14,10,0,0,0,11,16,13,16,0,16,14,16,0,10,11,15,9,0,11,13,0,14,12,0,12,16,10,13,14,16,12,11,0,14,11,10,10,0,11,0,11,0,12,0,0,13,0,0,0,16,16,7,15,15,11,12,9,9,9,13,0
