Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.06555490506706482,0.002050540780838251,0.0006207330727145938,True
Turning times,0.16430482718068443,0.004009091498710098,2.814444125508485e-20,True
V2_Ventilation Interval (min),0.0792184485241624,0.0009350110943013527,0.032293328363672755,True
M1_is Enclosed,0.025235387515035724,0.0004380824011454838,0.12179670395889959,False
 Composting Method,0.011782609898568285,0.00013718074158186426,0.00016220583869657948,False
Additive_4,0.0,0.0,3.583790282841522e-05,False
Additive_2,0.0,0.0,3.583790282841522e-05,False
Additive_1,0.029634840641166713,0.00032773197330504544,0.04576596510651809,False
Material_3,0.008997482006852587,0.0002712686896546505,0.005813572042242834,False
Material_2,0.0418318226597302,0.0006201362506822131,0.5035120729604576,False
Additive_3,0.0,0.0,3.583790282841522e-05,False
Period (d),0.033943805967371905,0.0005144788456481345,0.04752841993905647,False
V1_Ventilation Type,0.01267600893168817,0.0001780773519725891,0.00042467429087371107,False
V4_Ventilation Day,0.019875147955653264,0.00024721186529135224,0.0014026738055929599,False
V3_Ventilation Duration (min),0.0067941915231744575,6.159435153310893e-05,0.00010914388383541333,False
Compost volume (m3),0.03071588869610496,0.00042778408839564373,0.017654893060497275,False
Application Rate (%DW),0.04295408806911588,0.0008596014889074724,0.2879395952886617,False
V5_Ventilation rate (L/min/kg iniDW),0.05054115137279454,0.0007442645578862625,0.4518178741676463,False
Initial C/N (%),0.12612698946438233,0.0017291747305163523,2.7230475965112955e-07,True
Initial Moisture Content (%),0.059745237798612016,0.0008776568117424819,0.7663057652957772,True
Initial TN (%),0.13250168310264349,0.002888010963272132,2.4616090819090867e-09,True
Initial pH,0.05756548362519389,0.0008928474394125263,0.9074119893256546,False
