Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.0031620089430361986,0.001958676891130735,0.005078224757786194,True
Turning times,0.005408113356679678,0.009588993250544776,3.211027006199354e-24,True
V2_Ventilation Interval (min),0.00335822906345129,0.0011272396170425771,0.6820365282453673,True
M1_is Enclosed,0.001722834538668394,0.000832311738894336,0.10453001909782196,False
 Composting Method,0.002147517865523696,-5.597383524474529e-05,0.00062285553209408,False
Additive_4,0.0,0.0,0.0006132817311376941,False
Additive_2,0.0,0.0,0.0006132817311376941,False
Additive_1,0.0004851186240557581,0.0011067215910376712,0.06891432109379589,False
Material_3,0.0035882899537682533,0.0003835388485413198,0.28150419297194124,True
Material_2,0.003636460518464446,0.0016549622501093241,0.1798252305432487,True
Additive_3,0.0,0.0,0.0006132817311376941,False
Period (d),0.007294526323676109,0.0012694342364479982,0.446491181181252,True
V1_Ventilation Type,0.000698524119798094,0.00022158241859858473,0.0019841327929782594,False
V4_Ventilation Day,0.0010917815379798412,0.0003569270482979101,0.02323811633749592,False
V3_Ventilation Duration (min),0.0022991516161710024,0.00011120176297098263,0.0012472132655287655,False
Compost volume (m3),0.0006002760492265224,0.00018074097905498268,0.0027833013768158374,False
Application Rate (%DW),0.0012591403210535645,0.0019682438343908604,0.11209935527642585,False
V5_Ventilation rate (L/min/kg iniDW),0.0012674406170845032,0.0009292180639387457,0.14621016662121805,False
Initial C/N (%),0.002540773246437311,0.0031865487337086806,0.00023708090487839465,False
Initial Moisture Content (%),0.0015811221674084663,0.0011207631303798392,0.3454978251855435,False
Initial TN (%),0.0021838147658854723,0.0013792378914135144,0.11922625116393226,False
Initial pH,0.0003367609460838139,7.542928600343677e-05,0.002805342027119059,False
