Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,11.986838402746908,13.429229795891727,3.7998954954842594e-06,True
Period (d),14.35804765018213,20.67411613035106,1.514840955765085e-13,True
Turning times,17.106058794738118,31.77854192985638,5.351544678422607e-22,True
V2_Ventilation Interval (min),0.483933275249548,0.24288790893849743,0.00025479190670930484,False
M1_is Enclosed,0.5733093619516625,0.07863640670355032,0.0002587578256493485,False
 Composting Method,2.0060365635600856,1.3237239853265992,0.005879326604527712,False
Additive_3,0.0033859498052308842,0.004468005733578195,0.00014281537964847517,False
Additive_2,1.0920762842638563,0.3385741385170373,0.00032987652733283083,False
Additive_1,6.152793707643126,6.262449458687815,0.7560969834400302,True
Material_3,0.023777527368765344,0.002552559952689215,0.00014442209714126683,False
Additive_4,0.0,0.0,0.0001424671614816311,False
Material_2,2.973350757481809,9.634164472475913,0.09270509161378576,False
Application Rate (%DW),4.5300044470722876,3.542718791427502,0.5111981017119351,False
Compost volume (m3),8.36343026500257,6.614490916646496,0.4042802759592744,True
V1_Ventilation Type,1.5521584686183258,1.7250503333924279,0.0063241412008514485,False
V4_Ventilation Day,7.548445864861429,6.33962421576495,0.5669702528297087,True
V3_Ventilation Duration (min),0.5056423264034419,0.4248480908048444,0.00025834539231137424,False
V5_Ventilation rate (L/min/kg iniDW),4.620062913061126,9.786601706181928,0.04385795742460524,False
Initial TN (%),3.617344427519765,3.5190810903078678,0.2956914263722272,False
Initial Moisture Content (%),4.253981321633016,5.877917590313812,0.6652733041511697,False
Initial C/N (%),3.5366147267051518,5.488155807855117,0.7649256477132569,False
Initial pH,2.361344642512461,1.8441243564708802,0.006982270719359939,False
Initial TC (%),2.3513623216192245,3.0630880882929556,0.07088918808524713,False
