Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.21054031522550187,23.89793105585055,5.117675294885588e-16,True
Period (d),0.1511827311496887,31.53417218501319,1.202308094883101e-15,True
Turning times,0.11525960221274442,24.58278497143006,7.49666397245387e-13,True
V2_Ventilation Interval (min),0.002735856869504652,0.09296231740261973,0.0001918478928025734,False
M1_is Enclosed,0.001586938486570453,0.2588871014655716,0.00027518839030210644,False
 Composting Method,0.0024856538106116594,0.265044734669301,0.00031555408655587006,False
Additive_3,0.0015538765766424307,0.05719984985980808,0.00017533051029861228,False
Additive_2,0.0036291411264180768,0.22959876605083096,0.00023880765903070412,False
Additive_1,0.07493936494240223,20.39387336511264,1.511137325405882e-06,True
Material_3,3.137390789007924e-08,9.181059259333324e-05,0.0001566212242871005,False
Additive_4,0.0,0.0,0.0001565931065809108,False
Material_2,0.011672688284765965,4.6986763272539545,0.13329456131937395,False
Application Rate (%DW),0.02993645201767181,4.433810120636037,0.1869634660935616,False
Compost volume (m3),0.05442420998934491,8.885049158578925,0.20148321182158163,False
V1_Ventilation Type,0.001538293187627239,-0.03946934880562125,0.0001597849201378783,False
V4_Ventilation Day,0.09471784876725124,7.411967060090815,0.04966639401088595,True
V3_Ventilation Duration (min),0.002913140660378001,0.1855507937880354,0.0002341832034263175,False
V5_Ventilation rate (L/min/kg iniDW),0.024601087273428204,2.2888780091154928,0.05827714732804179,False
Initial TN (%),0.05065864925858412,6.459702770402254,0.55782079932796,False
Initial Moisture Content (%),0.059130459952565995,6.254565443888412,0.6239792869392893,True
Initial C/N (%),0.020246315904465476,2.1072206770866906,0.0040608644090161915,False
Initial pH,0.03305686085080732,3.3809243502514352,0.037156202214073356,False
Initial TC (%),0.0531904820791174,4.50902016363341,0.15094087163900313,False
