Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,18.75907325744629,12.520776534611864,0.11884022106205551,True
Period (d),101.43659210205078,59.72209318832025,1.0538240411953671e-20,True
Turning times,14.892930030822754,7.180378856012755,0.9203063775799307,False
V2_Ventilation Interval (min),23.026182174682617,3.1024610339987615,0.029314715788513968,True
M1_is Enclosed,0.1911820024251938,-0.07962925827400502,0.0011621890673244022,False
 Composting Method,3.2906041145324707,0.2169241373619748,0.0014713375902119265,False
Additive_3,0.053516387939453125,0.0062617195303347195,0.001228878040217365,False
Additive_2,0.341343492269516,0.23852858647319453,0.001583063414129013,False
Additive_1,33.38630676269531,36.73403544097854,8.476599251592543e-10,True
Material_3,0.004371419083327055,2.0387907069263633e-05,0.0012205286066211572,False
Additive_4,0.0,0.0,0.0012205010287242206,False
Material_2,6.191634178161621,10.758755368260346,0.7532644981926333,False
Application Rate (%DW),12.146401405334473,13.548969457071694,0.6393600382074922,False
Compost volume (m3),80.2001953125,35.982007842592495,1.3260941699675975e-14,True
V1_Ventilation Type,4.6920744352974e-05,4.44111020403426e-07,0.0012204385001606949,False
V4_Ventilation Day,10.615845680236816,4.818035754912648,0.025996159068064188,False
V3_Ventilation Duration (min),0.3766273856163025,0.030542392231310167,0.0012658495625395198,False
V5_Ventilation rate (L/min/kg iniDW),1.3261070251464844,9.679337492317073,0.47950259751095914,False
Initial TN (%),3.4970343112945557,2.519172467736284,0.03721991297001459,False
Initial Moisture Content (%),15.068475723266602,18.012109405132804,0.02167300511727366,True
Initial C/N (%),1.5503164529800415,1.4187159405965901,0.01047429062104843,False
Initial pH,0.8305100798606873,1.5593099547059253,0.007507117474264411,False
Initial TC (%),1.6655796766281128,0.8594983785990777,0.004196242180330259,False
