Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,12.779434153595432,0.05892611518977206,9.320620008948215e-16,True
Turning times,7.858616395696393,0.03729078312399327,0.00015822685589468908,True
V2_Ventilation Interval (min),2.0821327090844726,0.008068757322714858,0.0041053011808401185,False
M1_is Enclosed,1.7962119099086522,0.0035396723561990154,0.0002593393660388187,False
 Composting Method,1.4143544912504649,0.002372417310317468,7.90078951118624e-05,False
Additive_4,0.0,0.0,2.6917547309412595e-06,False
Additive_2,0.996369430828249,0.00433481215047115,0.00012752477682331093,False
Additive_1,8.521208304944695,0.031126712600232656,0.00485530012859369,True
Material_3,0.2657165590829791,0.0008091687561541383,5.509452584547052e-06,False
Material_2,3.3662016653494806,0.019754450891578137,0.5284409548050613,False
Additive_3,0.6907694100534473,0.0018360246602617744,5.100769260596924e-05,False
Period (d),2.961258286112223,0.010627644237857628,0.017952075762857556,False
V1_Ventilation Type,3.3845172559658177,0.013825399859270268,0.017702943476602947,False
V4_Ventilation Day,4.484897612579874,0.013948011493351453,0.081587021692488,False
Compost volume (m3),2.6675333440710505,0.010228755597771089,0.006912184155963132,False
V3_Ventilation Duration (min),2.2032045950582972,0.007700946718773263,0.0017025341129239685,False
V5_Ventilation rate (L/min/kg iniDW),4.922447836152754,0.024415755542000636,0.3176985382502346,False
Application Rate (%DW),4.704929109199613,0.023161029761532975,0.44506065270679906,False
Initial TN (%),13.360528767748988,0.08168472175215982,3.6292773629180095e-18,True
Initial pH,9.946094770465024,0.04726517799559579,3.68219797215825e-07,True
Initial Moisture Content (%),5.269418525508949,0.018476918810566706,0.6791289650078178,False
Initial C/N (%),6.324154867343144,0.02769225531349989,0.4191403893539466,True
