Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,14.36,12,11,13,16,14,18,12,16,14,15,15,16,13,12,15,12,11,14,14,12,15,13,14,18,14,16,16,14,12,13,11,13,14,12,16,13,13,15,12,15,15,16,12,15,16,16,13,14,16,16,15,14,13,13,15,15,14,12,13,16,15,16,16,14,14,16,14,15,12,12,13,18,14,13,22,17,14,13,14,16,16,13,14,12,16,13,13,16,16,17,13,13,15,17,18,15,14,14,15,15
Turning times,8.21,4,12,12,12,4,4,4,4,14,4,12,4,12,12,15,4,4,4,4,17,4,4,14,4,12,4,4,4,12,12,4,13,14,12,12,13,4,4,4,4,4,4,4,12,4,4,4,4,16,16,4,4,4,12,12,15,4,12,4,12,4,12,4,4,12,16,4,12,4,4,12,12,4,4,4,4,12,4,12,12,4,4,14,12,12,13,13,4,12,17,4,4,4,17,12,4,12,12,12,4
V2_Ventilation Interval (min),10.94,17,11,13,9,14,9,12,16,0,15,15,16,13,12,9,8,0,17,9,12,8,13,14,18,14,9,16,14,9,13,0,13,9,0,16,9,0,15,12,6,15,16,17,15,16,16,13,9,6,16,15,17,13,13,15,9,14,17,13,9,9,16,8,14,14,9,0,6,17,12,13,0,6,13,17,17,14,9,14,16,8,0,0,12,0,9,13,6,9,9,9,6,15,17,0,0,9,9,15,15
M1_is Enclosed,10.18,8,11,13,7,7,7,7,7,7,15,15,7,17,7,7,12,11,17,15,12,7,13,8,7,17,7,16,17,15,13,11,7,7,7,16,13,13,7,7,15,7,16,7,15,7,16,13,14,16,15,7,7,13,13,17,7,14,8,7,16,15,7,7,15,7,7,7,15,7,7,13,7,7,13,7,7,7,7,7,7,7,7,7,12,7,7,13,7,7,17,7,13,7,7,7,15,7,7,7,7
 Composting Method,13.11,12,11,13,0,14,18,12,16,14,15,15,16,13,12,15,0,11,14,14,12,0,13,14,9,14,16,16,14,12,13,11,13,14,12,16,13,13,9,17,15,15,16,12,15,0,16,17,0,16,16,15,14,13,13,15,15,14,12,13,16,15,16,16,14,14,16,14,15,12,12,13,18,14,13,22,17,14,13,14,16,16,13,14,12,9,13,13,16,16,17,13,7,15,9,1,15,14,14,15,7
Additive_4,13.74,0,11,17,16,17,17,17,16,15,15,15,0,17,15,0,12,17,14,9,12,15,13,14,18,17,16,16,17,15,13,15,0,17,17,17,13,17,15,0,7,15,16,17,17,17,17,13,15,16,17,17,14,13,17,15,17,2,17,2,16,15,17,17,14,15,17,14,15,17,15,9,18,14,15,17,17,17,15,17,17,2,13,17,17,16,13,7,7,15,15,13,13,15,15,2,2,17,17,15,17
Additive_2,11.57,12,9,13,0,14,6,12,0,14,0,17,16,9,12,15,12,11,14,14,12,15,0,14,17,9,16,0,7,9,0,9,13,14,12,7,9,13,15,12,15,15,16,1,15,16,16,13,14,1,16,15,14,13,13,9,15,1,12,13,9,0,16,16,14,0,16,14,15,12,12,13,18,14,13,0,17,14,13,6,16,17,13,1,12,16,13,13,16,16,17,13,13,15,9,18,15,14,0,17,15
Additive_1,9.8,12,11,13,17,9,6,9,6,14,15,6,9,6,12,6,6,11,9,6,12,6,7,7,18,14,9,6,6,6,6,6,6,6,12,9,6,6,9,6,6,17,6,12,6,16,16,13,19,9,6,9,6,13,6,9,6,14,6,6,17,6,6,6,14,6,16,14,15,9,7,13,18,6,6,6,9,14,13,14,17,6,13,17,9,6,6,13,6,16,6,9,9,15,6,18,6,14,14,6,6
Material_3,13.97,12,11,17,16,14,18,12,16,14,15,15,6,13,12,15,12,11,14,14,12,6,13,14,18,6,16,16,14,12,13,11,13,14,17,16,13,13,15,12,17,15,16,12,15,16,16,13,17,16,16,15,14,13,13,15,15,14,17,7,16,15,16,16,14,14,16,14,15,12,12,13,18,14,13,7,17,14,13,14,16,16,13,14,12,16,13,13,6,16,17,13,13,15,17,18,15,14,14,15,15
Material_2,4.56,0,11,0,0,14,9,12,16,0,6,0,16,0,1,9,0,0,0,0,0,15,1,0,9,0,0,16,9,9,9,11,0,14,12,9,0,13,0,0,0,0,16,0,9,0,0,0,0,0,0,17,9,0,0,9,0,14,0,0,16,0,0,9,0,9,0,0,0,0,12,0,9,19,0,0,0,0,9,14,16,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,15,15
