Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.2294982062318477,0.17794096294708386,1.8952665852418724e-21,True
Turning times,0.05760537043486364,0.031140110472118836,0.47298744916957436,False
V2_Ventilation Interval (min),0.009218701745822077,0.0028997848509562385,0.006242223219752909,False
M1_is Enclosed,0.004418743513954497,0.001999241303529971,0.004327163857575123,False
 Composting Method,0.0070414854831587995,0.0026412978800991957,0.0047456141809363896,False
Additive_4,0.0,0.0,0.0023294061859907,False
Additive_2,0.009245950938704365,0.0022616883676826946,0.004793581996737155,False
Additive_1,0.09911150874397849,0.04992946794659916,0.00648649158957588,True
Material_3,0.0013591680871546498,6.733261648642075e-05,0.0024474315252613174,False
Material_2,0.02880137230491221,0.011822407343469586,0.05839618291263307,False
Additive_3,0.004350476933592677,0.0006521836361131975,0.0029528962001588864,False
Period (d),0.035317065129022364,0.012190398925549031,0.07792131300394675,False
V1_Ventilation Type,0.012438716178298781,0.004380209580429215,0.01482422897505561,False
V4_Ventilation Day,0.03166603446526846,0.019035978986008416,0.31688313567551085,False
Compost volume (m3),0.031657243668538816,0.013147604479604766,0.07905904539301548,False
V3_Ventilation Duration (min),0.014809061525137786,0.004546964681147347,0.012890890557965443,False
V5_Ventilation rate (L/min/kg iniDW),0.06132074708810457,0.03130403831820674,0.948975040242901,True
Application Rate (%DW),0.032674109358608226,0.026755016829649446,0.5014721125665349,False
Initial TN (%),0.12210128929673876,0.11682330727979498,9.973646348646329e-11,True
Initial pH,0.0963320951510707,0.04215486119361687,0.05503981457468306,True
Initial Moisture Content (%),0.04326575425249564,0.011761074619629552,0.10403201588100011,False
Initial C/N (%),0.06776689946872681,0.023225128250186904,0.7887251397926325,True
