Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.20792168378829956,0.19058868453351094,2.5439825712332028e-18,True
Turning times,0.06170521304011345,0.06418926191537964,0.008269693809977404,False
V2_Ventilation Interval (min),0.07611817866563797,0.005224027720087395,0.004866766593127762,False
M1_is Enclosed,0.01775164157152176,0.0006743873835950015,0.0017355755503377993,False
 Composting Method,0.02718425542116165,0.0005916755449517884,0.0018242898248561493,False
Additive_4,0.0,0.0,0.0010793403110935201,False
Additive_2,0.015369988977909088,0.0017454030907411017,0.0017443707884740956,False
Additive_1,0.060139235109090805,0.04681266345532509,0.03382973296488688,False
Material_3,0.0007506258552893996,-5.0656437555439415e-05,0.0010769072956360551,False
Material_2,0.07949674129486084,0.010853520948837254,0.09355145399061628,True
Additive_3,0.28301918506622314,0.0017929377336442232,0.0018343935139789136,True
Period (d),0.17979958653450012,0.01243689582931112,0.10300648940779807,True
V1_Ventilation Type,0.0033234513830393553,0.0009668606328799151,0.0013490234521727727,False
V4_Ventilation Day,0.04341595619916916,0.023082729436944286,0.258376682005978,False
Compost volume (m3),0.07294043898582458,0.009838166623942674,0.021250381889406218,False
V3_Ventilation Duration (min),0.05397846922278404,0.003922769735807272,0.004072129125382065,False
V5_Ventilation rate (L/min/kg iniDW),0.11208663135766983,0.051246355981056466,0.0031190912977991456,True
Application Rate (%DW),0.018339719623327255,0.026055571396996522,0.617539101270585,False
Initial TN (%),0.09874961525201797,0.1544343160468143,2.749537914325807e-18,True
Initial pH,0.0421268492937088,0.031058310423954478,0.9911588447174793,False
Initial Moisture Content (%),0.04947412759065628,0.022621319737738583,0.36552293867580077,False
Initial C/N (%),0.02626919001340866,0.017492603634413875,0.07457049403793416,False
