Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,9.318720286752331,12.688790616212682,8.350765846337393e-13,True
Turning times,11.600143667422303,9.919964753797665,4.746749137329707e-10,True
V2_Ventilation Interval (min),1.1625793070329726,0.8856209705072118,3.992237199079606e-06,False
M1_is Enclosed,0.9652540097463279,0.6335194626787812,5.342710603436214e-07,False
 Composting Method,1.358455099763127,1.152491583237623,1.631076746149319e-05,False
Additive_4,0.0,0.0,4.098940448126267e-08,False
Additive_2,1.0555206929868246,1.5503274516796584,8.572566236168119e-05,False
Additive_1,5.661301907782496,7.67931825654379,1.4726667172297649e-06,False
Material_3,0.11497133954979893,0.17395113420994157,8.963780068329608e-08,False
Material_2,7.057507680076799,8.596877637306626,4.3621530892908487e-05,True
Additive_3,0.18069396488431322,0.13929771467054142,8.560492285659893e-08,False
Period (d),2.1139524893269126,0.7202198891668621,2.094455456739993e-06,False
V1_Ventilation Type,3.076988964543642,1.4115828992422434,0.0002632301857282528,False
V4_Ventilation Day,6.053551350903174,5.044044173428115,0.7559817910014625,False
V3_Ventilation Duration (min),1.6157956563494846,1.2315352762827265,2.891823073633614e-05,False
Application Rate (%DW),7.773789231339232,9.997728981378994,3.643256749624762e-09,True
Compost volume (m3),7.344528055863465,4.913501644382154,0.6432980073931839,True
V5_Ventilation rate (L/min/kg iniDW),8.160456316201223,9.568685602725317,6.647324173926576e-08,True
Initial Moisture Content (%),6.781037754578476,5.74858348323325,0.0050870509922468455,False
Initial TN (%),6.460137589030585,5.374876494836886,0.09025620974203145,False
Initial C/N (%),5.585034547682856,5.3285447492996,0.3763798392724389,False
Initial pH,6.559580088183647,7.428503547297164,0.00024186553648005237,False
