Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,17.85,19,18,16,21,18,17,15,19,17,15,17,14,17,17,17,17,18,13,23,16,16,15,15,15,17,18,15,15,17,16,24,20,17,18,24,17,16,16,17,14,19,24,17,16,17,18,18,20,15,18,20,15,18,14,19,19,19,17,18,18,18,23,18,19,19,22,17,17,16,22,16,15,19,17,18,17,18,16,21,19,17,18,15,21,16,20,15,17,19,19,17,20,22,23,20,18,19,21,17,19
Turning times,8.31,12,12,4,21,4,9,4,4,4,12,12,14,12,4,12,0,1,12,12,16,4,0,4,15,12,0,4,15,1,0,12,12,4,4,12,4,9,15,12,14,4,0,9,15,12,1,18,12,4,12,20,1,1,12,19,12,15,12,15,4,15,12,4,12,15,22,12,4,12,4,4,1,9,4,18,12,4,4,4,0,12,1,0,4,0,1,12,12,12,12,17,4,4,4,4,4,12,4,4,4
V2_Ventilation Interval (min),9.68,0,18,16,21,18,0,15,19,17,0,8,8,17,17,15,9,18,13,0,16,0,15,0,15,0,18,0,15,9,16,8,0,8,0,24,0,16,16,0,0,0,0,17,19,17,0,0,0,15,0,0,15,18,14,19,0,15,17,18,18,0,23,0,0,0,0,17,17,0,9,8,0,19,17,0,17,18,16,21,19,17,0,15,0,0,20,15,0,8,0,0,20,22,0,15,0,9,0,0,19
M1_is Enclosed,11.75,15,15,16,8,7,17,7,7,1,15,15,15,0,17,0,17,7,7,7,7,15,7,7,15,17,18,7,15,17,16,24,8,6,18,24,15,0,7,7,14,8,24,9,7,17,18,18,0,8,18,9,15,18,14,9,19,15,17,18,9,15,23,18,8,8,7,7,17,7,8,8,15,8,7,18,17,7,8,7,19,9,7,15,21,15,7,7,17,19,8,17,7,8,7,7,7,7,7,17,7
 Composting Method,10.3,19,0,16,21,15,15,15,0,0,0,17,14,0,0,0,14,0,0,1,16,16,0,15,15,17,18,9,15,0,16,24,0,0,18,24,15,0,16,17,0,19,24,0,0,9,0,0,15,0,0,20,9,0,9,19,0,9,0,9,15,18,23,0,0,19,0,17,17,16,15,16,0,19,0,0,15,1,0,9,19,17,18,15,6,0,20,14,17,19,9,0,20,22,23,0,18,19,0,15,19
Additive_4,2.42,0,15,0,6,18,0,2,2,0,2,17,0,0,0,0,0,0,15,2,0,0,15,0,0,0,2,15,2,0,0,2,0,2,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,7,2,0,2,0,2,0,0,2,7,2,0,0,0,2,2,0,0,2,0,0,2,2,7,0,14,7,0,6,0,2,0,0,2,2,0,2,0,2,10,0,0,0,2,0,2,2,2,0,2,0,19
Additive_2,10.44,19,9,9,21,7,9,9,19,0,15,17,7,15,7,9,0,9,0,14,9,7,7,15,15,9,18,9,15,9,16,9,15,17,9,0,9,16,16,9,9,7,9,9,7,17,18,9,0,9,9,9,9,14,14,9,19,0,9,6,9,9,23,9,14,9,22,9,17,0,0,16,15,7,17,9,17,18,16,21,14,0,18,0,0,0,20,0,9,0,6,9,9,7,9,20,18,9,7,7,9
Additive_1,8.72,15,6,6,7,6,0,6,6,6,6,6,9,7,6,7,17,7,13,23,9,15,9,6,9,17,0,0,0,6,7,15,6,17,18,6,7,6,6,7,6,19,6,6,0,17,7,7,20,6,18,20,7,6,14,6,6,6,7,7,7,18,6,7,7,6,7,6,7,6,7,1,6,7,9,6,1,15,15,21,7,7,6,7,6,6,6,15,6,0,7,6,20,6,23,20,6,15,9,6,7
Material_3,13.84,19,6,0,21,18,17,15,6,7,15,17,14,0,17,0,0,18,13,23,16,6,15,15,15,6,18,15,6,17,16,24,0,6,6,24,17,0,16,17,14,19,7,17,15,17,18,0,20,15,18,21,15,18,14,6,0,19,6,18,18,18,7,18,19,19,22,17,6,6,21,16,15,19,6,18,17,6,16,21,19,6,6,15,21,16,20,15,17,19,19,17,20,22,23,6,18,0,6,17,19
Material_2,2.0,0,0,0,9,0,0,0,0,17,0,1,0,0,17,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,9,0,0,18,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,14,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,15,0,0
Additive_3,9.9,6,18,6,21,2,14,2,7,17,6,14,2,17,6,2,17,18,13,23,16,6,7,6,6,17,18,15,15,6,6,24,2,6,18,2,1,7,16,2,14,6,2,6,14,2,2,18,14,6,14,7,6,18,14,14,6,6,14,1,15,7,2,18,2,2,2,7,1,16,22,2,1,19,17,2,14,6,6,6,19,17,14,2,14,6,6,7,2,1,6,17,7,13,23,20,14,2,6,17,19
Period (d),16.25,19,18,7,21,18,17,15,19,17,15,17,14,17,17,17,17,18,13,13,16,1,15,15,15,1,13,15,15,17,16,7,20,17,18,14,17,16,16,17,14,19,24,13,16,17,18,18,20,15,18,20,15,18,14,19,19,7,17,18,18,18,23,18,19,19,22,17,17,16,22,16,15,19,17,18,17,18,16,7,14,17,18,15,21,16,20,15,17,19,19,17,20,22,13,13,18,19,13,17,1
V1_Ventilation Type,12.95,7,18,16,21,18,6,15,19,7,15,17,6,17,17,17,6,6,6,23,6,16,15,15,15,6,18,6,15,17,16,6,20,7,6,24,6,16,7,17,6,19,6,6,6,17,6,18,20,6,6,6,15,18,7,19,6,6,7,18,18,6,23,6,19,6,22,6,17,16,22,7,15,19,6,18,6,6,16,21,19,6,6,6,6,6,20,15,17,19,19,17,20,22,6,20,6,19,6,17,19
V4_Ventilation Day,7.48,6,6,6,6,6,6,6,6,6,15,6,15,6,6,6,6,18,6,6,6,6,7,6,6,17,7,6,6,6,6,6,6,6,6,24,6,6,6,6,6,6,6,6,6,6,18,6,6,6,6,6,7,6,6,6,19,19,6,6,6,1,23,6,6,6,6,6,6,6,6,6,15,6,6,6,15,13,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,17,6
V3_Ventilation Duration (min),15.67,19,18,16,21,18,7,15,19,7,15,17,14,17,17,7,13,7,7,23,16,16,15,15,15,17,18,15,15,17,7,24,20,7,18,24,17,16,16,17,13,19,24,17,13,17,18,7,20,15,18,11,15,18,7,19,7,19,17,18,18,18,23,18,19,19,22,17,7,16,7,16,15,7,17,7,17,6,16,21,19,17,18,7,21,16,7,13,17,19,7,17,20,22,13,20,18,19,21,17,19
Application Rate (%DW),9.45,14,2,2,2,2,13,15,19,2,14,2,14,2,2,17,14,2,14,2,2,15,2,14,2,2,13,14,15,2,15,2,14,15,14,24,2,14,2,2,14,2,2,17,16,7,18,2,14,2,14,20,2,18,7,7,7,2,7,14,2,18,23,18,7,15,2,17,7,14,7,15,15,7,15,2,17,2,13,21,2,2,14,15,2,16,2,2,2,2,19,2,7,2,14,20,2,14,2,17,19
Compost volume (m3),16.89,19,18,16,21,18,17,7,19,17,15,17,14,17,17,7,17,18,13,23,16,16,7,15,15,17,18,7,15,17,16,24,20,17,18,7,17,16,16,17,14,19,24,17,16,17,18,18,20,15,7,20,15,18,14,19,19,19,17,18,18,18,23,18,19,19,22,17,17,16,22,16,15,19,17,18,17,15,16,21,19,7,18,15,21,7,20,15,17,19,19,17,20,22,23,20,18,19,21,17,7
V5_Ventilation rate (L/min/kg iniDW),16.13,19,18,13,21,18,17,15,19,17,15,7,14,7,7,17,17,18,7,23,7,16,15,13,15,7,18,15,15,17,11,24,20,17,18,24,17,11,16,13,14,19,24,17,16,17,18,18,20,15,18,20,15,18,11,19,19,19,17,18,18,18,23,13,19,19,22,17,13,16,13,13,15,13,17,7,17,18,16,21,13,17,18,15,21,16,7,15,7,19,19,17,7,7,23,20,18,19,21,17,19
Initial Moisture Content (%),16.93,19,18,16,21,18,17,15,19,17,15,7,13,7,17,17,17,18,13,23,16,16,15,15,15,17,18,15,15,17,16,24,20,17,18,24,17,16,16,17,14,19,24,17,16,17,18,18,7,15,7,20,15,18,14,19,19,19,17,18,11,18,23,18,19,19,22,17,17,16,22,7,15,19,17,18,17,18,16,21,19,17,18,15,21,7,20,15,7,19,19,17,20,22,23,20,18,7,21,17,19
Initial TN (%),13.5,19,7,16,7,7,17,7,7,7,7,17,14,17,7,17,7,18,13,23,7,16,15,7,15,7,18,15,15,7,16,24,7,7,7,24,17,16,16,7,14,19,24,7,16,7,18,7,20,7,7,20,15,7,7,7,19,19,17,7,7,18,23,7,7,19,7,17,7,16,22,7,7,19,7,18,17,18,16,21,19,17,18,15,21,7,20,15,17,7,19,7,20,7,23,20,7,19,7,17,7
Initial C/N (%),12.22,2,2,7,7,18,17,14,14,14,14,2,14,17,17,7,7,18,14,7,16,16,15,15,15,17,18,7,15,17,2,24,7,7,7,24,17,2,2,7,7,2,2,17,16,7,20,7,7,13,18,20,2,18,7,19,13,7,17,20,14,18,2,14,7,19,22,2,2,2,14,7,15,14,14,7,17,18,16,2,19,15,18,15,21,16,2,7,2,19,19,7,20,2,23,20,18,19,14,17,2
Initial pH,16.75,19,13,16,13,18,17,15,19,17,15,17,14,17,17,17,17,18,13,23,16,16,15,15,15,17,18,11,11,17,16,13,11,17,18,24,17,13,16,17,14,19,24,17,11,17,18,18,20,15,13,7,15,18,14,19,19,19,15,18,18,11,23,18,19,19,22,17,17,16,22,16,15,19,17,18,17,7,16,21,19,17,18,14,11,16,20,11,17,11,19,17,20,22,23,20,18,19,21,17,19
