Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.0846307571673865,16.828788165136668,2.7678003283480034e-16,True
Turning times,0.06263794748831072,9.47786246079335,1.3248711828896645e-05,False
V2_Ventilation Interval (min),0.019103771983675813,1.3025210813959944,0.00010587621180113132,False
M1_is Enclosed,0.005237551958699319,0.31938203586946123,1.6925525476164958e-06,False
 Composting Method,0.012255610350111728,0.6052263231428672,6.216166878264929e-06,False
Additive_4,0.0,0.0,5.435244960577705e-07,False
Additive_2,0.010610737167276743,0.75173947469548,5.390139851078023e-06,False
Additive_1,0.05685250879447722,9.423388375018941,0.003077712450171,False
Material_3,0.0007340942375863515,0.014977021829970738,5.789660664016965e-07,False
Material_2,0.037951137374407175,6.596051322952398,0.7867951843115776,False
Additive_3,0.00185356876181564,0.07945245699750103,6.929475327302618e-07,False
Period (d),0.029206634460672686,1.9828172917874909,0.00047901546261780155,False
V1_Ventilation Type,0.013461478086280447,1.8828230780981308,0.0001545243001488963,False
V4_Ventilation Day,0.06892745236311014,10.779997868928035,0.0004209099845613665,False
V3_Ventilation Duration (min),0.011190649370420072,0.7182195830013995,7.47982144477475e-06,False
Application Rate (%DW),0.061081969936579696,11.627313979482963,0.0005132221363200669,False
Compost volume (m3),0.09026835772545239,15.872673341289765,1.5541291107399383e-14,True
V5_Ventilation rate (L/min/kg iniDW),0.08569652738016538,7.619731295768027,0.0017646060727154798,True
Initial Moisture Content (%),0.10268734536423779,9.404371781823496,0.0005388091107984742,True
Initial TN (%),0.07102894420624246,4.307765777733124,0.4810466299037883,False
Initial C/N (%),0.1034546679532781,8.702780789346097,0.0010635982537549867,True
Initial pH,0.07112828786981368,5.859757723893317,0.4748900960691629,True
