Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,10.680402007118222,23.505626176618726,2.7144739656763853e-14,True
Period (d),4.887976476833797,9.231469527524915,0.22047160165032953,False
Turning times,7.080833420271451,16.19048190924805,0.00024866869703161836,False
V2_Ventilation Interval (min),1.4912179998267716,2.291234367319994,1.3617625548568767e-06,False
M1_is Enclosed,3.2270733114309027,8.53780778736391,0.23013116815853946,False
 Composting Method,1.9541668388708462,3.8127839043952463,4.428328145614272e-05,False
Additive_3,0.35424498059959925,0.7936361075067033,5.864099105622136e-08,False
Additive_2,1.4162575358430236,1.6373205938686688,1.2991276751704136e-06,False
Additive_1,7.854119405474654,17.23054000975695,3.291396010071447e-07,True
Material_3,0.5124552253564021,0.6667741373548601,3.771080965918564e-08,False
Additive_4,0.04928134549123315,0.02538894370249878,3.905217117895243e-09,False
Material_2,3.6454987816645192,7.739357538706209,0.3599007509490151,False
V1_Ventilation Type,3.862344775011985,7.595780138459219,0.07185152572323214,False
V4_Ventilation Day,3.506708339513532,5.395548035184731,0.0015703395764899754,False
Compost volume (m3),5.571486846352182,11.41031672665325,0.9882473397851129,False
V3_Ventilation Duration (min),2.677898462821709,5.399700250657325,0.004088006581979274,False
Application Rate (%DW),3.48986630613054,6.571734264067501,0.03759788341190978,False
Initial Moisture Content (%),4.396879570856818,11.258115990245287,0.8292634171745561,False
Initial C/N (%),7.139310051661595,15.383969689874469,0.0004995325732810148,True
Initial pH,8.387526220676873,22.542395238863755,4.131325065568472e-12,True
Initial TN (%),9.178215374456009,19.611142202401133,9.166270478747497e-08,True
V5_Ventilation rate (L/min/kg iniDW),8.636236723737332,23.147179019920998,1.7646975979726866e-10,True
