Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,18.65,22,20,20,19,23,17,25,22,19,18,19,18,18,18,16,17,18,15,17,21,20,19,19,21,19,19,17,17,18,21,16,21,18,21,19,15,19,18,17,14,16,19,18,19,17,20,18,18,18,14,14,19,19,16,19,18,17,22,23,19,17,17,16,21,18,18,20,19,18,21,20,17,17,17,21,26,20,17,18,15,18,20,19,17,18,20,19,20,21,16,23,18,17,19,19,24,18,16,19,18
Period (d),10.51,12,12,2,12,12,12,12,12,5,12,15,12,12,18,16,12,18,12,12,12,12,12,5,5,5,19,17,11,5,2,12,12,12,2,5,5,12,12,0,12,12,19,12,12,12,12,11,2,12,12,11,12,12,12,12,5,11,12,5,2,2,12,12,21,12,12,5,11,5,5,12,12,12,12,12,12,12,17,5,12,12,2,19,12,12,12,12,12,5,16,11,18,5,2,12,12,11,12,5,5
Turning times,13.68,0,20,20,0,0,6,25,22,19,18,19,18,2,18,16,17,18,15,2,21,20,0,0,21,19,19,17,17,18,16,16,6,11,21,0,11,6,18,6,14,16,19,18,6,6,20,18,18,0,11,14,0,19,16,0,18,17,22,0,0,17,0,16,21,6,18,20,0,18,21,20,17,17,17,21,26,20,17,18,0,18,20,19,2,18,0,0,20,21,16,23,18,17,19,6,0,18,16,19,18
V2_Ventilation Interval (min),9.52,9,8,20,8,2,17,0,22,0,16,0,9,0,8,16,8,0,8,17,8,8,2,19,8,19,9,8,8,0,16,16,8,18,8,0,2,8,8,2,8,0,9,9,19,17,8,8,8,8,16,0,9,8,0,9,8,9,22,9,9,8,16,2,0,0,8,8,8,8,21,11,16,9,0,16,16,8,17,16,8,0,8,16,8,8,20,11,20,21,9,11,2,11,11,9,8,18,9,11,9
M1_is Enclosed,6.13,11,0,0,11,23,0,0,16,11,0,0,16,18,0,11,16,18,15,0,0,20,0,0,0,19,2,0,0,0,21,0,0,0,0,0,11,0,11,0,14,0,0,0,0,0,0,0,0,18,14,14,0,0,0,0,0,0,0,23,2,0,0,16,0,16,0,0,9,0,0,20,17,11,0,0,11,20,17,0,15,2,16,0,17,0,0,19,0,21,0,0,11,0,0,0,24,0,16,0,0
 Composting Method,4.35,0,0,0,11,8,8,8,6,0,0,0,15,0,18,0,0,0,6,0,8,3,8,3,0,3,8,0,0,15,0,3,0,8,0,19,8,3,0,0,0,16,15,0,0,3,0,18,18,15,0,0,0,3,0,13,18,0,0,0,15,0,13,0,0,0,0,6,0,0,9,8,0,8,0,6,0,0,0,0,13,0,3,15,8,0,0,0,3,16,7,0,8,0,0,0,0,0,9,0,0
Additive_3,6.65,0,0,0,8,0,8,0,22,7,9,0,8,18,18,16,8,0,0,8,0,8,0,0,0,0,19,0,8,2,11,16,0,0,19,0,15,0,2,11,14,0,0,0,11,0,0,18,18,0,9,0,0,0,0,9,0,0,7,23,11,0,0,16,21,0,18,0,0,0,21,20,7,0,0,21,26,20,0,18,0,0,9,19,0,0,0,19,0,21,0,0,0,0,9,2,0,18,0,0,19
Additive_2,10.17,7,7,20,7,7,7,25,8,7,9,7,8,0,8,7,17,7,7,7,7,2,11,19,0,9,7,17,9,16,8,19,7,9,16,19,2,19,18,7,7,16,8,7,7,17,7,18,7,7,14,0,7,19,7,0,9,7,7,7,8,0,2,16,21,7,7,7,0,18,21,16,17,17,8,7,7,7,8,18,8,7,7,7,17,18,20,7,7,7,7,7,18,17,16,2,24,7,16,7,8
Additive_1,14.27,22,7,16,16,23,0,7,2,19,7,7,7,16,18,8,16,18,16,7,21,8,7,19,11,0,16,8,17,7,11,16,21,18,21,16,15,7,18,17,11,16,19,18,7,17,7,18,7,18,14,8,19,19,16,19,18,17,22,23,0,8,17,0,8,18,18,7,11,16,8,16,16,17,17,2,26,20,17,18,15,16,7,19,2,18,20,11,20,13,16,23,18,17,19,19,24,18,16,19,18
Material_3,2.56,0,0,20,0,8,0,0,0,0,11,0,0,0,0,11,0,2,0,11,0,11,0,0,0,11,0,0,17,0,11,0,0,0,0,8,0,0,0,16,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,18,0,0,0,0,2,0,0,11,11,0,0,0,0,0,0,0,0,0,11,0,7,0,0,0,11,0,0,11,0,8,0
Additive_4,10.86,3,7,20,19,15,17,3,8,16,3,19,18,3,7,16,17,18,3,3,15,7,15,8,3,19,7,15,15,7,2,16,7,18,3,3,16,8,18,3,3,2,3,18,3,17,16,7,18,3,3,7,3,19,16,8,3,3,3,23,19,17,15,16,21,3,18,20,3,2,8,8,3,3,8,21,7,20,11,3,15,8,20,19,17,18,3,15,20,3,16,3,18,3,19,7,3,18,3,19,15
Material_2,16.19,13,20,20,19,23,17,8,22,19,8,19,18,18,2,16,17,18,15,17,21,20,7,8,8,8,19,8,17,18,21,16,21,18,21,19,15,19,18,17,14,16,19,8,19,17,7,18,8,18,14,14,19,8,16,19,18,17,22,23,2,11,8,16,21,18,18,20,19,18,21,20,13,17,13,21,26,8,17,8,15,18,13,16,17,18,20,19,20,21,2,15,18,17,19,19,24,18,16,19,18
V1_Ventilation Type,15.17,22,20,20,19,7,17,25,22,19,8,7,8,7,18,16,17,18,15,17,21,20,8,19,21,8,19,17,8,8,7,16,21,18,16,19,8,19,18,17,14,16,16,7,7,8,20,16,18,18,8,14,8,19,7,16,18,7,22,23,19,17,8,7,21,18,18,16,19,18,7,20,17,7,17,7,26,20,17,7,15,18,20,19,8,18,8,19,7,21,8,23,18,7,7,19,24,18,16,19,7
V4_Ventilation Day,7.81,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,21,7,7,7,7,7,7,7,7,7,21,7,21,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,19,7,7,7,7,7,7,7,7,7,7,7,7,19,7,7,8,7,7,7,7,2,8,7,18,7,7,7,7,7,7,7,7,7,7,7,7,7,7,19,7,7,7,7,7,7
Compost volume (m3),16.21,22,20,20,19,23,17,25,15,8,18,19,18,8,18,16,13,18,15,8,21,8,8,19,21,19,19,17,2,13,21,16,21,18,21,19,15,19,18,17,14,16,19,18,8,17,13,18,13,13,14,14,19,8,16,13,18,17,22,23,19,17,17,16,21,18,2,13,2,18,21,20,17,17,15,21,26,20,17,18,2,18,20,19,17,18,20,19,8,21,16,8,18,13,19,19,24,8,13,13,8
V3_Ventilation Duration (min),11.18,15,15,3,8,3,3,25,8,8,2,8,15,2,18,16,3,3,3,2,8,13,19,19,21,3,2,17,8,8,21,16,8,13,18,13,3,19,15,15,14,15,19,8,13,17,3,8,15,3,14,3,15,2,8,19,18,17,8,3,19,17,3,15,8,15,8,3,8,18,8,15,3,2,17,15,3,8,3,15,15,18,13,13,8,18,15,15,16,21,13,15,13,15,19,8,3,3,16,15,2
Application Rate (%DW),18.08,22,20,20,19,23,17,25,22,19,18,8,18,18,18,16,17,18,15,17,21,20,19,19,21,19,19,17,17,13,13,13,21,18,21,19,16,19,18,17,14,16,19,18,13,17,20,8,18,18,14,14,19,19,16,19,18,17,22,13,19,17,17,16,21,18,18,20,19,18,21,20,17,17,17,21,26,20,17,18,15,18,20,19,17,13,20,19,20,21,16,23,18,17,19,19,24,18,16,19,18
Initial Moisture Content (%),15.23,22,20,1,19,23,17,25,8,13,16,19,18,18,8,16,17,18,15,17,1,20,19,19,1,19,19,13,8,18,21,16,21,18,8,8,15,19,18,17,1,16,19,18,19,8,8,18,18,18,14,14,13,19,16,8,18,17,22,23,19,17,17,16,13,8,1,8,8,18,21,13,17,17,17,21,8,20,2,18,15,18,20,8,17,8,20,19,20,21,16,8,8,17,13,16,24,8,16,19,18
Initial C/N (%),16.69,22,20,13,1,23,17,25,22,19,18,19,18,18,18,16,18,18,15,17,21,20,18,8,21,1,19,18,17,18,21,16,21,1,21,19,15,19,18,17,14,13,19,18,1,17,18,18,18,13,14,14,19,8,8,19,18,17,22,23,8,13,17,13,21,18,18,20,19,18,1,20,18,8,17,21,26,20,17,18,15,8,20,19,17,18,20,19,20,21,16,23,18,17,19,8,24,18,8,15,18
Initial pH,17.49,22,20,20,19,23,17,25,22,19,8,19,18,18,18,16,16,18,15,17,8,8,19,19,21,19,19,17,13,18,21,16,8,18,21,19,15,19,18,17,14,13,19,8,19,17,20,18,18,18,14,8,19,19,16,19,18,17,22,23,19,17,17,16,21,8,18,8,19,18,21,20,17,17,17,21,26,20,17,18,16,18,20,19,1,18,20,19,13,21,16,23,18,17,19,19,24,18,16,19,18
Initial TN (%),13.54,22,8,1,19,23,15,18,15,19,13,19,15,18,18,16,13,3,3,15,8,20,15,19,13,19,8,8,17,8,21,16,3,18,8,19,8,13,18,8,14,16,19,8,1,17,20,8,8,18,14,14,18,19,8,15,15,17,8,23,8,17,13,16,8,1,18,20,8,18,15,15,1,17,8,21,1,20,8,3,15,15,15,19,8,8,20,13,15,21,8,15,18,8,8,19,24,18,15,8,8
