Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,45.89262008666992,40.54374644074801,2.5270239839009377e-13,False
Period (d),36.54018783569336,11.650055069792337,0.33657520995338386,False
Turning times,34.87113952636719,8.382363570350122,0.10149477399063116,False
V2_Ventilation Interval (min),30.025039672851562,2.59370109455641,7.507634364959371e-06,False
M1_is Enclosed,52.287139892578125,18.46158201943036,0.05928019012303419,True
 Composting Method,52.893917083740234,1.976387697913495,5.718263227472155e-06,True
Additive_3,13.388900756835938,0.5276346728663768,1.4450707873105438e-06,False
Additive_2,43.09754943847656,4.570576514549572,0.0003597972144326928,False
Additive_1,34.22233581542969,44.33378512950571,8.098831240777419e-18,False
Material_3,66.38169860839844,1.8496239131682337,7.488429884117576e-06,True
Additive_4,0.0,0.0,7.207421847178392e-07,False
Material_2,35.28974914550781,13.009475702235445,0.8352914948864961,False
V1_Ventilation Type,28.40460205078125,2.9567268229391814,7.076764964396381e-05,False
V4_Ventilation Day,40.75843048095703,6.877957497104507,0.0019374674173272806,False
Compost volume (m3),49.3402099609375,8.382537506459823,0.08233930850966169,False
V3_Ventilation Duration (min),49.74303436279297,5.8498012831243855,0.0023619802567174243,True
Application Rate (%DW),24.78449058532715,12.92506160214899,0.5498283320051663,False
Initial Moisture Content (%),17.21540069580078,7.84358978422355,0.05839472037025284,False
Initial C/N (%),40.05909729003906,28.805490786835254,5.315856276098263e-10,False
Initial pH,26.32030487060547,19.843667624737957,0.0256836834186341,False
Initial TN (%),53.67934036254883,27.22532046960082,3.0301331591770508e-06,True
V5_Ventilation rate (L/min/kg iniDW),52.06731414794922,30.85607943182936,2.631264750984961e-07,True
