,feas,Correlation with Target
0,Material_Main,0.01722138081729232
1,Turning times,0.014305788630691528
2,V2_Ventilation Interval (min),0.008008878594932628
3,M1_is Enclosed,0.01322329747500383
4, Composting Method,0.005708496486654994
5,Additive_4,0.0
6,Additive_2,0.0
7,Additive_1,0.006172596352751306
8,Material_3,0.0027318544213986305
9,Material_2,0.0047538026692466465
10,Additive_3,0.0
11,Period (d),0.004358838464344842
12,V1_Ventilation Type,0.002902967463074853
13,V4_Ventilation Day,0.004858234990110818
14,V3_Ventilation Duration (min),0.001480930572863511
15,Compost volume (m3),0.007286598597843118
16,Application Rate (%DW),0.013245702968143864
17,V5_Ventilation rate (L/min/kg iniDW),0.012632206667104073
18,Initial C/N (%),0.01357025755731966
19,Initial Moisture Content (%),0.00499086920174705
20,Initial TN (%),0.01802834943040353
21,Initial pH,0.00747119193703909
