,feas,Correlation with Target
0,Material_Main,2.0553918427194784
1,Period (d),2.1554298443918336
2,Turning times,2.874505735170636
3,V2_Ventilation Interval (min),0.09133188109508268
4,M1_is Enclosed,0.22569602630574753
5, Composting Method,0.24544965547299608
6,Additive_3,0.004118772236229561
7,Additive_2,0.09805916262595475
8,Additive_1,1.0243279037276787
9,Material_3,0.003347525871769086
10,Additive_4,0.0
11,Material_2,1.1698790997702406
12,Application Rate (%DW),1.150947063028228
13,Compost volume (m3),0.9145578842012833
14,V1_Ventilation Type,0.45694250312136114
15,V4_Ventilation Day,1.1268225499197617
16,V3_Ventilation Duration (min),0.09316875490537975
17,V5_Ventilation rate (L/min/kg iniDW),0.8205785006214854
18,Initial TN (%),0.6909619912679347
19,Initial Moisture Content (%),0.7087325986382648
20,Initial C/N (%),0.7681334862150883
21,Initial pH,0.48874859114476227
22,Initial TC (%),0.4932818113907522
