,Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%)
Material_Main,0.23388164,0.018220782,0.0024336616,0.0016820481,0.0025624104,0.0,0.0009994203,0.01387214,4.127578e-06,0.004802443,0.000906146,0.010108518,0.0015374583,0.012549281,0.0061243773,0.008193504,0.013962525,0.0076675285,0.02532795,0.009568801,0.008820467,0.005028519
Turning times,0.01822078,0.077287234,0.007050387,0.0009630679,0.004049602,0.0,0.00069642946,0.009490194,5.082398e-05,0.0038045712,0.0035180317,0.0038993456,0.00070067437,0.0016800924,0.0052802917,0.00080855924,0.0053342814,0.0027054455,0.013764946,0.0095063755,0.002630014,0.0026997635
V2_Ventilation Interval (min),0.0024336628,0.0070503852,0.018014818,1.9526042e-06,6.871435e-05,0.0,9.020652e-06,0.0016827823,1.1103844e-07,0.00019163106,0.00051609497,0.00015577592,5.2104697e-05,0.0014988703,1.165236e-05,0.0010001706,0.0021348386,0.00083270436,0.003696771,0.00087775977,0.0007822387,0.0009079756
M1_is Enclosed,0.001682048,0.0009630669,1.9527188e-06,0.0048583485,0.0002780105,0.0,1.350394e-05,0.0016295225,0.0,0.0025983583,0.0,4.8574693e-05,0.00034115562,0.0007434405,0.00019196446,0.00020523336,9.407441e-05,0.00036717442,0.0009469149,0.00092598994,0.0014403025,0.00090584456
 Composting Method,0.002562413,0.0040496024,6.8714384e-05,0.00027801064,0.0077476413,0.0,1.4113992e-05,0.0020164002,2.2006295e-06,0.0022856246,0.0,0.0001246037,0.0,0.0008907763,0.00046706453,0.0006916805,0.000624333,0.000357266,0.0009166126,0.0012239516,0.000638506,0.00045513918
Additive_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Additive_2,0.0009994162,0.0006964296,9.020819e-06,1.3503892e-05,1.4113981e-05,0.0,0.004609485,0.00058914075,3.4822053e-06,8.6949614e-05,7.717071e-06,0.00018339207,3.4897625e-05,0.00037683567,0.00070768635,5.824538e-06,0.0021890872,0.0011567749,0.003088253,0.00039736924,0.00035891833,0.000575395
Additive_1,0.013872142,0.009490201,0.0016827818,0.0016295225,0.0020164005,0.0,0.0005891399,0.07935822,8.218116e-06,0.004228873,1.4278198e-05,0.0015242647,0.0014739701,0.007804618,0.004935734,0.008152099,0.0050952523,0.011819915,0.007555913,0.0061106468,0.009308143,0.0032477782
Material_3,4.127077e-06,5.0823965e-05,1.1102068e-07,0.0,2.2006354e-06,0.0,3.4822044e-06,8.217891e-06,0.00033793272,9.08111e-07,3.8321155e-06,2.7332808e-05,0.0,0.0,3.5277855e-05,0.0,4.4624403e-06,1.8161792e-05,6.525958e-08,3.0711424e-05,2.5556657e-05,2.5019872e-06
Material_2,0.0048024403,0.00380457,0.00019163055,0.0025983586,0.002285624,0.0,8.694907e-05,0.0042288746,9.082693e-07,0.017880231,2.2647355e-05,0.0044876575,0.00045833414,0.0016188812,0.0026915004,0.0009118353,0.00184606,0.0013378186,0.004579081,0.0016920154,0.0018930971,0.00078343163
Additive_3,0.0009061441,0.003518035,0.000516095,0.0,0.0,0.0,7.7169725e-06,1.4278811e-05,3.832097e-06,2.2647335e-05,0.0043639927,3.119155e-05,0.0,1.5124483e-05,2.8107514e-05,9.182565e-07,9.5902e-06,2.643777e-05,0.0021518478,1.769007e-05,2.4297997e-05,6.94901e-06
