Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,7947.440563201904,6.206387324977655,0.0006649951565121362,False
Turning times,27800.368000030518,56.70406508747702,8.815801042291897e-08,False
Period (d),26873.580169677734,30.838111438034375,0.04060550418570246,False
V2_Ventilation Interval (min),34133.59170150757,32.75637804736222,0.4485489666908298,True
M1_is Enclosed,23798.487186431885,33.39812907260868,0.07968704168710793,False
 Composting Method,690.8781967163086,2.1764723711169154,2.581800518494799e-05,False
Additive_3,0.0,0.0,7.01446916633612e-06,False
Additive_2,9959.96989440918,8.670055238952528,0.007886441555548553,False
Additive_1,5723.54602432251,3.1540104144655032,0.00025376526794807777,False
Material_2,3607.4088821411133,2.162757498584554,5.8893717479643426e-05,False
Additive_4,0.0,0.0,7.01446916633612e-06,False
Material_3,0.0,0.0,7.01446916633612e-06,False
Compost volume (m3),14310.311645507812,16.145244352906857,0.432455574740787,False
V1_Ventilation Type,5153.731872558594,1.4117346244535156,4.654900102995703e-05,False
V4_Ventilation Day,21679.9846534729,23.71257483258664,0.29173050699526476,False
V3_Ventilation Duration (min),7952.110431671143,5.015519540984641,0.0012511445081998575,False
Application Rate (%DW),34917.98324203491,66.57490622884696,8.368563121346385e-11,True
V5_Ventilation rate (L/min/kg iniDW),42454.21633720398,30.70317615917837,0.21913684424896906,True
Initial GI (%),34114.46332550049,19.443289691999894,0.5096735612306365,True
Initial pH,41873.723472595215,45.20392443810914,6.666551860462234e-08,True
Initial C/N (%),70089.12719726562,112.64029365364071,2.291748624777437e-20,True
Initial Moisture Content (%),18207.14426803589,16.25129313787346,0.33669028357966047,False
