Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,17.76,22,21,21,17,21,23,15,13,21,16,15,20,16,19,15,18,17,18,15,17,15,16,18,16,22,15,16,22,19,20,22,18,18,17,14,18,16,16,22,21,17,15,15,14,16,16,18,18,17,18,20,19,14,19,18,17,24,18,17,16,18,14,16,15,25,18,19,15,18,20,16,22,17,16,15,19,13,15,17,18,18,17,19,21,21,18,19,19,17,22,16,17,18,20,15,20,18,16,17,15
Turning times,11.66,13,15,13,17,5,13,11,13,21,13,13,11,5,5,16,5,13,15,13,13,13,5,5,5,5,5,16,5,13,5,13,13,16,17,14,5,5,15,5,21,17,13,15,5,11,5,18,13,5,18,20,5,5,19,18,16,24,5,13,13,13,5,13,5,13,13,19,15,5,20,16,22,5,13,15,13,16,13,5,5,5,13,19,5,21,13,11,5,5,13,15,5,13,5,15,13,18,5,16,5
Period (d),14.18,22,11,11,11,0,23,15,13,21,16,15,20,9,19,16,16,17,18,11,17,15,16,11,16,11,11,16,11,11,11,22,11,18,11,14,11,11,16,22,21,17,15,15,14,9,0,18,11,17,11,20,11,14,19,18,11,11,11,11,7,18,14,11,7,11,11,11,15,18,20,16,22,11,16,15,19,13,11,17,11,18,17,19,21,21,18,9,19,17,11,7,11,18,7,11,11,11,16,11,11
V2_Ventilation Interval (min),12.11,8,8,21,17,8,8,8,8,8,16,15,16,16,11,15,11,17,18,8,8,8,16,8,16,8,15,8,8,19,11,8,8,8,17,11,18,8,16,8,11,8,8,11,8,16,11,11,8,8,11,16,1,1,19,18,17,16,11,8,8,18,14,16,8,8,16,8,15,16,16,8,8,17,16,15,19,13,16,16,8,8,17,19,11,11,18,16,8,11,1,16,17,16,11,8,20,8,8,11,15
M1_is Enclosed,12.59,22,21,21,17,0,0,9,16,21,16,15,20,16,19,15,18,17,18,0,17,0,16,18,0,0,16,16,1,19,20,16,18,18,17,0,0,16,16,22,16,17,15,15,0,16,0,18,18,17,0,16,16,16,19,18,17,24,0,9,16,0,0,16,15,25,0,19,15,18,7,0,22,17,9,1,19,0,0,17,0,16,0,0,0,21,18,19,16,9,22,16,17,18,0,15,20,18,7,17,0
 Composting Method,5.7,0,21,0,6,0,0,0,0,0,0,0,0,16,8,0,16,0,18,0,0,0,8,0,0,22,0,0,8,0,8,16,0,0,16,1,0,8,16,0,16,8,0,16,0,16,0,16,8,0,0,0,6,16,0,18,0,0,0,8,0,16,16,0,15,25,18,19,1,0,0,0,0,1,0,0,0,16,0,17,0,0,0,19,0,16,0,19,0,17,15,0,0,8,16,0,0,0,0,0,0
Additive_3,12.9,22,21,21,17,21,23,15,9,16,16,7,8,9,8,15,18,17,18,8,17,15,16,1,8,8,15,16,22,19,20,9,8,8,7,7,18,16,16,9,21,17,7,8,14,9,7,18,18,16,8,8,19,14,19,18,7,16,8,17,16,18,14,9,8,9,8,9,15,8,20,16,8,8,8,15,9,9,15,8,1,18,17,9,21,0,1,1,19,17,8,8,17,18,20,8,8,8,16,17,15
Additive_2,11.76,7,7,21,7,21,23,8,8,7,19,7,20,7,19,15,7,7,7,15,17,15,16,19,16,16,7,16,22,19,16,7,18,16,7,7,7,8,8,22,21,17,15,15,7,8,7,8,7,17,7,7,19,16,1,18,17,1,7,7,7,1,8,7,7,25,18,7,7,18,16,16,7,0,7,15,7,13,7,7,7,7,7,19,7,16,19,1,19,17,7,16,17,7,20,15,20,7,7,1,7
Additive_1,14.15,22,21,9,9,8,23,15,13,9,16,7,7,7,19,7,7,17,18,8,17,7,16,18,0,0,15,16,22,19,20,22,18,18,8,14,8,16,16,7,21,17,15,15,16,16,16,18,18,17,18,7,19,7,19,18,7,24,18,17,16,18,14,16,15,7,7,19,15,18,16,7,22,9,16,15,19,13,7,17,18,18,17,7,7,0,16,9,19,17,0,16,17,18,20,15,7,18,16,17,15
Material_2,3.44,0,0,0,0,0,0,0,0,0,16,0,0,0,19,0,0,1,0,0,0,15,0,1,1,0,15,16,0,19,0,0,0,0,0,0,0,16,0,0,0,0,15,0,0,0,16,0,0,0,0,0,0,14,19,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,15,0,0,18,0,0,21,0,0,0,0,1,0,16,0,0,0,0,0,0,16,9,9
