Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,7.747554302215576,2.5659348242617988,1.6319892582241684e-05,False
Turning times,37.030250549316406,35.14724298891585,0.15020009912893698,False
Period (d),103.43138122558594,43.00875062100272,0.00048000880677919155,True
V2_Ventilation Interval (min),79.78894805908203,12.408963489519909,0.010272397909314775,True
M1_is Enclosed,74.8509750366211,82.58012523837897,2.3935189863380687e-15,True
 Composting Method,18.81426429748535,1.628115413627139,8.683876628429667e-06,False
Additive_3,0.8878601789474487,0.0009271599406552866,3.511920036531666e-06,False
Additive_2,29.94699478149414,6.335332424850822,4.991386257882686e-05,False
Additive_1,28.691396713256836,13.925780996655103,0.027821646364888913,False
Material_2,119.75320434570312,7.880136447959348,0.0006105400948518587,True
Additive_4,0.0,0.0,3.511021657989849e-06,False
Material_3,48.32759475708008,3.4806305605433288,2.219541973160294e-05,False
Compost volume (m3),66.7988052368164,14.924534596979168,0.06838942785196526,True
V1_Ventilation Type,9.74996280670166,-0.28161695422054933,4.0407679747804735e-06,False
V4_Ventilation Day,135.33697509765625,36.419520744345306,0.43988384560098615,True
V3_Ventilation Duration (min),44.93209457397461,1.033739123682956,8.915640059440724e-06,False
Application Rate (%DW),43.69328308105469,77.12423854414715,4.311951668889383e-11,False
V5_Ventilation rate (L/min/kg iniDW),62.76504898071289,32.26151926702467,0.09020245699789166,False
Initial GI (%),30.72528648376465,35.78030443056852,0.01939198398855535,False
Initial pH,29.256328582763672,46.65999345971824,0.0014098457641080835,False
Initial C/N (%),53.758689880371094,92.82313808867859,8.988846304565814e-15,False
Initial Moisture Content (%),65.52658081054688,58.228497644164634,0.0018195260516789223,False
