,feas,Correlation with Target
0,Material_Main,0.23766638648464453
1,Turning times,1.8590915084154622
2,Period (d),1.4697565005029356
3,V2_Ventilation Interval (min),2.2964405696387225
4,M1_is Enclosed,0.8836361662549289
5, Composting Method,0.32775399011380846
6,Additive_3,0.028274679332341627
7,Additive_2,0.7487714192037347
8,Additive_1,0.4726961538735652
9,Material_2,0.3657551329673864
10,Additive_4,0.0
11,Material_3,0.05058033524801037
12,Compost volume (m3),0.4541041768987338
13,V1_Ventilation Type,1.0999218304417386
14,V4_Ventilation Day,0.9491655509162654
15,V3_Ventilation Duration (min),0.2721567647077713
16,Application Rate (%DW),1.7963516637920582
17,V5_Ventilation rate (L/min/kg iniDW),1.2096974905157314
18,Initial GI (%),1.6837279162063166
19,Initial pH,0.9803328347384125
20,Initial C/N (%),2.5290756092243414
21,Initial Moisture Content (%),0.6144920895397591
