Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.829208452720195,0.004660897362123291,5.314098193568445e-13,True
Turning times,2.187817092984915,0.0049885877128912895,1.1235314278758407e-11,True
V2_Ventilation Interval (min),0.5493909585056826,0.0021787875557037536,3.298755109068098e-05,True
M1_is Enclosed,0.17790250992402434,0.0006699504982424272,0.08179063076947515,False
 Composting Method,0.0,0.0,0.0001425920328915045,False
Additive_4,0.0,0.0,0.0001425920328915045,False
Additive_2,0.0,0.0,0.0001425920328915045,False
Additive_1,0.01538468803437354,3.094417509395906e-05,0.00021909151703722462,False
Material_3,0.0,0.0,0.0001425920328915045,False
Material_2,0.047013260424137115,0.0002023434071286214,0.0003813516142405654,False
Additive_3,0.0,0.0,0.0001425920328915045,False
Period (d),0.025210229447111487,6.441631966124396e-05,0.0002279576393785963,False
V1_Ventilation Type,0.3756134246941656,0.0008277332869758448,0.12748804560978147,False
V4_Ventilation Day,0.302442891523242,0.0009882050738912055,0.4057416502124239,False
V3_Ventilation Duration (min),0.0,0.0,0.0001425920328915045,False
Compost volume (m3),0.2444883706048131,0.00028552387108537244,0.0030519193959036013,False
Application Rate (%DW),0.6265787011943758,0.0014141322310216881,0.04853162122022156,True
V5_Ventilation rate (L/min/kg iniDW),0.5451867976225913,0.0035472496011958315,8.678060389022857e-06,True
Initial C/N (%),2.0404260464711115,0.004735625702830285,3.1066804476784645e-16,True
Initial Moisture Content (%),0.23057335102930665,0.00033930067002556526,0.003071411753135709,False
Initial TN (%),0.4961832728004083,0.001339304279234882,0.7658153575521867,False
Initial pH,0.28907561026426265,0.001079887454163416,0.9854414455390161,False
