Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,12.95,13,11,15,14,16,11,13,13,15,10,13,12,19,12,14,13,12,14,13,13,13,16,13,12,12,16,14,13,11,13,12,15,12,12,12,13,12,13,11,11,12,11,14,12,13,14,12,14,12,17,12,11,14,14,14,16,12,11,10,11,12,12,15,13,12,10,15,15,11,15,12,14,13,13,12,12,10,13,10,13,13,12,16,10,15,13,13,13,12,13,17,13,11,17,14,15,12,12,12,12
Turning times,9.05,13,12,4,12,4,12,12,12,15,4,12,4,4,4,14,13,9,14,12,4,13,12,16,0,9,16,16,4,11,0,12,12,9,12,12,12,12,12,16,4,12,11,4,12,4,14,12,4,12,4,12,4,4,4,12,12,4,4,4,4,9,12,4,4,12,4,4,4,16,4,12,14,13,4,12,4,4,12,4,13,4,4,12,16,0,13,4,12,4,9,17,13,4,12,4,15,12,16,4,12
V2_Ventilation Interval (min),13.02,13,11,15,14,9,11,13,13,16,10,13,9,19,12,14,13,12,14,13,13,13,16,13,12,12,16,14,13,11,13,12,15,12,12,12,13,16,13,11,11,12,11,14,12,13,14,12,14,12,17,12,11,14,14,14,16,12,11,10,11,12,12,15,13,16,10,16,15,11,15,12,14,13,13,12,12,16,13,10,13,13,12,16,10,15,13,13,13,16,13,17,13,11,17,14,15,9,12,12,12
M1_is Enclosed,11.2,13,16,7,14,7,11,13,7,15,10,7,7,7,16,14,13,12,14,7,13,16,16,16,12,7,7,7,13,16,13,12,15,7,12,12,16,12,13,7,11,12,11,7,12,13,14,12,14,12,7,12,7,14,14,14,16,0,11,10,7,7,16,7,16,12,10,7,15,0,16,12,7,13,13,7,16,10,13,10,13,13,12,7,10,7,7,13,7,12,7,17,16,11,16,14,7,7,12,16,7
 Composting Method,9.74,13,0,15,0,0,11,0,13,15,10,13,12,9,12,14,13,0,14,13,16,13,16,0,12,12,16,14,0,0,13,16,0,12,9,0,0,12,13,11,11,12,0,14,12,13,14,0,14,0,17,9,11,14,14,0,16,9,0,9,11,12,12,1,13,0,0,15,15,11,15,12,14,13,0,12,12,0,9,9,9,0,12,16,0,15,13,13,16,9,16,0,13,11,17,14,15,12,12,12,12
Additive_4,11.12,13,0,16,14,16,0,13,13,0,0,13,12,19,16,16,13,12,14,0,13,13,16,13,12,16,0,14,13,11,16,12,0,14,12,12,13,12,13,16,11,14,0,14,12,16,0,12,14,12,17,0,11,16,14,14,7,12,14,10,11,12,12,15,16,0,0,16,15,0,0,16,0,16,13,0,16,10,16,16,13,7,12,16,16,16,13,16,16,16,13,0,0,11,17,14,15,12,12,16,0
Additive_2,11.09,13,7,15,0,7,11,13,7,15,10,13,12,19,9,14,16,12,14,13,13,13,16,13,12,12,16,7,7,11,7,12,0,12,12,12,13,12,7,11,11,12,11,14,12,13,14,12,7,1,17,7,11,14,7,14,16,12,11,1,11,12,7,7,13,12,10,16,15,11,15,12,14,13,13,12,12,10,13,10,7,13,12,16,10,7,13,13,13,1,16,17,7,1,17,7,1,12,9,12,12
Additive_1,12.59,13,11,15,14,16,11,13,9,15,9,16,9,16,12,14,13,9,9,9,14,13,16,9,12,12,16,14,13,11,13,9,15,16,9,12,13,9,13,11,11,12,11,14,12,13,14,12,14,16,17,12,9,16,14,14,9,16,11,9,11,12,12,15,9,12,16,15,7,11,15,12,9,13,16,12,12,16,9,16,13,16,16,16,10,15,14,16,13,12,13,9,13,11,9,14,15,9,12,12,12
Material_3,12.41,13,11,15,14,16,11,13,13,15,10,13,12,19,12,14,13,12,14,13,13,13,14,13,12,12,16,14,7,11,13,12,7,7,12,12,7,12,13,11,11,12,11,14,12,13,14,7,14,12,17,12,11,14,14,14,16,12,11,10,7,12,12,15,13,12,10,15,15,11,15,12,7,7,13,12,12,10,13,10,13,13,12,16,10,15,13,13,13,12,13,17,13,11,17,14,15,12,12,7,12
Material_2,8.33,13,11,15,9,16,0,0,0,0,10,9,9,19,12,14,13,12,0,13,0,0,0,14,12,0,16,9,0,9,0,0,15,16,14,12,9,12,13,11,9,12,0,14,9,9,14,12,14,12,9,0,0,0,0,14,16,12,11,9,11,0,12,0,0,0,0,0,0,11,0,9,9,13,13,12,0,10,0,0,13,13,12,16,9,15,9,0,13,16,13,0,13,0,17,0,15,9,16,9,12
