Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.08601762242436577,0.0018538644802686176,0.00012137500112751369,True
Turning times,0.16766503343873937,0.0048850943574567235,2.8067231382406694e-20,True
V2_Ventilation Interval (min),0.09555793056690012,0.002588979665516477,4.339898163549859e-06,True
M1_is Enclosed,0.015566388668130468,0.00026805042142916775,0.009168601241890987,False
 Composting Method,0.008077221902951596,9.070224402345011e-05,0.00048007396163782565,False
Additive_4,0.0,0.0,0.00018066797617529617,False
Additive_2,0.0,0.0,0.00018066797617529617,False
Additive_1,0.029686891947036442,0.0004239516966493863,0.009836761241148776,False
Material_3,0.02116041634223638,0.0007978273449851798,0.17505897732157702,False
Material_2,0.03994486639175873,0.0009030947347073567,0.9550004894895192,False
Additive_3,0.0,0.0,0.00018066797617529617,False
Period (d),0.024304658030801517,0.00030555976241433214,0.004261437502855865,False
V1_Ventilation Type,0.018655531945445218,0.00013663085494452186,0.004153956840467606,False
V4_Ventilation Day,0.027799576329586087,0.00033253144229372124,0.014025612362957742,False
V3_Ventilation Duration (min),0.005439320248718953,2.9219544720464515e-05,0.0002807409821224887,False
Compost volume (m3),0.037697776101399176,0.000591358032477062,0.061181987429208134,False
Application Rate (%DW),0.0452855719369187,0.0008209739738752838,0.7632779765242099,False
V5_Ventilation rate (L/min/kg iniDW),0.0324034084424225,0.0006936513881819722,0.19402391721915152,False
Initial C/N (%),0.143948495434274,0.004250072429424841,7.090228006502248e-14,True
Initial Moisture Content (%),0.06873481691019952,0.0007816331781813454,0.7188420779870242,True
Initial TN (%),0.0850003053246674,0.0012840260855010045,0.24365985308064328,True
Initial pH,0.047054167613448036,0.0006310465855844049,0.08322931813872034,False
