Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.004566479008644819,0.0046749567030167395,9.824053481125142e-05,True
Turning times,0.005248018074780703,0.010509555354233462,8.022309731670186e-25,True
V2_Ventilation Interval (min),0.00736019853502512,0.0034043995499198846,0.00013481283932448664,True
M1_is Enclosed,0.0006615495076403022,0.0006060897326790279,0.2171411123377665,False
 Composting Method,0.006561426445841789,5.3015365024550306e-05,0.0029371990119321893,True
Additive_4,0.0,0.0,0.0025817742801036775,False
Additive_2,0.0,0.0,0.0025817742801036775,False
Additive_1,0.000404214282752946,0.0002675439070872509,0.00678004834903962,False
Material_3,0.005878133699297905,0.0016522948750331444,0.7894412608422278,True
Material_2,0.003951929043978453,0.0024477185198833024,0.16056898282281995,False
Additive_3,0.0,0.0,0.0025817742801036775,False
Period (d),0.004235264379531145,5.169410804122085e-05,0.03062128501453528,False
V1_Ventilation Type,3.093814666499384e-05,3.299533529543515e-05,0.0031462704711004478,False
V4_Ventilation Day,0.0012377402745187283,0.00014978438894026327,0.004712453309089784,False
V3_Ventilation Duration (min),0.004422234371304512,0.00037113416207125026,0.011531880233577029,True
Compost volume (m3),0.0014698267914354801,0.0002718994904973662,0.011304650055394747,False
Application Rate (%DW),0.0011468002339825034,0.0015269306548905074,0.3092780863513915,False
V5_Ventilation rate (L/min/kg iniDW),0.0024192933924496174,0.0008218877100705595,0.17304054365036683,False
Initial C/N (%),0.0034184721298515797,0.0032796606179526277,0.05231955027243722,False
Initial Moisture Content (%),0.003141938243061304,0.003011987690162223,0.008260046948959062,False
Initial TN (%),0.000814517552498728,0.00047742406177785643,0.12103239707556583,False
Initial pH,0.0005421697278507054,0.0005089574684478966,0.015885140001174393,False
