Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,7.690986920874575,8.557033877833934,0.0058745122681280425,True
Period (d),14.554428308082805,19.42998050893467,3.7280941882775717e-16,True
Turning times,16.599600264847016,24.436865685674434,2.602445083845839e-21,True
V2_Ventilation Interval (min),0.2699696096556345,0.19010092686812552,8.265949095186692e-05,False
M1_is Enclosed,1.220665379325699,0.6470622726283857,0.0002123352903372848,False
 Composting Method,1.0473368780390715,0.6778256103204816,0.00020375204732024852,False
Additive_3,0.03320288123646581,0.025196902049329672,4.6370000358277574e-05,False
Additive_2,0.31831259177515664,0.16659805919172221,6.137606563055927e-05,False
Additive_1,6.7021069439641545,9.521178371742336,0.012816240110153612,True
Material_3,0.0006340639152945011,0.00591606129846145,4.584233373335117e-05,False
Additive_4,0.0,0.0,4.556066896904358e-05,False
Material_2,3.616090724591778,6.426468778810756,0.27991370695360457,False
Application Rate (%DW),3.284868791322128,4.931343394971066,0.47553128012366896,False
Compost volume (m3),8.94000294120115,10.892790529349076,0.0027285915079176856,True
V1_Ventilation Type,1.6346763174940022,1.4179682292247726,0.0011336470952509183,False
V4_Ventilation Day,8.177194140452137,6.7507844670695345,0.11215746038472012,True
V3_Ventilation Duration (min),0.5016989482084002,0.536200981512212,0.00016447213891632924,False
V5_Ventilation rate (L/min/kg iniDW),3.823051055747475,5.707289175661549,0.25531264546869387,False
Initial TN (%),6.015820403871227,6.83473901249921,0.2006767454241214,False
Initial Moisture Content (%),3.1830608533599776,3.57108335321338,0.19071398646744564,False
Initial C/N (%),5.16332100964523,5.393495921099667,0.7508441868466053,False
Initial pH,4.497281453819485,4.50883418418276,0.3959366926202821,False
Initial TC (%),2.7256895185711363,3.3181908539769465,0.08968082036448466,False
