Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,12435.863414764404,14.465438442501753,0.004652549363310482,True
Period (d),22904.118879318237,46.5699790781927,3.64897560492439e-21,True
Turning times,20276.256755828857,44.81004739475755,2.4717858929474095e-18,True
V2_Ventilation Interval (min),0.0,0.0,0.003507380555122462,False
M1_is Enclosed,0.0,0.0,0.003507380555122462,False
 Composting Method,234.08519744873047,0.7361056938035215,0.008094241286492332,False
Additive_3,0.0,0.0,0.003507380555122462,False
Additive_2,0.0,0.0,0.003507380555122462,False
Additive_1,1847.4161224365234,4.839919339351891,0.14129094842723663,False
Material_3,0.0,0.0,0.003507380555122462,False
Additive_4,0.0,0.0,0.003507380555122462,False
Material_2,2427.3572874069214,3.489020911501715,0.08268231695260363,False
Application Rate (%DW),4419.797367095947,12.070180925527215,0.41844419482083417,True
Compost volume (m3),4174.327410697937,7.408658365445678,0.8987350497019889,False
V1_Ventilation Type,0.0,0.0,0.003507380555122462,False
V4_Ventilation Day,2012.863567352295,0.7089278886848955,0.027951663640887952,False
V3_Ventilation Duration (min),0.0,0.0,0.003507380555122462,False
V5_Ventilation rate (L/min/kg iniDW),3840.4613189697266,5.3465308454435885,0.26629320036918824,False
Initial TN (%),4357.119083404541,5.174515665908682,0.18572779892551,True
Initial Moisture Content (%),2298.6487035751343,4.001282272194594,0.28741756810856184,False
Initial C/N (%),10151.253019332886,7.657438836962285,0.6653702947905006,True
Initial pH,3058.9273834228516,9.95243426502866,0.29375876890421276,False
Initial TC (%),1157.8484153747559,2.412823033531776,0.030271175116780073,False
