Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.20087255132050058,34.21773635660104,5.114038726012002e-21,True
Period (d),0.14651982004320158,22.47554784912942,2.8544094272248176e-12,True
Turning times,0.12796244215842908,21.656979140049366,2.8062479940499196e-12,True
V2_Ventilation Interval (min),0.006321933856210284,0.5533577584092075,0.0013082715286571321,False
M1_is Enclosed,0.0013450092616119588,0.26772215167917857,0.0007494814721498241,False
 Composting Method,0.011259689017518136,1.2204558006208721,0.002277260286272972,False
Additive_3,0.0007986234198991412,0.011442425772656861,0.000548101933493456,False
Additive_2,0.006531046042164677,0.08241861093277159,0.0008849709099190722,False
Additive_1,0.09009047457518175,20.439998723515323,4.766135559925903e-07,True
Material_3,0.0004064012017277679,0.02513181548267518,0.0005444088575089002,False
Additive_4,0.0,0.0,0.0005363266739148105,False
Material_2,0.021785402475924514,3.6433247200925116,0.09935452623316558,False
Application Rate (%DW),0.028627394381857227,5.151579756965603,0.24784023977623618,False
Compost volume (m3),0.0629421625094732,5.991791099309802,0.9792201493603395,True
V1_Ventilation Type,0.0031537231997249195,0.3678526000436886,0.0007765602159753413,False
V4_Ventilation Day,0.036817249093928035,4.8046429570537015,0.19414824838922407,False
V3_Ventilation Duration (min),0.0024007110044532726,0.16951530185859376,0.0007451132808589507,False
V5_Ventilation rate (L/min/kg iniDW),0.02349080790339941,2.58456275098804,0.0241843913932631,False
Initial TN (%),0.06301221580632885,8.433297454673697,0.698539633606579,True
Initial Moisture Content (%),0.04895977974552478,6.325247812641404,0.8734318472939077,False
Initial C/N (%),0.02470631446114429,1.837984695603172,0.007966403509913816,False
Initial pH,0.06009811338231063,7.606710201904653,0.9186436724618684,False
Initial TC (%),0.031898135139485834,3.143823195939257,0.030679579454425124,False
