Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,10.116941177905614,0.04963867308727816,5.2330599746000645e-12,True
Turning times,8.830055924519739,0.041046923525047234,5.666896841621587e-06,True
V2_Ventilation Interval (min),2.5276723134632246,0.007470408881594158,0.003449131093099225,False
M1_is Enclosed,3.1616830625447676,0.0069568463887303335,0.0035572054162537493,False
 Composting Method,1.5299750085460158,0.0031123504700568093,0.0001172452058761223,False
Additive_4,0.0,0.0,6.999675628035323e-06,False
Additive_2,0.9279334128575968,0.005105615287749268,0.00037352413699691243,False
Additive_1,6.0299613292231005,0.024268198173680193,0.17197114949868525,False
Material_3,0.1807661070342365,0.00010755374373196645,7.948400660878672e-06,False
Material_2,3.4036331132404936,0.017951730488248614,0.7949581311431387,False
Additive_3,0.4234822410325324,0.0012428119353212388,2.2667923277571894e-05,False
Period (d),3.794474597268401,0.010444065183885546,0.053019445945399535,False
V1_Ventilation Type,3.4428035609005883,0.00748411278208949,0.003931488335332917,False
V4_Ventilation Day,2.125209010087045,0.005825724007343566,0.0005248411647224666,False
Compost volume (m3),3.0304142972208656,0.009157401210140298,0.02743589804155116,False
V3_Ventilation Duration (min),1.5390056518835504,0.004500473224834265,0.00024192049351041793,False
V5_Ventilation rate (L/min/kg iniDW),6.175690746229332,0.03041164567831716,0.03138776833283379,True
Application Rate (%DW),4.867856077480814,0.027000087755241868,0.13941236622833583,False
Initial TN (%),16.063003453267356,0.07991821753268034,6.925667827820252e-20,True
Initial pH,9.687427559205522,0.04744395525209113,1.548613365881801e-08,True
Initial Moisture Content (%),5.74964373193143,0.02122810012608336,0.8699903519282542,False
Initial C/N (%),6.3923676241577905,0.01917704148962695,0.7421617897156668,True
