Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,96.06358605623245,0.13074861556001421,5.493430765476614e-15,True
Turning times,43.059357553720474,0.06342927670929199,3.120588330458724e-05,True
V2_Ventilation Interval (min),3.6657767109572887,0.010745331947317312,0.05715740224145528,False
M1_is Enclosed,4.1876300573349,0.002036114665599352,0.0004873230721565011,False
 Composting Method,1.9828700013458729,0.0007860438104916392,0.0003728221453114608,False
Additive_4,0.0,0.0,0.0002454410895643265,False
Additive_2,0.0,0.0,0.0002454410895643265,False
Additive_1,25.50621836259961,0.027138764407061734,0.5079148620582685,False
Material_3,0.0,0.0,0.0002454410895643265,False
Material_2,0.695986608043313,0.0005162389891796015,0.0003068145881140307,False
Additive_3,0.0,0.0,0.0002454410895643265,False
Period (d),10.275740917772055,0.015989826373862488,0.21380568638430478,False
V1_Ventilation Type,16.96353303641081,0.009885446117374595,0.04770431995197232,False
V4_Ventilation Day,7.149704061448574,0.012712834431381138,0.16596231972848724,False
Compost volume (m3),9.44757426250726,0.006343402093530431,0.010512490307321137,False
V3_Ventilation Duration (min),1.5598203092813492,0.002612815083729375,0.0013717717170478592,False
V5_Ventilation rate (L/min/kg iniDW),40.59424217045307,0.04376026531645292,0.062192474733549996,True
Application Rate (%DW),10.642801564186811,0.011146422056580917,0.1723292551357959,False
Initial TN (%),81.85101171862334,0.15967925351868745,1.0369647178606338e-19,True
Initial pH,36.40671670809388,0.05947341728804354,8.611139673880822e-05,True
Initial Moisture Content (%),22.84824623959139,0.03223703679246096,0.7166813900297246,False
Initial C/N (%),26.29822390837944,0.018534818769745824,0.8240177447982052,True
