Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.20764267198856956,0.15681237997761102,4.172963089148259e-21,True
Turning times,0.06868980953404004,0.03853188833679023,0.372597250685444,True
V2_Ventilation Interval (min),0.00897190656449913,0.0019638933847166487,0.0055126861146804085,False
M1_is Enclosed,0.007036762095361895,0.0019090090375056823,0.003877305530385111,False
 Composting Method,0.007038107596906528,0.002810472605925464,0.004286122743872344,False
Additive_4,0.0,0.0,0.00205656123955771,False
Additive_2,0.009081075365558487,0.0031968217408964855,0.005669863219589319,False
Additive_1,0.06074968830305084,0.03510188217684588,0.8365098047635486,False
Material_3,0.001393865585506856,0.00012662930814606038,0.0021444479758970488,False
Material_2,0.027838485982138308,0.012772691317692625,0.05528235051276907,False
Additive_3,0.0031413234396657614,0.00036918043347571733,0.0023109156286665877,False
Period (d),0.03139215485182048,0.01166944255301091,0.07989154917479595,False
V1_Ventilation Type,0.020438232537232256,0.01202953060254306,0.05127325228365495,False
V4_Ventilation Day,0.019028054120412998,0.008110748923367175,0.018918876837774434,False
Compost volume (m3),0.030397195005241028,0.012845350830636225,0.05289211557476651,False
V3_Ventilation Duration (min),0.020894977880006445,0.008228420253157523,0.029041588517609126,False
V5_Ventilation rate (L/min/kg iniDW),0.06845667991006808,0.03669780846841305,0.8820734078053016,True
Application Rate (%DW),0.033585850157787166,0.024164025478004038,0.23769379845753028,False
Initial TN (%),0.15144140426500477,0.11479968043988692,2.5414649873129644e-16,True
Initial pH,0.1201144077256614,0.06457671375911728,6.749442289321846e-05,True
Initial Moisture Content (%),0.03927441656705994,0.012763614136602257,0.062146303165294854,False
Initial C/N (%),0.06339293052440786,0.02290631005302389,0.6247293446391591,True
