Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.22844535112380981,0.13625937368631416,1.5188168623792578e-18,True
Turning times,0.06816213577985764,0.03580593396994024,0.38135885608457787,False
V2_Ventilation Interval (min),0.04642752930521965,0.0037443829030596697,0.00416539315660063,False
M1_is Enclosed,0.0038179762195795774,0.0005321126403267269,0.0013062618211712727,False
 Composting Method,0.0451691709458828,0.001459022718292579,0.0018216924663850957,False
Additive_4,0.0,0.0,0.0012061526712878249,False
Additive_2,0.0300190020352602,0.002647128838782011,0.0018810590986874057,False
Additive_1,0.03714146092534065,0.019441221826275275,0.2117784060114418,False
Material_3,2.3666279957978986e-06,3.5099209198807824e-09,0.001206153958542712,False
Material_2,0.1103503406047821,0.027162946236419527,0.6816764754369423,True
Additive_3,0.0001622210256755352,6.492532103059834e-06,0.001204484011336557,False
Period (d),0.15253624320030212,0.032461925570490005,0.6610372877595201,True
V1_Ventilation Type,0.015412134118378162,0.0027899813215894673,0.0018720400572086917,False
V4_Ventilation Day,0.02507100999355316,0.002940118265219588,0.0051645532329128874,False
Compost volume (m3),0.11992784589529037,0.020531718882902433,0.06212841483429528,True
V3_Ventilation Duration (min),0.053849756717681885,0.012407914151194004,0.020541449017693426,False
V5_Ventilation rate (L/min/kg iniDW),0.12908188998699188,0.09224333338209255,6.660275454904906e-07,True
Application Rate (%DW),0.024385036900639534,0.03359412797455348,0.5373572524111129,False
Initial TN (%),0.132635697722435,0.19607735748554153,9.352780821847425e-19,True
Initial pH,0.045923057943582535,0.05776835495694593,0.003648857278291141,False
Initial Moisture Content (%),0.03890693187713623,0.01412766341140322,0.04397197414631432,False
Initial C/N (%),0.04494216665625572,0.014026606752605947,0.05761745956668065,False
