Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,9.202699075754976,11.468099033957161,1.17279781987796e-11,True
Turning times,8.7475219836554,12.43573669897926,3.193942471937827e-09,True
V2_Ventilation Interval (min),1.3086758073730898,0.7405498965387718,3.69885901949302e-06,False
M1_is Enclosed,0.6128721550577318,0.47137313778270773,2.4235334892698213e-07,False
 Composting Method,1.7269138073169938,1.516300308014097,0.00011181002409575544,False
Additive_4,0.0,0.0,1.0915108429850662e-08,False
Additive_2,0.740435366098464,0.6813319028275391,8.006887999340403e-07,False
Additive_1,5.98724529333131,8.275967999860784,0.0007013617222976109,False
Material_3,0.03722870366018725,0.07156701690075096,1.4886883611689146e-08,False
Material_2,6.035505739795873,5.567148423960239,0.4933038767878921,False
Additive_3,0.22283141046411,0.16773240491943753,3.339303708589037e-08,False
Period (d),2.506567791806965,1.6820278753711815,8.411413755745818e-05,False
V1_Ventilation Type,2.924220495891562,2.5138365479089533,0.0014868575735905586,False
V4_Ventilation Day,8.780195589046984,9.223386844346996,2.43386510904506e-07,True
V3_Ventilation Duration (min),2.018197354049731,1.6978793064503908,3.584791952201404e-05,False
Application Rate (%DW),7.1243090852203546,9.463901222414849,8.27492308526777e-07,True
Compost volume (m3),10.679169219942523,9.2792107416154,5.388944362250707e-10,True
V5_Ventilation rate (L/min/kg iniDW),7.81463330818993,8.044976989017632,2.964657318691594e-06,True
Initial Moisture Content (%),6.886704524624875,6.844907683229893,0.001428051687631341,False
Initial TN (%),5.111615224762176,5.188987537480346,0.5266112149172879,False
Initial C/N (%),5.650836011541272,6.109257072193161,0.28182439746085114,False
Initial pH,5.881622052415484,5.903444805787354,0.11027737816839116,False
