Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,12625.380034208298,12.694714720919347,4.558812809424384e-09,True
Turning times,11141.808328390121,13.159002902464742,5.388500651810487e-10,True
V2_Ventilation Interval (min),1076.472162246704,0.6310510783387908,4.009738246618634e-06,False
M1_is Enclosed,433.9704055786133,0.07644666072252626,5.194069872255397e-07,False
 Composting Method,2250.5977487564087,0.5307962809727442,8.06159093284705e-06,False
Additive_4,0.0,0.0,3.339772142657232e-07,False
Additive_2,545.3257007598877,0.9028553701842963,5.908577484668747e-06,False
Additive_1,9928.546041846275,8.662721977758473,0.0011875447033862989,False
Material_3,0.0,0.0,3.339772142657232e-07,False
Material_2,9031.58607339859,8.741945269010994,0.009737370341328919,False
Additive_3,0.0,0.0,3.339772142657232e-07,False
Period (d),3867.642637729645,2.236784165683746,0.0004511326134406513,False
V1_Ventilation Type,4840.111649990082,3.556524133777886,0.005774532945655832,False
V4_Ventilation Day,18525.55731678009,15.685959421938314,1.6595037581875727e-15,True
V3_Ventilation Duration (min),841.6907725334167,0.1633537893360124,1.3198207759504249e-06,False
Application Rate (%DW),10459.632204055786,11.913368010086902,9.333392223496889e-07,True
Compost volume (m3),20583.51994037628,12.225376955436992,1.8592768742869073e-06,True
V5_Ventilation rate (L/min/kg iniDW),9937.466213226318,9.67343276786093,0.0015355663789422683,False
Initial Moisture Content (%),10686.932080507278,7.22969451832077,0.08648164823151916,True
Initial TN (%),9890.094861030579,6.329115158338233,0.31302974419474106,False
Initial C/N (%),8316.469597816467,4.322100238228764,0.08138711871557058,False
Initial pH,10399.360728263855,6.479526480197311,0.16640251677181664,False
