Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,18.11,22,14,20,26,18,15,15,15,18,19,20,13,17,18,17,20,15,23,19,18,16,17,16,20,17,19,19,17,19,16,15,17,19,17,15,20,18,23,18,16,16,23,22,15,25,17,19,19,19,16,18,16,18,23,17,17,18,17,18,16,23,19,17,17,18,19,19,23,17,17,15,17,17,14,17,17,23,16,16,16,20,18,17,17,20,16,18,19,18,16,18,18,19,21,17,19,17,20,23,18
Turning times,7.98,12,4,12,4,4,1,4,12,4,19,1,12,12,12,12,12,1,4,12,4,12,4,12,9,4,4,4,17,4,4,0,4,19,17,12,4,12,0,12,1,4,4,12,15,25,4,4,12,4,16,12,1,12,4,1,4,12,4,4,1,4,12,4,0,1,1,12,12,12,4,4,17,12,14,4,12,12,16,16,16,4,18,12,17,4,12,4,4,4,0,1,12,4,4,4,4,1,20,12,4
V2_Ventilation Interval (min),9.71,0,0,0,8,18,15,15,15,9,19,0,13,17,18,15,9,0,0,6,6,0,17,16,0,17,0,0,0,0,16,14,17,8,0,0,8,0,23,0,0,16,0,0,0,25,17,19,0,0,16,0,0,0,23,9,0,8,6,18,16,23,0,17,17,9,15,0,23,17,17,15,17,9,9,9,9,23,19,0,16,0,9,0,0,20,0,18,8,18,16,9,9,19,21,17,19,17,15,0,0
M1_is Enclosed,10.1,1,15,20,1,15,15,1,8,7,7,7,7,8,18,7,20,15,0,19,7,0,0,15,7,7,15,7,17,19,16,1,13,0,17,9,8,15,7,18,16,16,7,1,7,25,0,8,7,1,16,18,7,18,7,7,7,13,0,7,0,23,7,17,17,7,7,19,15,17,7,7,8,17,14,7,17,1,9,15,8,0,8,7,17,20,16,7,7,8,16,7,7,19,21,0,0,17,8,1,8
 Composting Method,5.63,15,14,20,0,0,9,0,0,18,0,0,0,0,0,9,0,0,23,19,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,15,20,18,9,6,1,0,23,0,0,0,17,0,6,19,0,0,16,0,15,0,0,9,15,0,0,0,0,17,9,0,0,9,23,17,9,9,0,17,0,9,17,23,0,16,0,0,18,0,9,0,9,0,0,0,0,0,0,0,0,0,0,17,0,0,0
Additive_4,4.55,0,7,0,0,0,0,0,0,18,10,20,14,0,0,0,0,0,2,0,2,0,0,0,20,0,19,19,2,2,0,14,2,19,2,15,0,0,2,2,16,16,2,2,7,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,2,19,2,2,0,2,2,23,0,2,15,7,0,0,0,0,23,0,0,16,15,0,7,2,0,0,18,2,0,0,14,2,6,0,2,0,0,0,0,18
Additive_2,11.13,0,1,9,6,18,9,15,9,18,19,20,9,0,18,14,9,15,14,19,7,14,17,13,9,7,19,7,9,19,14,0,9,1,17,1,7,18,23,7,16,7,9,0,9,25,17,7,19,19,9,9,16,0,23,7,0,9,9,9,16,23,0,7,1,9,19,19,23,0,0,7,17,17,9,9,9,7,9,9,0,20,18,17,17,20,0,18,19,0,1,9,9,19,1,17,9,17,6,9,18
Additive_1,8.97,22,7,7,26,6,0,6,6,18,6,6,6,6,6,15,6,6,6,7,18,6,6,13,7,6,7,6,6,6,0,6,7,7,6,15,6,6,6,18,16,16,23,6,7,6,6,6,9,19,6,7,9,6,23,9,9,1,9,9,0,23,19,15,9,18,6,7,7,6,17,7,7,7,14,13,7,6,7,0,6,7,6,6,9,7,6,6,19,6,9,6,6,7,15,1,6,17,0,23,6
Material_3,14.84,22,14,6,26,18,15,15,6,18,19,6,13,17,18,17,20,15,7,6,7,0,0,16,20,17,19,19,17,19,16,15,17,6,15,6,20,18,23,21,16,0,23,22,6,25,6,0,6,19,16,18,16,6,23,17,17,18,6,18,16,23,19,17,17,18,19,19,15,17,17,15,6,0,14,17,17,23,16,21,16,0,18,6,17,20,16,6,15,6,16,18,18,19,6,17,19,17,20,23,18
Material_2,1.17,0,0,9,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,18,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
