Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.08053363429533274,14.161351687753529,1.0100006292961093e-14,True
Turning times,0.06383591437352776,8.358713943545597,0.01726175158988735,False
V2_Ventilation Interval (min),0.016436513897261678,1.1423251648074082,3.490925094621958e-05,False
M1_is Enclosed,0.005512133081759341,0.45686710502491756,2.0173352539613735e-06,False
 Composting Method,0.009948349486704752,0.5266105295954269,6.1660451747236945e-06,False
Additive_4,0.0,0.0,4.665076418585153e-07,False
Additive_2,0.008888910656628387,0.6234858360797091,3.218108008908649e-06,False
Additive_1,0.06515506414706608,8.670330477281125,0.013327816090508288,False
Material_3,0.002109067243806391,0.0552253369273199,5.827193495074623e-07,False
Material_2,0.03991238265862985,7.80472061027657,0.9076976882744856,False
Additive_3,0.0007069985761211224,0.035196148243905157,5.345353537503689e-07,False
Period (d),0.03025551464242502,2.046087215450415,0.0005180850121482048,False
V1_Ventilation Type,0.011021205006356484,1.0097283819666298,1.6239198268570407e-05,False
V4_Ventilation Day,0.07485126361193267,10.703497112563712,0.00012260149820479086,False
V3_Ventilation Duration (min),0.010940145956474204,0.5655253648736149,4.0922418495030995e-06,False
Application Rate (%DW),0.07007058094215783,11.915909876892139,4.018269943640198e-11,False
Compost volume (m3),0.09489798015322667,15.521303031629282,1.749458132232324e-11,True
V5_Ventilation rate (L/min/kg iniDW),0.08726897361991764,8.16282083562544,4.903397215438197e-05,True
Initial Moisture Content (%),0.08320691703029674,6.963921586896509,0.043479667478133734,True
Initial TN (%),0.0661169392736302,4.8864101089594225,0.5194581784242057,False
Initial C/N (%),0.09364376692052405,7.534657798242458,0.027482804468871105,True
Initial pH,0.08468774442622029,10.100065699690857,3.748959019220663e-05,True
