Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,17.3,16,14,19,21,16,18,16,19,17,18,20,16,14,16,22,16,19,17,18,15,15,14,18,21,17,16,19,17,18,15,19,14,15,15,16,14,17,17,18,16,22,20,21,19,17,16,18,15,20,15,19,19,15,15,18,19,18,13,17,18,22,23,16,19,19,16,24,17,16,22,17,17,17,18,16,18,15,17,16,19,15,17,17,17,15,20,18,18,19,16,17,17,20,15,18,14,15,16,14,16
Period (d),11.88,16,13,13,13,16,18,16,16,17,13,0,13,0,13,15,16,13,5,13,13,5,14,18,13,5,13,13,17,16,0,0,0,5,13,13,11,17,13,15,16,22,13,21,13,5,16,13,13,16,13,13,13,5,15,5,13,13,13,13,13,13,13,13,13,16,11,13,16,13,16,0,16,5,13,5,0,13,13,16,19,15,13,5,13,13,5,13,0,16,5,5,17,13,15,5,13,13,13,13,16
Turning times,15.69,15,14,19,15,16,18,16,16,17,18,20,16,15,16,22,16,19,17,18,15,16,2,18,21,17,16,19,17,18,15,19,14,2,15,15,14,17,17,15,15,2,20,15,19,17,16,18,15,20,15,19,15,15,15,18,19,15,13,17,18,22,23,15,19,15,0,24,17,16,22,15,16,2,15,16,18,2,15,16,19,15,17,17,17,0,20,2,18,19,16,16,16,20,15,18,14,15,16,14,16
V2_Ventilation Interval (min),11.24,15,15,15,8,15,9,9,8,17,18,9,15,9,8,22,9,0,9,15,9,15,14,9,21,11,9,15,17,9,8,19,9,15,9,15,8,15,17,8,9,22,20,21,15,0,16,18,8,9,15,19,9,0,0,9,19,0,9,15,0,9,23,8,9,0,16,8,0,9,22,8,9,17,15,15,9,15,9,16,9,8,15,0,17,15,9,8,15,19,9,15,8,20,15,15,0,0,0,0,0
M1_is Enclosed,4.06,0,14,0,0,16,0,0,0,0,0,15,0,14,0,0,11,19,0,18,0,0,0,0,0,0,0,19,17,0,0,15,14,0,0,11,11,0,17,0,0,0,0,0,11,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,18,0,0,0,19,0,0,0,17,0,22,17,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,16,14,0
 Composting Method,7.98,8,14,16,21,9,11,9,15,9,9,15,8,11,7,22,11,15,0,7,15,0,0,18,0,3,9,15,0,0,3,0,7,0,15,15,3,0,8,8,9,8,0,0,0,11,0,9,15,3,9,0,3,15,8,0,9,0,0,8,0,15,0,8,11,16,7,3,8,15,0,15,0,8,8,9,15,3,0,16,19,9,9,17,0,15,0,9,15,8,16,15,0,15,15,18,0,0,7,0,11
Additive_3,9.37,0,11,19,0,9,18,0,19,0,9,20,16,14,0,8,9,0,0,0,8,0,9,9,21,17,0,0,17,9,9,0,0,0,9,8,0,17,17,9,16,22,20,21,0,17,16,0,9,9,15,0,9,0,8,18,9,9,13,17,18,0,23,0,0,0,0,24,0,9,0,9,0,17,9,0,18,15,9,16,9,0,8,9,9,15,9,18,18,9,16,17,0,20,0,18,8,9,16,14,9
Additive_2,9.83,7,8,7,7,7,18,16,19,17,18,9,7,15,16,7,9,7,7,18,7,8,7,15,21,7,7,7,7,7,8,15,14,7,15,16,15,15,17,7,7,7,7,7,9,7,7,7,7,7,7,8,8,15,15,7,7,11,7,7,7,7,15,7,7,7,2,8,7,7,7,11,9,17,9,7,15,7,7,7,7,7,17,17,7,15,7,7,7,7,16,15,7,7,7,7,15,7,15,7,7
Additive_1,6.99,7,0,7,7,16,7,7,7,7,7,7,7,7,16,22,7,7,17,7,7,8,7,7,7,7,7,7,0,18,7,7,7,7,7,7,0,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7,0,7,7,16,7,7,7,7,7,7,7,17,0,7,7,0,7,0,7,7,7,7,7,7,0,15,8,7,7,0,7,7,7,7,7,7,7,7,7,7,0
Material_3,1.57,0,11,7,21,16,0,0,0,0,0,0,0,0,0,11,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,7,0,0,11,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0
Additive_4,7.06,2,14,2,3,3,3,16,3,3,18,3,7,3,3,3,3,3,17,3,3,7,14,18,2,7,7,3,3,18,7,3,3,3,16,7,3,17,7,3,3,3,3,7,3,3,3,3,3,20,3,19,3,15,7,7,7,3,13,3,3,7,3,14,3,3,16,7,16,3,3,17,3,3,7,16,3,15,16,3,7,3,2,7,3,3,3,7,18,3,3,17,2,20,3,18,16,3,3,3,7
Material_2,16.66,16,14,19,21,16,11,16,19,17,18,20,16,14,16,22,16,19,17,11,15,15,14,18,21,17,16,19,17,18,11,11,14,15,11,16,14,11,17,18,16,22,20,21,19,17,16,18,15,20,15,19,19,15,11,18,19,18,13,17,18,22,23,16,11,19,16,24,17,16,22,17,17,17,18,16,18,15,17,16,19,15,17,17,17,15,11,18,18,19,16,17,17,20,15,11,14,15,16,14,16
