Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,0.03855308798373801,18.430473543650365,0.41143675324057205,False
Period (d),0.03623094397279386,11.2079295913769,0.1421647118718551,False
Turning times,0.21242935862402476,134.35851773988207,8.508897986196047e-25,True
V2_Ventilation Interval (min),0.012353220767713773,1.7983417246474538,0.005395588752416664,False
M1_is Enclosed,0.007734478050012048,2.4780098614017945,0.005880654349961807,False
 Composting Method,0.0040465797659098995,0.8381563066197337,0.0036558859068422044,False
Additive_3,0.00010769863432783886,0.025806782961812047,0.002853881962676898,False
Additive_2,0.012156160397059752,4.435587894788064,0.016625037314014015,False
Additive_1,0.08846784632565372,24.92107259516427,0.01290478040218013,True
Material_3,0.06697172678532648,16.72482153021579,0.9007263303749906,False
Additive_4,0.0,0.0,0.0028230574448228174,False
Material_2,0.07092473625092156,25.881856815979063,0.5621267688159672,True
Compost volume (m3),0.07020107976798452,21.81880300935518,0.8020239919424419,False
V1_Ventilation Type,0.007257341804373834,0.9587954212439733,0.004543390898986787,False
V4_Ventilation Day,0.026627718679204593,10.386103852100778,0.0841770226600103,False
Application Rate (%DW),0.11557162010164682,48.8037463296662,0.005464398613750275,True
V3_Ventilation Duration (min),0.01582026692933761,1.5429289722345487,0.007989473308536872,False
Initial C/N (%),0.10354166078461474,29.221441743644704,0.10963071608810909,True
V5_Ventilation rate (L/min/kg iniDW),0.04594402953882259,11.398912997355385,0.24934679370776863,False
Initial Moisture Content (%),0.06506044483653355,17.043733286469667,0.44560458760035704,False
