Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,19.27,19,22,20,21,19,18,19,19,18,19,19,16,20,21,20,18,20,20,21,18,17,19,18,24,22,19,19,18,23,17,17,17,20,21,21,19,22,20,18,16,19,23,22,20,16,18,18,20,21,18,18,19,21,17,23,18,19,18,19,15,20,22,20,18,20,20,22,19,22,17,16,22,15,19,25,18,24,24,18,15,19,20,19,18,21,21,18,15,23,17,20,16,22,19,18,16,16,20,19,18
Period (d),9.01,12,0,0,21,12,12,5,5,18,5,12,12,12,21,2,2,12,12,12,2,11,5,2,12,12,5,5,5,12,5,12,12,12,5,0,12,22,0,12,12,12,12,11,5,5,18,11,12,5,18,12,2,5,12,5,12,5,12,12,12,12,5,12,11,11,0,5,12,5,2,12,5,12,2,2,2,12,12,12,5,11,2,12,5,5,12,12,12,12,15,5,0,12,12,12,0,12,20,19,0
Turning times,13.13,19,22,0,21,19,18,19,19,6,19,0,16,0,21,20,6,6,20,0,18,17,19,2,6,0,19,19,18,23,17,17,11,11,21,21,11,6,20,0,6,19,23,22,0,2,18,18,0,21,6,18,19,0,17,0,6,16,11,19,6,20,6,20,18,20,20,22,19,0,2,16,0,0,16,25,2,24,24,18,15,19,0,19,18,21,21,18,15,6,11,0,0,22,19,18,0,6,20,19,0
V2_Ventilation Interval (min),8.66,2,0,8,8,0,8,8,8,8,8,8,16,20,8,20,8,8,16,16,18,8,19,8,24,2,11,19,0,11,0,17,9,9,8,8,2,0,11,0,0,0,8,8,9,9,11,8,9,8,9,8,16,8,8,9,16,0,8,8,8,9,0,8,9,9,2,8,9,8,0,16,16,8,16,0,18,16,8,9,8,0,8,8,8,8,8,18,9,8,11,8,16,8,2,0,9,2,9,19,0
M1_is Enclosed,9.23,19,16,2,21,11,18,19,11,18,0,0,0,20,0,20,18,0,20,16,0,2,19,0,11,7,19,11,0,11,0,0,11,0,0,21,2,0,20,0,0,2,23,16,11,0,18,18,11,11,18,18,0,21,0,0,0,11,18,11,0,0,11,11,0,20,0,11,0,22,0,0,0,0,0,0,18,16,11,8,0,0,0,19,0,21,0,18,11,0,11,20,0,22,11,16,16,11,20,11,18
 Composting Method,5.17,8,13,8,0,0,0,3,3,0,3,3,6,0,9,0,0,3,6,0,8,8,0,3,7,15,0,16,0,2,0,6,2,20,0,6,15,2,0,0,0,8,3,3,0,3,3,0,3,8,3,0,0,0,11,3,3,3,18,16,0,20,3,20,0,3,15,15,16,0,6,16,3,0,9,0,3,6,0,0,6,0,3,15,3,9,0,15,11,0,3,3,3,0,15,15,0,3,0,15,0
Additive_3,4.84,11,8,0,0,8,0,9,0,0,0,0,0,0,0,20,9,0,0,0,18,0,8,18,16,0,0,19,0,0,0,0,17,0,2,2,0,0,20,16,16,19,8,0,0,0,0,11,20,0,0,0,19,0,0,8,18,0,0,0,0,20,0,0,0,8,20,0,19,0,8,0,0,15,0,0,18,2,2,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,16,0,0,8
Additive_2,9.98,16,7,7,7,7,18,7,16,0,7,9,8,7,7,7,7,20,8,8,11,16,19,8,8,0,16,7,7,23,16,0,17,20,21,11,7,22,7,7,2,19,7,22,20,7,7,0,7,7,7,0,19,8,0,16,18,16,8,19,7,16,8,16,7,7,7,7,0,16,17,2,0,16,0,7,11,24,8,8,7,11,7,7,7,16,7,8,7,23,17,0,7,8,7,0,7,11,7,7,18
Additive_1,11.22,19,22,20,21,19,7,19,11,18,19,0,7,20,0,20,18,8,16,8,7,7,15,7,7,0,11,7,18,23,17,7,7,7,7,21,7,7,20,7,8,7,7,22,0,7,7,18,7,7,18,18,19,7,7,7,7,7,7,19,15,2,7,7,2,7,20,7,16,0,7,7,22,7,19,25,13,24,16,7,15,13,7,7,0,7,7,7,7,7,7,16,7,7,16,7,7,16,7,19,19
Material_3,1.99,8,0,0,0,0,0,11,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,23,8,0,2,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,17,8,0,0,11,0,8,0,0,0,11,8,0,0,0,8,0,0,0,0,11,0,2,0,11,0,0,0,0,0,0
Additive_4,8.83,8,7,3,21,3,18,7,7,18,3,7,3,20,3,8,8,7,3,7,3,17,3,7,7,7,7,7,15,8,3,3,7,7,21,3,3,15,3,18,3,3,3,22,7,13,3,3,8,7,7,3,8,8,3,15,7,3,7,3,15,3,3,20,7,20,3,3,3,15,7,3,22,3,19,11,3,11,24,18,7,8,3,7,18,3,21,3,16,7,3,7,16,8,19,15,16,3,3,19,7
Material_2,17.0,19,22,20,21,19,18,19,19,18,19,8,16,8,8,20,18,20,20,21,13,17,19,8,8,22,19,19,18,23,13,17,17,13,21,21,2,22,20,16,16,19,23,22,2,16,18,18,20,21,18,8,19,21,17,23,18,16,2,8,8,13,22,20,18,13,20,22,19,22,17,16,22,15,19,25,18,24,24,18,15,11,20,19,18,21,21,18,15,8,17,11,16,13,19,8,16,16,20,19,18
V1_Ventilation Type,17.15,19,22,7,21,19,18,19,19,16,19,19,16,20,21,20,18,7,16,7,18,17,19,18,24,22,19,19,18,23,17,17,17,20,8,16,19,22,20,18,16,19,7,7,20,16,18,18,20,21,18,18,19,21,8,23,7,19,18,19,15,7,22,20,18,20,20,22,7,22,7,16,22,15,19,25,18,24,16,18,15,19,20,19,18,21,21,18,15,23,17,20,7,8,7,18,16,8,20,19,7
V4_Ventilation Day,7.98,7,7,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,21,7,7,7,7,18,7,7,7,7,7,16,7,18,7,7,18,7,7,7,7,7,7,7,18,7,7,7,7,7,7,7,7,13,19,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Compost volume (m3),15.16,19,22,20,13,19,18,19,19,18,19,19,16,20,2,20,8,20,20,21,8,17,19,2,24,22,8,13,18,13,17,17,16,20,8,8,19,2,13,18,2,19,23,8,20,13,18,18,20,2,8,13,8,21,17,13,18,19,8,16,15,20,13,13,18,8,13,22,2,8,8,16,22,15,19,13,18,24,24,18,13,19,7,13,13,21,21,13,15,13,16,13,13,22,13,16,13,16,13,13,13
V3_Ventilation Duration (min),10.38,19,8,20,15,3,16,15,15,3,16,3,16,15,13,2,18,3,3,16,16,8,15,3,24,22,3,1,16,23,15,8,3,20,15,21,3,3,15,3,2,3,2,3,3,3,2,3,15,16,1,18,15,21,17,2,3,19,3,15,3,8,22,15,18,3,20,3,3,3,17,16,8,15,1,25,3,8,13,8,15,15,3,19,3,3,2,15,3,3,13,15,3,3,19,8,16,16,8,19,3
Application Rate (%DW),18.24,19,22,20,21,19,18,19,19,18,19,19,16,20,21,20,18,20,20,21,18,17,13,18,24,22,19,19,13,23,17,17,17,20,13,21,13,22,20,13,16,19,23,22,20,8,8,18,20,21,18,18,19,21,17,8,18,19,8,19,15,8,22,20,18,20,20,22,19,22,17,16,22,15,19,25,13,24,24,18,15,19,13,13,18,21,21,18,15,23,17,20,16,22,19,18,16,16,20,19,18
