Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,45.267051696777344,36.010480160413906,3.555438283932348e-17,False
Period (d),38.523712158203125,8.771781091418966,0.10135908601384648,False
Turning times,39.70155334472656,9.69005112493224,0.0921303479041303,False
V2_Ventilation Interval (min),19.201478958129883,1.637619455884666,4.088628295918736e-06,False
M1_is Enclosed,108.56961822509766,13.66448634701674,0.6744868185288004,True
 Composting Method,124.44369506835938,2.5041688234089303,7.138782504916976e-05,True
Additive_3,17.058013916015625,0.4092866985451895,8.127153898490924e-07,False
Additive_2,49.56346893310547,10.591258622950498,0.47736913890040233,False
Additive_1,44.68566131591797,31.18396380944299,1.897686572337646e-15,False
Material_3,5.5893964767456055,0.174936907364323,8.59515444566157e-07,False
Additive_4,0.0,0.0,4.169947808103202e-07,False
Material_2,36.82227325439453,14.827722145499791,0.5137348155867831,False
V1_Ventilation Type,30.189319610595703,2.6464195368671106,1.3463821362936114e-05,False
V4_Ventilation Day,63.788848876953125,5.3294782595502,0.0005963376445445736,True
Compost volume (m3),52.0638313293457,8.34442854940717,0.04201220663804538,False
V3_Ventilation Duration (min),241.4961700439453,13.856406621096674,0.5340375027152708,True
Application Rate (%DW),25.61547088623047,12.832174528127592,0.8815964250824601,False
Initial Moisture Content (%),27.311819076538086,4.459155133591569,0.0027430442728783055,False
Initial C/N (%),53.8768424987793,21.017356255117363,0.0002695655688426533,True
Initial pH,28.45174789428711,19.910101993846162,0.006301756613972218,False
Initial TN (%),48.86062240600586,21.228816081042577,5.3173756736138644e-05,False
V5_Ventilation rate (L/min/kg iniDW),75.68753051757812,31.937459823290556,5.287512819763975e-10,True
