,feas,Correlation with Target
0,Material_Main,0.015753549461339923
1,Turning times,0.01881425620979708
2,V2_Ventilation Interval (min),0.013068673748536715
3,M1_is Enclosed,0.009463745944546282
4, Composting Method,0.004120335035716807
5,Additive_4,0.0
6,Additive_2,0.0
7,Additive_1,0.007128588004403165
8,Material_3,0.0028963594732376724
9,Material_2,0.005620582375121885
10,Additive_3,0.0
11,Period (d),0.0028835365735166564
12,V1_Ventilation Type,0.003927664328268111
13,V4_Ventilation Day,0.004607157925979137
14,V3_Ventilation Duration (min),0.001323862509600099
15,Compost volume (m3),0.008737811320160606
16,Application Rate (%DW),0.008766134324591404
17,V5_Ventilation rate (L/min/kg iniDW),0.008163613731041793
18,Initial C/N (%),0.016538974131427044
19,Initial Moisture Content (%),0.005283704292983056
20,Initial TN (%),0.015178940427791207
21,Initial pH,0.006788138210370617
