,feas,Correlation with Target
0,Material_Main,1.5557078575157062
1,Period (d),2.023367093929897
2,Turning times,2.712900482078052
3,V2_Ventilation Interval (min),0.04408393802621257
4,M1_is Enclosed,0.22596618071104238
5, Composting Method,0.11623574390888197
6,Additive_3,0.011078880990576129
7,Additive_2,0.05287434909951067
8,Additive_1,1.239550487246151
9,Material_3,0.0010576210685246453
10,Additive_4,0.0
11,Material_2,1.1223055526039394
12,Application Rate (%DW),0.9186230319937397
13,Compost volume (m3),1.200387173061967
14,V1_Ventilation Type,0.26105654047406124
15,V4_Ventilation Day,1.1347271520264037
16,V3_Ventilation Duration (min),0.07741112056320858
17,V5_Ventilation rate (L/min/kg iniDW),0.5487521064067088
18,Initial TN (%),0.8562886013022858
19,Initial Moisture Content (%),0.4733175998736445
20,Initial C/N (%),0.7356861543803282
21,Initial pH,0.7430405456723719
22,Initial TC (%),0.5269320458386019
