,feas,Correlation with Target
0,Material_Main,0.20877755
1,Turning times,0.07490221
2,V2_Ventilation Interval (min),0.011046514
3,M1_is Enclosed,0.0024565202
4, Composting Method,0.0059020487
5,Additive_4,0.0
6,Additive_2,0.00463512
7,Additive_1,0.04401636
8,Material_3,1.9741913e-06
9,Material_2,0.03360685
10,Additive_3,0.00035882168
11,Period (d),0.034166336
12,V1_Ventilation Type,0.008338277
13,V4_Ventilation Day,0.017895406
14,Compost volume (m3),0.04221081
15,V3_Ventilation Duration (min),0.018499415
16,V5_Ventilation rate (L/min/kg iniDW),0.09131783
17,Application Rate (%DW),0.050779834
18,Initial TN (%),0.1636375
19,Initial pH,0.07541211
20,Initial Moisture Content (%),0.03259191
21,Initial C/N (%),0.039977808
