Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%)
0.23911427,0.1662451,0.009386769,-0.0050904052,0.013317164,0.0,0.003348961,0.07164495,2.0176947e-06,0.0058470573,0.00020989412,-0.0081076315,0.002439278,-0.0020387957,0.012110421,-0.003851268,-0.054089084,0.036801722,0.054257296,0.038561355,0.068564855,0.022271097
0.12697294,0.12533073,0.00013260012,-0.00612481,0.0063854586,0.0,0.0054648,-0.14765619,2.0176947e-06,0.0017207839,0.00021258656,-0.023068028,0.00497101,0.0064763064,-0.0063837753,-0.0034947067,-0.05106769,-0.076509014,-0.14718793,-0.037328757,-0.01793822,-0.047077626
0.14967465,0.12186063,0.0035052598,-0.010104139,0.0060884804,0.0,0.0044602836,-0.19921045,2.0176947e-06,0.0028913594,0.00018599285,-0.015611976,0.0049174116,0.006187283,-0.010060592,-0.0028453902,-0.04598511,-0.06944774,-0.046790387,-0.059869926,-0.01971725,-0.049557623
0.225024,-0.0076213656,-0.005178589,0.001052867,-0.0018798725,0.0,0.0014791368,0.04508115,5.2483387e-07,0.020515675,-0.00028531198,-0.011515574,0.007910686,0.017396204,-0.01736371,-0.004421359,0.25014096,0.021094207,0.2333984,0.45922762,-0.034526706,0.04141482
0.27317542,-0.0021253172,-0.0050615775,0.0016979924,0.0023800505,0.0,0.002564097,-0.020215543,5.2483387e-07,0.013637337,-0.00012969392,0.005171596,0.005110086,0.006061163,-0.009298403,-0.0020999927,0.26602542,-0.007122423,0.2707457,0.5169331,-0.025581421,0.039677605
0.23717873,-0.006845918,-0.0041765957,0.001089268,0.0009782333,0.0,0.0025617713,-0.03236912,5.2483387e-07,0.019127054,-1.9272291e-05,0.0042985464,0.004951049,0.021750523,-0.012168035,-0.0022748064,0.2753076,-0.011546308,0.32997116,0.5804172,-0.021525476,0.04331944
0.16654357,0.3229401,0.0070164367,0.0016696362,0.0013585334,0.0,0.00041310675,0.026684169,5.2483387e-07,0.01060277,-0.0003261225,0.02942845,0.02368972,-0.02652468,-0.028580882,0.0026320543,0.06760861,0.06535311,-0.045260083,0.13588156,0.039238185,-0.029446121
0.16469485,0.2986083,0.007641943,0.0014012811,0.0015611292,0.0,0.017071247,0.055356186,5.2483387e-07,0.009729268,-0.00031514914,0.02847302,0.0075078974,-0.027066516,-0.030558357,0.0026602987,0.07257174,-0.0012368524,-0.06317798,0.13049161,0.014868614,-0.021414222
0.15190047,0.2224369,0.007346224,0.0014012811,0.001437201,0.0,-0.0060760626,0.05424668,5.2483387e-07,0.007863937,-0.00031514914,0.026394619,0.0070885005,-0.027392207,-0.030554064,0.0012429241,0.061706856,-0.10240965,-0.09317708,0.046504114,-0.029262157,-0.025624262
0.17746408,0.016373929,-0.026964355,-6.096329e-05,-0.0016637594,0.0,-0.0018772538,0.005518027,5.2483387e-07,0.017816992,-0.00021672502,-0.013159872,0.0018811147,-0.0016008968,-0.023157386,0.0015243577,0.070332184,0.03584859,-0.119059674,-0.12880154,-0.056680985,0.050804354
0.16651642,0.27434844,0.009360827,0.0013066519,0.004624814,0.0,0.087854244,0.06112507,5.2483387e-07,0.007823599,2.1172753e-05,0.0018427942,0.005149323,0.019436114,-0.021843566,0.0019611013,0.06545831,0.014329368,-0.09192935,0.026161984,0.051455602,0.034515083
0.16047283,0.22904807,0.013006674,0.0016910731,0.0021905596,0.0,0.07334788,0.08313781,1.1079828e-06,0.0069306423,0.00011070085,0.014542505,0.0012517667,0.014211313,-0.018572416,0.0010191749,0.06707314,-0.03983122,-0.14063653,-0.014954429,0.078553334,0.028919602
0.10662653,-0.054373465,-0.019489188,-4.0507788e-05,0.007938004,0.0,-0.0043668933,-0.029266942,5.2483387e-07,0.03953694,-0.000100770536,-0.032980405,0.010025414,-0.029512653,0.09105006,0.0058602183,0.027475797,-0.047881074,-0.14676577,-0.056559656,0.033267517,0.013921448
-0.32550043,-0.029692536,0.010477711,-0.00071020715,-0.009885344,0.0,-0.004234857,0.11533755,5.2483387e-07,0.10328367,-2.0809455e-05,-0.013031214,-0.019479085,-0.024018275,0.038776472,0.15118471,0.031710993,-0.028794125,-0.04955214,-0.021903187,0.013891738,0.025604326
-0.43191603,-0.034619536,0.00093299657,-0.0017007528,-0.02173635,0.0,-0.004282205,-0.08045216,5.2483387e-07,0.06702555,-8.8381545e-05,-0.020731261,-0.02008812,-0.028215336,0.038104683,0.0736651,0.02998278,-0.048711024,-0.050087597,-0.03598535,0.011542425,0.017192435
-0.43191603,-0.034619536,0.00093299657,-0.0017007528,-0.02173635,0.0,-0.004282205,-0.08045216,5.2483387e-07,0.06702555,-8.8381545e-05,-0.020731261,-0.02008812,-0.028215336,0.038104683,0.0736651,0.02998278,-0.048711024,-0.050087597,-0.03598535,0.011542425,0.017192435
-0.43191603,-0.034619536,0.00093299657,-0.0017007528,-0.02173635,0.0,-0.004282205,-0.08045216,5.2483387e-07,0.06702555,-8.8381545e-05,-0.020731261,-0.02008812,-0.028215336,0.038104683,0.0736651,0.02998278,-0.048711024,-0.050087597,-0.03598535,0.011542425,0.017192435
