,Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH
Material_Main,1.24045936988822,0.07427918454210174,0.027371306472903045,0.007077133216682693,0.0012626269522235285,0.0,0.004015803986948238,0.21693230145739012,0.0,0.12679877416220667,0.0,0.05347379124335792,0.02678521511521357,0.12077422076809147,0.005699638309840534,0.15410034861311492,0.19567992463334477,0.2007523078073979,0.04411306144636618,0.19205459544616063,0.025436421396652042,0.06786053029283022
Turning times,0.07427918454210175,1.1687646774364826,0.008886672993647832,0.002306361242736619,0.018182902858889176,0.0,0.023804494465618494,0.14264421646603367,0.0,0.13614048380673358,0.0,0.09267154823798739,0.2196408833057032,0.1363342482199741,0.03572271564625303,0.11330054813468933,0.07115173064298341,0.10986396566662684,0.18617209933053372,0.0792946320743043,0.08175918187777823,0.1043999285766755
V2_Ventilation Interval (min),0.027371306472903034,0.008886672993647838,0.11734324571437697,0.0,0.0035913947925894393,0.0,0.0010547997737546313,0.04132584684155152,0.0,0.008995664003899997,0.0,0.0070226888828893224,0.0,0.019094902078513675,0.013728908196007892,0.0077020700770408,0.021619458231637516,0.014285245267338854,0.0051356497100552055,0.046935364396474145,0.016738984483412524,0.027893802781472986
M1_is Enclosed,0.007077133216682696,0.0023063612427366184,0.0,0.021692979149583007,0.0,0.0,0.0009066058550500039,0.0,0.0,0.00332812038758378,0.0,0.0,0.01911387852588861,0.0,0.0012748199865444212,0.001210184958877365,0.028512764697854714,0.0076382284820196485,0.0,0.004119150716924971,0.0083979873653082,0.01158526154261268
 Composting Method,0.0012626269522235294,0.018182902858889176,0.003591394792589437,0.0,0.2754091341250512,0.0,0.0005143898429778118,0.0041644810837704275,0.0,0.038248277739615026,0.0,0.004998884412929131,0.006081605455189097,0.08156629668514143,0.0023360880346165436,0.022136849938251272,0.10221796093611796,0.003445505330884715,0.004377256127853505,0.0042011112211796054,0.003334465512135853,0.005633889948666367
Additive_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Additive_2,0.004015803986948238,0.023804494465618498,0.0010547997737546317,0.000906605855050004,0.0005143898429778118,0.0,0.23363675188872243,0.0022269568227285125,0.0,0.00895992746612571,0.0,0.007329468119436417,0.002921789726618922,0.010273454501962499,0.0006107342229717727,0.005346783463153542,0.0059924341305206755,0.026992741662638587,0.0168858733926471,0.022611161898947765,0.006444277300497224,0.018224567270531566
Additive_1,0.2169323014573901,0.14264421646603362,0.04132584684155152,0.0,0.0041644810837704275,0.0,0.0022269568227285116,1.114300025640901,0.0,0.05636352638241126,0.0,0.06484650036630461,0.03625169256931089,0.06751985141684291,0.011704169426967089,0.15710689095387725,0.2186640859885172,0.12372243148091817,0.04603470622281743,0.06170303649544034,0.015767285730103858,0.1651275400595515
Material_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Material_2,0.12679877416220664,0.13614048380673352,0.008995664003899997,0.0033281203875837797,0.038248277739615005,0.0,0.008959927466125709,0.056363526382411266,0.0,0.7364288071574596,0.0,0.03056073031663085,0.028163640817895512,0.12972938438548023,0.000653392246810942,0.08604824831831676,0.11262115155972752,0.05327664277822536,0.03575969743431859,0.05870876686847358,0.026311967008006837,0.026320060124550588
Additive_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Period (d),0.05347379124335792,0.09267154823798739,0.007022688882889321,0.0,0.004998884412929129,0.0,0.007329468119436415,0.0648465003663046,0.0,0.03056073031663085,0.0,0.28391653894170277,0.017333631607714502,0.04321390006918758,0.02892205478476769,0.04807020166183893,0.022315712594264847,0.028495893823712884,0.05681165375228863,0.03011074019795881,0.042892734430605824,0.02763611544315252
V1_Ventilation Type,0.02678521511521356,0.2196408833057032,0.0,0.019113878525888608,0.0060816054551890986,0.0,0.0029217897266189184,0.036251692569310906,0.0,0.028163640817895512,0.0,0.017333631607714506,0.6013806973156921,0.043168253170289494,0.00549701401926581,0.025788089759240858,0.0646261654410847,0.03523043275127608,0.010325205979497654,0.05201482541883065,0.07339833768148289,0.045353566951682585
V4_Ventilation Day,0.12077422076809144,0.13633424821997409,0.019094902078513675,0.0,0.0815662966851415,0.0,0.010273454501962499,0.0675198514168429,0.0,0.12972938438548018,0.0,0.04321390006918759,0.04316825317028953,1.2979651668468875,0.01240261743119904,0.18052339140318452,0.4020930767996516,0.10327544541576127,0.08927493587954147,0.1381391762053394,0.07831568236132226,0.06556167458291065
V3_Ventilation Duration (min),0.005699638309840531,0.03572271564625305,0.013728908196007902,0.0012748199865444214,0.0023360880346165454,0.0,0.0006107342229717729,0.011704169426967096,0.0,0.000653392246810943,0.0,0.028922054784767694,0.005497014019265811,0.012402617431199036,0.19922297185469534,0.004698170558610427,0.011091372360358015,0.0035747628716547367,0.02099299402691726,0.01666543057499665,0.02534125718976563,0.009309598041897831
Application Rate (%DW),0.15410034861311492,0.11330054813468933,0.007702070077040803,0.0012101849588773642,0.022136849938251275,0.0,0.005346783463153542,0.15710689095387725,0.0,0.08604824831831673,0.0,0.048070201661838924,0.02578808975924087,0.18052339140318452,0.004698170558610422,1.3569542962468002,0.0577038972193687,0.2089127773044636,0.11878466665697954,0.0711061740937164,0.07107066617356866,0.08756580059980958
Compost volume (m3),0.1956799246333447,0.07115173064298339,0.021619458231637516,0.028512764697854714,0.10221796093611797,0.0,0.005992434130520677,0.21866408598851744,0.0,0.11262115155972759,0.0,0.02231571259426484,0.06462616544108467,0.40209307679965184,0.011091372360358015,0.057703897219368624,1.6133059405431878,0.07872084470518517,0.11895395493736918,0.08767298646692166,0.12797240603083476,0.1567999632237848
V5_Ventilation rate (L/min/kg iniDW),0.2007523078073979,0.10986396566662686,0.014285245267338853,0.0076382284820196485,0.0034455053308847104,0.0,0.02699274166263859,0.12372243148091819,0.0,0.05327664277822536,0.0,0.028495893823712877,0.03523043275127608,0.10327544541576125,0.0035747628716547362,0.20891277730446356,0.07872084470518517,0.9927838182229912,0.07079192547650444,0.07270064032554202,0.09834926814111483,0.16131335155458923
Initial Moisture Content (%),0.044113061446366175,0.18617209933053375,0.005135649710055203,0.0,0.004377256127853504,0.0,0.01688587339264711,0.04603470622281742,0.0,0.0357596974343186,0.0,0.056811653752288624,0.010325205979497655,0.08927493587954152,0.02099299402691726,0.11878466665697955,0.11895395493736922,0.07079192547650444,0.9776014704871442,0.08194717597584843,0.04039078342913973,0.06800974963121381
Initial TN (%),0.1920545954461606,0.07929463207430436,0.04693536439647415,0.004119150716924969,0.0042011112211796054,0.0,0.022611161898947765,0.06170303649544034,0.0,0.058708766868473594,0.0,0.03011074019795881,0.05201482541883063,0.1381391762053394,0.01666543057499665,0.07110617409371639,0.08767298646692179,0.07270064032554202,0.08194717597584841,0.5769359289419695,0.10450974731589763,0.059429723623903336
