,feas,Correlation with Target
0,Material_Main,1.3820194624531619
1,Turning times,1.4373515482811963
2,V2_Ventilation Interval (min),0.13633646828906212
3,M1_is Enclosed,0.03667069099522806
4, Composting Method,0.29430695931896944
5,Additive_4,0.0
6,Additive_2,0.2528526526066772
7,Additive_1,1.2155690394483278
8,Material_3,0.0
9,Material_2,0.8753870233202091
10,Additive_3,0.0
11,Period (d),0.37341567405979315
12,V1_Ventilation Type,0.6026348002731955
13,V4_Ventilation Day,1.5255203412059761
14,V3_Ventilation Duration (min),0.20261436490517587
15,Application Rate (%DW),1.4571711370543903
16,Compost volume (m3),1.6266885315653836
17,V5_Ventilation rate (L/min/kg iniDW),1.1263012255715712
18,Initial Moisture Content (%),0.9627901959144307
19,Initial TN (%),0.7966545028582391
20,Initial C/N (%),0.5430922189954971
21,Initial pH,0.8644675847272065
