,feas,Correlation with Target
0,Material_Main,1.4732608166957468
1,Period (d),0.8577788693388595
2,Turning times,0.9078040158199895
3,V2_Ventilation Interval (min),0.44527041277881557
4,M1_is Enclosed,0.7407065630785955
5, Composting Method,0.3474174351656904
6,Additive_3,0.13266496710148282
7,Additive_2,0.720657776139681
8,Additive_1,2.243726303534224
9,Material_3,0.11629481915430016
10,Additive_4,0.013261236614751147
11,Material_2,0.7619420180554358
12,V1_Ventilation Type,0.4582311034252945
13,V4_Ventilation Day,0.5655859328707354
14,Compost volume (m3),0.6805702022662912
15,V3_Ventilation Duration (min),0.41613049125363377
16,Application Rate (%DW),1.2061401798615465
17,Initial Moisture Content (%),0.7286590120380722
18,Initial C/N (%),1.181750331013237
19,Initial pH,1.162998205699169
20,Initial TN (%),0.9809670822660901
21,V5_Ventilation rate (L/min/kg iniDW),1.406343391217443
