Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,3326.0289974212646,3.48405219477403,0.00034955225966825645,False
Turning times,53313.738359451294,77.5913939441871,1.091332835868777e-12,True
Period (d),35634.22566795349,22.550338150436723,0.7879809965720503,True
V2_Ventilation Interval (min),42825.36623382568,39.44629692367973,0.0003871978200741248,True
M1_is Enclosed,13155.945220947266,19.29867471034104,0.18859552957646253,False
 Composting Method,5180.688522338867,6.326472991713622,0.000578947928557536,False
Additive_3,0.0,0.0,7.220297042292198e-06,False
Additive_2,21418.355041503906,23.453895514995374,0.30302513688202565,False
Additive_1,15799.874614715576,11.296755468498183,0.007487517251801844,False
Material_2,3658.219940185547,1.484565851037381,2.681177251958122e-05,False
Additive_4,0.0,0.0,7.220297042292198e-06,False
Material_3,0.0,0.0,7.220297042292198e-06,False
Compost volume (m3),14924.367450714111,15.735899519710934,0.1419453465013187,False
V1_Ventilation Type,7224.4370040893555,4.707360789842291,8.930930374175128e-05,False
V4_Ventilation Day,33361.832805633545,14.76188693945857,0.9767106976266828,False
V3_Ventilation Duration (min),6106.349197387695,5.641122954760753,0.00014305195088683495,False
Application Rate (%DW),25205.698652267456,21.36004189241995,0.8618932449097685,False
V5_Ventilation rate (L/min/kg iniDW),42645.1468334198,27.996843913178274,0.016691887224060124,True
Initial GI (%),35408.31176376343,35.19201026967101,0.1453134682938572,False
Initial pH,42601.611501693726,58.8607516395946,5.960955966235085e-09,True
Initial C/N (%),73700.95959663391,91.52979313816888,2.3678993286657514e-21,True
Initial Moisture Content (%),23892.641311645508,28.886002528446674,0.8716368747373678,False
