Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,18.67,19,17,19,17,18,17,17,24,21,24,18,16,19,16,16,21,20,20,23,21,20,19,19,18,21,18,24,16,17,19,19,23,19,14,16,21,17,18,17,20,20,17,23,21,23,16,20,16,18,21,15,22,22,16,17,18,21,19,14,15,18,17,20,14,24,21,14,19,16,26,18,17,17,20,20,18,17,26,19,15,18,18,16,17,18,19,17,15,18,19,17,15,19,19,20,24,17,17,17,19
Turning times,12.2,13,13,5,17,18,0,5,15,21,13,13,5,15,5,13,11,5,16,5,21,20,13,5,15,21,15,13,5,5,11,19,13,1,13,5,21,15,5,5,5,20,13,13,21,15,16,15,5,16,13,15,5,22,5,15,13,13,19,14,13,15,13,13,14,1,13,1,5,16,26,15,17,13,13,20,18,13,13,16,5,5,16,5,0,13,5,13,13,18,19,17,15,5,5,13,16,13,16,13,5
Period (d),13.95,11,16,11,17,18,7,7,16,11,11,18,11,11,16,16,21,16,11,23,21,11,11,11,18,11,11,11,9,17,11,19,11,19,11,11,11,17,11,11,20,11,17,11,11,16,16,20,16,18,21,15,11,11,11,11,18,21,19,11,11,7,17,11,11,24,21,11,11,16,26,16,7,7,11,16,18,11,16,11,11,11,18,11,17,11,16,16,15,11,19,17,16,19,19,0,24,0,11,7,11
V2_Ventilation Interval (min),12.4,8,17,8,8,16,17,8,16,11,16,8,8,16,8,16,11,8,8,23,11,8,19,8,8,8,16,16,8,8,19,19,8,8,8,16,15,1,18,8,16,16,11,23,21,8,1,8,8,18,21,11,22,22,16,17,8,21,8,8,8,18,8,8,11,8,21,11,16,16,15,16,16,16,8,16,8,8,26,8,8,8,18,8,17,8,8,8,1,18,16,8,8,19,1,20,11,8,8,16,16
M1_is Enclosed,11.06,19,17,19,17,18,16,17,24,21,24,0,0,16,16,16,21,0,16,0,0,9,19,0,18,0,18,24,16,17,19,0,23,9,14,0,21,16,16,17,0,20,0,0,16,0,16,20,16,0,0,0,0,22,16,0,1,0,9,0,15,18,0,20,16,0,0,0,19,7,0,0,17,16,7,20,18,17,16,19,0,18,18,16,0,0,19,0,0,16,0,17,9,0,19,20,24,17,0,0,19
 Composting Method,6.02,0,0,16,6,8,0,16,24,0,24,18,16,0,8,0,21,8,0,0,0,1,16,16,18,21,0,3,0,0,6,19,0,16,14,0,16,16,8,0,0,0,15,0,0,8,0,0,16,0,0,0,0,0,0,16,0,0,8,0,0,0,0,6,0,24,0,0,0,6,0,0,8,0,16,0,16,8,15,19,1,0,0,0,0,0,1,0,8,16,0,0,1,0,7,20,0,16,0,0,16
Additive_3,11.8,19,0,9,9,18,17,0,1,8,0,7,16,19,16,16,9,1,20,9,1,8,0,8,18,9,18,24,16,17,7,19,8,9,9,1,21,17,8,9,20,8,17,8,21,9,8,9,16,0,21,9,8,22,16,8,18,9,19,14,8,18,8,1,14,8,21,14,0,16,26,18,8,17,20,1,18,9,8,19,15,9,18,16,17,18,19,9,0,18,0,17,9,1,0,20,7,17,17,1,19
Additive_2,12.78,19,7,19,17,18,1,7,1,21,16,18,16,16,19,8,7,7,8,23,21,20,1,19,8,7,19,24,16,7,19,19,23,8,7,8,7,17,7,17,20,20,8,7,21,7,16,7,16,18,8,15,19,22,8,17,7,7,8,14,8,18,7,20,7,7,1,8,7,7,1,7,17,17,20,8,18,17,26,7,15,18,18,16,1,18,19,8,15,7,7,17,8,7,19,20,24,17,1,1,7
Additive_1,15.52,19,17,7,17,18,16,17,7,21,24,7,16,19,7,16,21,20,20,23,21,20,19,19,18,21,7,16,16,17,19,19,23,19,14,7,9,7,7,17,7,9,17,23,21,8,16,20,7,18,7,8,22,22,16,17,18,21,8,14,15,18,17,9,7,24,7,14,19,16,8,16,17,16,8,20,7,17,26,19,15,18,7,7,17,7,16,17,15,18,8,17,15,19,16,20,24,17,17,17,19
Material_2,2.94,0,0,7,17,0,0,0,0,16,0,0,1,0,16,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,1,0,0,0,0,0,19,9,15,0,0,0,14,0,0,0,0,16,0,0,0,0,0,0,0,17,0,19,1,18,0,0,0,0,19,0,0,18,0,0,0,0,0,1,24,7,0,0,0
Additive_4,9.57,7,8,3,7,18,7,3,9,1,8,18,16,3,7,7,21,8,1,7,21,8,8,19,3,21,18,7,3,8,7,9,8,3,7,16,8,3,1,17,20,1,1,8,21,8,16,20,16,18,21,15,7,7,1,8,3,3,7,3,16,7,7,15,1,3,8,9,19,7,7,3,1,8,3,7,18,3,26,1,7,7,3,1,17,9,14,17,15,7,8,16,14,19,14,8,14,8,17,7,8
Material_3,17.85,19,17,19,17,18,17,1,24,8,24,18,16,19,16,16,16,20,20,23,21,20,19,19,18,21,18,24,16,17,8,19,23,19,14,16,21,17,18,17,20,20,17,23,21,23,16,20,16,18,21,15,22,22,16,17,18,21,19,14,15,18,17,20,14,24,21,14,19,16,26,18,17,17,20,20,18,17,26,16,15,16,18,16,17,18,19,17,15,18,19,17,15,19,19,20,1,17,8,17,19
Compost volume (m3),13.15,8,17,7,17,7,7,17,7,7,7,18,16,19,16,8,7,20,7,23,21,20,7,19,18,21,7,7,7,8,8,19,7,19,14,8,7,17,18,7,8,7,17,23,21,8,7,20,16,18,21,7,22,22,8,7,18,21,19,7,8,7,17,7,14,24,21,14,19,16,26,7,15,17,7,7,7,7,7,19,8,7,18,8,7,18,7,17,15,18,7,15,7,19,19,15,7,17,7,7,15
V1_Ventilation Type,14.52,1,17,19,7,7,17,7,24,7,24,18,16,19,1,16,21,20,20,8,21,20,16,19,18,7,1,7,14,17,19,7,23,7,14,7,8,17,18,7,20,20,7,23,21,23,16,20,16,7,7,15,22,22,16,17,18,21,8,14,8,18,17,20,14,1,21,14,19,16,26,18,17,1,20,8,18,17,26,8,15,7,1,16,7,18,19,1,15,18,19,7,15,7,19,20,24,17,17,7,7
V4_Ventilation Day,17.14,19,17,19,14,18,17,14,24,21,24,18,16,19,16,16,21,20,20,23,8,20,19,19,18,14,18,1,16,17,19,19,14,19,8,16,21,17,18,17,20,20,17,23,21,23,16,20,16,1,21,8,22,22,16,17,18,21,19,14,14,1,17,14,14,24,21,14,19,16,14,18,17,14,20,14,18,17,26,19,8,18,18,16,17,8,19,17,15,18,19,17,15,19,19,20,24,14,17,17,19
V3_Ventilation Duration (min),13.93,15,15,19,3,18,3,17,24,3,3,18,3,19,16,16,21,16,15,15,14,20,3,3,18,14,18,24,15,15,8,3,8,19,3,16,3,14,14,17,20,3,3,15,15,3,3,15,16,8,21,15,22,3,3,17,15,21,19,15,15,16,15,20,3,15,15,15,3,15,26,18,17,3,20,14,15,17,16,19,16,18,15,16,17,18,15,17,14,18,8,17,15,15,19,20,24,17,17,17,3
Application Rate (%DW),17.67,19,17,19,17,18,17,17,24,8,24,18,16,19,16,16,16,20,20,23,21,20,8,19,18,21,18,24,16,17,19,19,23,19,14,16,21,17,18,17,20,20,17,23,8,8,16,20,16,18,21,15,22,22,16,17,18,21,19,14,15,18,17,16,16,24,21,14,19,16,26,18,17,16,20,20,18,17,8,16,15,18,18,16,17,8,19,17,15,18,19,17,15,19,19,20,24,17,8,17,19
V5_Ventilation rate (L/min/kg iniDW),17.29,19,17,19,17,18,17,17,24,20,24,18,16,19,8,16,21,8,20,23,21,20,19,19,18,21,18,24,16,17,20,19,14,19,14,16,21,17,18,17,1,20,17,8,21,23,16,20,16,18,8,15,22,22,16,20,20,20,19,14,15,18,17,20,14,24,21,14,19,16,26,18,17,14,20,8,8,17,8,19,15,18,18,16,17,18,20,17,15,18,8,17,15,19,19,20,8,17,17,20,19
Initial GI (%),18.01,19,17,19,17,18,17,17,24,21,24,18,16,19,8,16,21,20,20,23,21,20,8,19,18,21,18,24,16,17,19,19,23,19,14,16,21,17,18,17,20,20,17,23,21,23,16,20,16,18,21,15,22,22,8,17,18,21,19,14,15,18,17,20,14,24,21,14,19,16,26,8,8,17,20,20,18,17,26,8,15,18,18,16,8,18,19,17,15,18,19,17,15,19,19,20,24,17,17,17,19
Initial pH,17.89,19,17,19,8,18,17,17,24,21,24,20,16,8,16,16,21,20,20,23,21,20,19,8,18,21,18,24,16,17,19,19,23,19,14,16,21,17,18,17,8,20,17,23,21,20,16,8,16,18,21,15,22,22,16,8,18,21,19,14,15,18,17,20,14,24,21,14,19,16,8,18,17,17,20,20,18,17,26,19,15,18,18,16,17,18,19,17,20,18,19,17,15,19,19,20,24,17,17,17,19
Initial C/N (%),12.58,19,8,16,8,18,17,8,24,8,8,8,16,8,15,16,21,8,8,8,8,20,19,15,8,8,8,8,8,17,19,8,15,8,8,8,8,17,18,17,8,8,8,8,21,8,16,8,8,8,21,15,8,8,16,15,8,8,8,14,15,8,17,20,14,24,8,14,8,8,15,8,17,17,20,8,8,17,8,19,8,18,8,8,8,18,8,17,15,18,8,8,15,15,8,20,24,17,8,8,19
Initial Moisture Content (%),17.2,19,8,19,8,8,17,17,24,21,24,18,16,8,16,16,21,20,20,23,21,20,8,19,8,21,18,24,16,17,19,19,8,19,14,16,21,17,18,17,20,20,17,23,21,23,16,15,16,18,21,15,22,8,8,17,20,21,19,14,15,18,17,20,14,20,21,14,8,20,26,18,8,17,20,20,18,8,26,19,8,18,18,16,17,18,8,17,15,18,19,17,15,19,19,20,24,17,17,17,19
