Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,32.057533264160156,21.202069975277546,0.11528753636046611,False
Turning times,72.5200424194336,58.18948165225063,9.185537263453567e-07,False
Period (d),52.46623992919922,14.935898958630716,0.07181053468727838,False
V2_Ventilation Interval (min),160.80877685546875,32.58813491235402,0.8412624545282396,True
M1_is Enclosed,69.72103118896484,45.63423794162701,0.00024312136876537786,False
 Composting Method,90.00271606445312,6.268084026933444,9.874236679560161e-05,True
Additive_3,5.761138916015625,0.044603482579130826,6.652843835070386e-07,False
Additive_2,87.06291198730469,18.67958259681707,0.02102052697706836,False
Additive_1,44.36375427246094,19.189295363202916,0.21527428188670206,False
Material_2,106.18820190429688,7.051109293004277,0.00017741224251470033,True
Additive_4,0.0,0.0,6.418413133144836e-07,False
Material_3,19.314359664916992,0.017823753839874,7.677034986515346e-07,False
Compost volume (m3),52.832462310791016,8.855902519751446,0.0004942955501029565,False
V1_Ventilation Type,210.8689727783203,14.21938459605704,0.2934340742549084,True
V4_Ventilation Day,105.7406997680664,45.34026331454988,0.0005864732002228987,True
V3_Ventilation Duration (min),14.250126838684082,0.11039371500043416,8.082244630161059e-07,False
Application Rate (%DW),37.60774230957031,41.51768383324143,0.002252241062928169,False
V5_Ventilation rate (L/min/kg iniDW),24.1386661529541,18.394184291154644,0.03484979517756334,False
Initial GI (%),28.00712013244629,31.596140242142177,0.749289770510511,False
Initial pH,41.153079986572266,53.13689581455693,8.736286736327814e-07,False
Initial C/N (%),61.45527267456055,97.36363527871634,3.1040473032552553e-21,False
Initial Moisture Content (%),97.99186706542969,54.402640321069505,0.00015098197862575827,True
