,Material_Main,Turning times,Period (d),V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_3,Additive_2,Additive_1,Material_2,Additive_4,Material_3,Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial GI (%),Initial pH,Initial C/N (%),Initial Moisture Content (%)
Material_Main,0.14647179894390172,0.041278825620819616,0.06569528129524926,0.05153128787285296,0.03117758604253294,0.010505053767386295,0.0012595645431145897,0.00911790630183074,0.019348079653324655,0.006094645468320474,0.0,0.005586742905613741,0.023607067815205673,0.03374240449254022,0.023466603438126888,0.011208903611154487,0.027563983293996168,0.03734881771776634,0.05325849292333473,0.03424201833585797,0.08654793025802614,0.02272473379752572
Turning times,0.04127882562081982,1.7081711431333273,0.1990340872932418,0.14992094333280967,0.06479251359431362,0.04286893875972609,0.0044119762298008465,0.034842236687715335,0.04901491218182402,0.02725502614296046,0.0,0.021096303407850833,0.06384073964684388,0.12236440165821222,0.13745012507712406,0.02250339074325296,0.1858995269963679,0.19446725910361834,0.3502041335216856,0.17397325847994477,0.30397833594985385,0.14023070618455108
Period (d),0.0656952812952493,0.1990340872932418,1.2761607895898197,0.10087042306281217,0.07033737883087768,0.030768043694381127,0.00283420798662984,0.04344709283151275,0.04341821950090142,0.019738090753969866,0.0,0.007672313669050246,0.05072154022878048,0.05844213915616697,0.1081350446759347,0.01412935872733533,0.1779117950228578,0.0767153191599964,0.1936356145769812,0.1479710101922128,0.21081262856239608,0.062086189923999745
V2_Ventilation Interval (min),0.05153128787285304,0.14992094333280986,0.10087042306281208,2.3626540026575245,0.0727062821569888,0.02459551514715346,0.0014878263237996364,0.04085270810102509,0.11812723290087068,0.2552981635781523,0.0,0.006244318985738313,0.09567400967215207,0.038669986114189786,0.065088093174526,0.061552036341899444,0.12587328357856112,0.11628918622473729,0.28505746254205017,0.08378620814433099,0.16464880017063185,0.0446828185623331
M1_is Enclosed,0.031177586042532932,0.06479251359431355,0.07033737883087769,0.0727062821569887,0.7793081187202969,0.009001276064120612,0.000858950707652302,0.008165939771798659,0.015823109314082373,0.010130486005807874,0.0,0.007338547847805392,0.031243024699086137,0.037132162880575796,0.05281585511617981,0.013995744248757696,0.028663783993184647,0.022613817269988304,0.07590240999178295,0.09364228148322389,0.08629765338255149,0.05460315970592282
 Composting Method,0.010505053767386268,0.042868938759726145,0.0307680436943811,0.02459551514715347,0.009001276064120633,0.3057736614435173,0.00019960075061768511,0.00526677874085165,0.006318635803031613,0.004266226221200511,0.0,0.002327310509709463,0.019191769159097864,0.02471146757852012,0.024754093496295003,0.006271314670854859,0.027256118269012558,0.014878167071945527,0.03780657152942549,0.025705156688147848,0.07309104893897511,0.020642672282843874
Additive_3,0.0012595645431146202,0.004411976229800716,0.002834207986629876,0.0014878263237995976,0.0008589507076523056,0.00019960075061764709,0.011611396513575083,0.008906743408725708,0.0010710776625741827,0.0003849355627004971,0.0,6.774012156154159e-05,0.0011476525838120168,0.002374730115945174,0.003977784461217259,0.00039820148600623015,0.005670315909000797,0.003502714088930687,0.005168950836541775,0.005214220790280884,0.004033153337069869,0.0009369997588282834
Additive_2,0.009117906301830703,0.0348422366877156,0.04344709283151276,0.04085270810102509,0.008165939771798634,0.005266778740851632,0.008906743408725671,0.7232967771283019,0.016081404236558197,0.0067437701460637345,0.0,0.003568733180689802,0.014463327619420083,0.03528279185566922,0.04276403938883391,0.005010915605450196,0.06711349471959054,0.02409951809071417,0.07147404971334367,0.035926761183268555,0.05423709717088758,0.029201165331639647
Additive_1,0.019348079653324406,0.04901491218182395,0.0434182195009015,0.11812723290087054,0.015823109314082446,0.006318635803031609,0.001071077662574204,0.016081404236558225,0.29560407973165803,0.017035376571296078,0.0,0.004015204154722681,0.028012305019343677,0.023808514072388313,0.05817236806868342,0.015320507105299473,0.12178009591571194,0.05538190161807751,0.07640154543873454,0.06045731884611729,0.13603138400359857,0.030690990511243584
Material_2,0.006094645468320517,0.02725502614296022,0.019738090753969886,0.2552981635781524,0.010130486005807878,0.004266226221200548,0.00038493556270043945,0.0067437701460637,0.017035376571296012,0.2957621381405145,0.0,0.0008037207500827278,0.015829459226588412,0.0324400294281479,0.02479631427309408,0.011224589758387695,0.02125211612065737,0.029252751440721887,0.026285966179007688,0.027115408618355666,0.0366955130323076,0.023870361975191403
