Additive_1,Additive_1_encoded
(NH₄)₂SO₄,0
Al₂(SO₄)₃,1
Biochar,2
Biomass fly ash,3
Ca-superphosphate,4
CaCl₂,5
Calcium magnesium phosphate fertilizer,6
Carbonatite,7
Clay,8
DMPP,9
Ferric salt,10
Forsterite,11
Gypsum,12
Inorganic acid,13
K₂SO₄,14
LB Culture,15
Labile carbon source,16
Lignite,17
Lime,18
Mature compost,19
Mg(OH)₂,20
MgCl₂,21
MgHPO₄,22
MgO,23
MgSO₄,24
Microbiological agent,25
NaOH,26
None,27
Organic acid,28
Perlite,29
Phosphogypsum,30
Potassium phosphate,31
Pumice,32
Sand,33
Sodium phosphates,34
Sodium salt,35
Sulfur,36
Urea,37
Zeolite,38
