Additive_1,Additive_1_mean_TN loss (%)
Biochar,19.763808577471263
Biomass fly ash,26.066666666666666
Ca-superphosphate,25.4
Calcium magnesium phosphate fertilizer,33.29
Carbonatite,17.5
Clay,33.88726666666666
Ferric salt,8.502981651376146
Forsterite,6.384
Gypsum,15.77365266384778
Inorganic acid,16.927647058823528
K₂SO₄,17.299999999999997
LB Culture,41.0
Labile carbon source,25.371122781598952
Lignite,11.43
Lime,27.790679599999997
Mg(OH)₂,16.720000000000002
MgHPO₄,2.56
MgO,40.5
MgSO₄,10.2
Microbiological agent,28.299725965387022
NaOH,54.67666666666667
None,31.906698054923176
Organic acid,29.19293442622951
Perlite,53.0
Phosphogypsum,34.765814285714285
Potassium phosphate,22.982
Pumice,59.64
Sand,16.362985621550568
Sodium phosphates,15.927028371126594
Sulfur,7.82
Urea,24.0636
Zeolite,27.765969230769233
